date,FT_STYLE_2021_Q1,meta
2021-01-08 12:00:00,-91.68436799294608,
2021-01-08 13:30:00,-90.111175634087,
2021-01-08 15:00:00,-91.25867256871976,
2021-01-08 15:30:30,-91.25867256871976,
2021-01-08 23:59:59,-99.00676623991919,e
2021-01-11 00:00:00,-87.37663429452516,
2021-01-11 10:00:00,-81.47204606302208,
2021-01-11 10:30:00,-85.84712389926466,
2021-01-11 12:00:00,-87.83016536584378,
2021-01-11 13:30:00,-89.3239550981717,
2021-01-11 15:00:00,-92.67798419386796,
2021-01-11 15:30:30,-92.67798419386796,
2021-01-11 23:59:59,-86.42076105166456,c
2021-01-12 00:00:00,-95.44457944046732,
2021-01-12 10:00:00,-106.54005716158935,
2021-01-12 10:30:00,-104.62602591767174,
2021-01-12 12:00:00,-110.11166449350856,
2021-01-12 13:30:00,-106.77630669258335,
2021-01-12 15:00:00,-110.50048629700541,
2021-01-12 15:30:30,-110.50048629700541,
2021-01-12 23:59:59,-111.13505238501276,c
2021-01-13 00:00:00,-116.23021588789086,
2021-01-13 10:00:00,-107.35461020725003,
2021-01-13 10:30:00,-112.08769436063673,
2021-01-13 12:00:00,-121.03266165713066,
2021-01-13 13:30:00,-121.00442157278565,
2021-01-13 15:00:00,-119.34597581590131,
2021-01-13 15:30:30,-119.34597581590131,
2021-01-13 23:59:59,-114.933073851665,c
2021-01-14 00:00:00,-104.54861798778802,
2021-01-14 10:00:00,-101.6249890897636,
2021-01-14 10:30:00,-101.98466548500767,
2021-01-14 12:00:00,-102.34521412742507,
2021-01-14 13:30:00,-98.64840378567607,
2021-01-14 15:00:00,-102.10366295435426,
2021-01-14 15:30:30,-102.10366295435426,
2021-01-14 23:59:59,-103.68246475629894,c
2021-01-15 00:00:00,-95.72159495222209,
2021-01-15 10:00:00,-101.9404022765471,
2021-01-15 10:30:00,-88.8803310066582,
2021-01-15 12:00:00,-89.81361116585299,
2021-01-15 13:30:00,-92.21247779475152,
2021-01-15 15:00:00,-82.17038290777,
2021-01-15 15:30:30,-82.17038290777,
2021-01-15 23:59:59,-81.82780064997075,w
2021-01-18 00:00:00,-81.82780064997075,
2021-01-18 10:00:00,-81.82780064997075,
2021-01-18 10:30:00,-81.82780064997075,
