date,SKYY_2021_Q2,meta
2021-06-11 12:00:00,-24.625130567002657,
2021-06-11 13:30:00,-17.280234826083785,
2021-06-11 15:00:00,-17.213519295855804,
2021-06-11 15:30:30,-17.213519295855804,
2021-06-11 23:59:59,0.0,a
2021-06-14 00:00:00,61.39026054726335,
2021-06-14 10:00:00,180.3823870556371,
2021-06-14 10:30:00,175.09778285884462,
2021-06-14 12:00:00,189.59251807903408,
2021-06-14 13:30:00,220.00816010811437,
2021-06-14 15:00:00,184.18772855179398,
2021-06-14 15:30:30,184.18772855179398,
2021-06-14 23:59:59,175.33995053595962,c
2021-06-15 00:00:00,189.37019394198003,
2021-06-15 10:00:00,203.36589888664506,
2021-06-15 10:30:00,151.49395378539626,
2021-06-15 12:00:00,143.39082772174507,
2021-06-15 13:30:00,127.86692874017396,
2021-06-15 15:00:00,136.70057710748526,
2021-06-15 15:30:30,136.70057710748526,
2021-06-15 23:59:59,135.3636958700075,c
2021-06-16 00:00:00,131.88149284565506,
2021-06-16 10:00:00,209.14884310035418,
2021-06-16 10:30:00,203.46377545103573,
2021-06-16 12:00:00,178.85261591349408,
2021-06-16 13:30:00,168.93981388090677,
2021-06-16 15:00:00,158.20811521961488,
2021-06-16 15:30:30,158.20811521961488,
2021-06-16 23:59:59,198.36148380130814,c
2021-06-17 00:00:00,176.71124372364235,
2021-06-17 10:00:00,247.49339317097863,
2021-06-17 10:30:00,284.62633635463885,
2021-06-17 12:00:00,269.72954407674627,
2021-06-17 13:30:00,288.0190667983202,
2021-06-17 15:00:00,307.35539355152696,
2021-06-17 15:30:30,307.35539355152696,
2021-06-17 23:59:59,286.73637477662805,c
2021-06-18 00:00:00,270.81430224994006,
2021-06-18 10:00:00,318.06671491143766,
2021-06-18 10:30:00,312.3871362308613,
2021-06-18 12:00:00,371.21498408245725,
2021-06-18 13:30:00,392.9419712628985,
2021-06-18 15:00:00,338.2658588971665,
2021-06-18 15:30:30,338.2658588971665,
2021-06-18 23:59:59,403.52953306581185,e
2021-06-21 00:00:00,341.3439740405348,
2021-06-21 10:00:00,325.13226188543865,
2021-06-21 10:30:00,268.63742945299384,
2021-06-21 12:00:00,298.89020990908296,
2021-06-21 13:30:00,326.7174754737854,
2021-06-21 15:00:00,295.53763478722226,
2021-06-21 15:30:30,295.53763478722226,
2021-06-21 23:59:59,292.7414582839325,c
2021-06-22 00:00:00,245.51361688967856,
2021-06-22 10:00:00,233.4316936742412,
2021-06-22 10:30:00,254.90851437587455,
2021-06-22 12:00:00,248.36707859875676,
2021-06-22 13:30:00,242.68186875897615,
2021-06-22 15:00:00,226.48060880633452,
2021-06-22 15:30:30,226.48060880633452,
2021-06-22 23:59:59,235.02522396265542,c
2021-06-23 00:00:00,283.4626202793504,
2021-06-23 10:00:00,310.71572798796785,
2021-06-23 10:30:00,320.21618364909887,
2021-06-23 12:00:00,266.6578538845167,
2021-06-23 13:30:00,287.9238474213671,
2021-06-23 15:00:00,281.3278173441853,
2021-06-23 15:30:30,281.3278173441853,
2021-06-23 23:59:59,274.82158043595393,c
2021-06-24 00:00:00,303.4854008839029,
2021-06-24 10:00:00,347.95175263998544,
2021-06-24 10:30:00,343.0820314652909,
2021-06-24 12:00:00,382.07115231446494,
2021-06-24 13:30:00,367.6575849099197,
2021-06-24 15:00:00,361.47194754146983,
2021-06-24 15:30:30,361.47194754146983,
2021-06-24 23:59:59,351.6270220651254,c
2021-06-25 00:00:00,336.80817303381275,
2021-06-25 10:00:00,312.04716719346436,
2021-06-25 10:30:00,322.1724140019695,
2021-06-25 12:00:00,329.31897891984863,
2021-06-25 13:30:00,348.19793128954325,
2021-06-25 15:00:00,360.6061525527721,
2021-06-25 15:30:30,360.6061525527721,
2021-06-25 23:59:59,354.21009951094175,w
2021-06-28 00:00:00,397.4858790172128,
2021-06-28 10:00:00,414.21199345012064,
2021-06-28 10:30:00,430.2690415074177,
2021-06-28 12:00:00,448.4290920081114,
2021-06-28 13:30:00,431.70078749994263,
2021-06-28 15:00:00,452.32699018356436,
2021-06-28 15:30:30,452.32699018356436,
2021-06-28 23:59:59,457.7321310581797,c
2021-06-29 00:00:00,483.39136355103744,
2021-06-29 10:00:00,534.2680037393512,
2021-06-29 10:30:00,499.5532867588514,
2021-06-29 12:00:00,493.0742755122301,
2021-06-29 13:30:00,501.1666847644742,
2021-06-29 15:00:00,488.59125363731835,
2021-06-29 15:30:30,488.59125363731835,
2021-06-29 23:59:59,512.4142236788906,c
2021-06-30 00:00:00,452.3608352877832,
2021-06-30 10:00:00,431.6321246655674,
2021-06-30 10:30:00,428.3521745975239,
2021-06-30 12:00:00,402.8728279311189,
2021-06-30 13:30:00,399.47670986346316,
2021-06-30 15:00:00,406.63837500443344,
2021-06-30 15:30:30,406.63837500443344,
2021-06-30 23:59:59,378.1201078126959,c
2021-07-01 00:00:00,386.1131718772707,
2021-07-01 10:00:00,366.10512019842304,
2021-07-01 10:30:00,368.42623494866496,
2021-07-01 12:00:00,330.0194981238103,
2021-07-01 13:30:00,323.8174234407352,
2021-07-01 15:00:00,318.55437169858976,
2021-07-01 15:30:30,318.55437169858976,
2021-07-01 23:59:59,330.65598481700545,c
2021-07-02 00:00:00,323.59928898038663,
2021-07-02 10:00:00,258.11883622879407,
2021-07-02 10:30:00,261.31574944046065,
2021-07-02 12:00:00,227.36048985143887,
2021-07-02 13:30:00,203.44679457220948,
2021-07-02 15:00:00,202.36651059156546,
2021-07-02 15:30:30,202.36651059156546,
2021-07-02 23:59:59,197.51708105711057,w
