date,FTSE_EM_ADR_2022_Q3,meta
2022-07-29 00:00:00,-518.6657707348118,
2022-07-29 10:00:00,-595.819055476301,
2022-07-29 10:30:00,-553.6631495580691,
2022-07-29 12:00:00,-545.6898696659764,
2022-07-29 13:30:00,-588.4682920455266,
2022-07-29 15:00:00,-574.2942823557319,
2022-07-29 15:30:30,-574.2942823557319,
2022-07-29 23:59:59,-494.29065852247004,w
2022-08-01 00:00:00,-563.5539022634157,
2022-08-01 10:00:00,-597.0345712600183,
2022-08-01 10:30:00,-593.7162237104917,
2022-08-01 12:00:00,-514.0801938836926,
2022-08-01 13:30:00,-573.3073958402174,
2022-08-01 15:00:00,-652.7495406966887,
2022-08-01 15:30:30,-652.7495406966887,
2022-08-01 23:59:59,-645.7590018956921,c
2022-08-02 00:00:00,-719.9239409303927,
2022-08-02 10:00:00,-697.6079246190798,
2022-08-02 10:30:00,-686.2337851824182,
2022-08-02 12:00:00,-640.3625697890343,
2022-08-02 13:30:00,-674.8709770617706,
2022-08-02 15:00:00,-623.3168131976404,
2022-08-02 15:30:30,-623.3168131976404,
2022-08-02 23:59:59,-659.1187898321059,c
2022-08-03 00:00:00,-422.50642806098904,
2022-08-03 10:00:00,-624.4526908526168,
2022-08-03 10:30:00,-650.360198567053,
2022-08-03 12:00:00,-646.2409046392127,
2022-08-03 13:30:00,-650.9827930570987,
2022-08-03 15:00:00,-629.493668558765,
2022-08-03 15:30:30,-629.493668558765,
2022-08-03 23:59:59,-645.1175590330772,c
2022-08-04 00:00:00,-608.0864030889525,
2022-08-04 10:00:00,-606.493260633968,
2022-08-04 10:30:00,-552.8625599395159,
2022-08-04 12:00:00,-472.2725139476365,
2022-08-04 13:30:00,-426.5247945277056,
2022-08-04 15:00:00,-370.50147569564524,
2022-08-04 15:30:30,-370.50147569564524,
2022-08-04 23:59:59,-374.0769158131502,c
2022-08-05 00:00:00,-383.16312852823876,
2022-08-05 10:00:00,-314.8501370617287,
2022-08-05 10:30:00,-255.54203964940734,
2022-08-05 12:00:00,-320.91044626117446,
2022-08-05 13:30:00,-228.66749288849405,
2022-08-05 15:00:00,-204.20004597120942,
2022-08-05 15:30:30,-204.20004597120942,
2022-08-05 23:59:59,-119.51545152872313,w
2022-08-08 00:00:00,205.4526899775433,
2022-08-08 10:00:00,107.36501738973175,
2022-08-08 10:30:00,-23.689740511418222,
2022-08-08 12:00:00,-23.961137102452085,
2022-08-08 13:30:00,-88.14821939496642,
2022-08-08 15:00:00,-68.6775914708378,
2022-08-08 15:30:30,-68.6775914708378,
2022-08-08 23:59:59,-51.60413876012217,c
2022-08-09 00:00:00,-40.14318762791936,
2022-08-09 10:00:00,-44.07577803817503,
2022-08-09 10:30:00,0.820735751783559,
2022-08-09 12:00:00,28.605784805183703,
2022-08-09 13:30:00,-28.50083022988383,
2022-08-09 15:00:00,-31.508095309580767,
2022-08-09 15:30:30,-31.508095309580767,
2022-08-09 23:59:59,6.537260953391524,c
2022-08-10 00:00:00,-60.56413268511733,
2022-08-10 10:00:00,-17.46474038927363,
2022-08-10 10:30:00,-1.407572828800312,
2022-08-10 12:00:00,83.24634652386203,
2022-08-10 13:30:00,62.24219620904341,
2022-08-10 15:00:00,75.88285008975754,
2022-08-10 15:30:30,75.88285008975754,
2022-08-10 23:59:59,104.82128358712225,c
2022-08-11 00:00:00,179.81045268692833,
2022-08-11 10:00:00,143.07935778572983,
2022-08-11 10:30:00,98.97086756419185,
2022-08-11 12:00:00,157.63585727828604,
2022-08-11 13:30:00,194.8272400752553,
2022-08-11 15:00:00,101.77979845683649,
2022-08-11 15:30:30,101.77979845683649,
2022-08-11 23:59:59,118.5667878687359,c
2022-08-12 00:00:00,68.46996504184472,
2022-08-12 10:00:00,55.89718320970269,
2022-08-12 10:30:00,25.725499211625902,
2022-08-12 12:00:00,22.499289169461008,
2022-08-12 13:30:00,21.14162520588252,
2022-08-12 15:00:00,42.42983075085249,
2022-08-12 15:30:30,42.42983075085249,
2022-08-12 23:59:59,62.0333534688566,w
2022-08-15 00:00:00,78.85634464312079,
2022-08-15 10:00:00,34.052723632523794,
2022-08-15 10:30:00,-15.577924302637712,
2022-08-15 12:00:00,17.56502876092236,
