date,CALF_2022_Q1,meta
2022-03-03 00:00:00,-22.56592666810393,
2022-03-03 10:00:00,-71.01864304878058,
2022-03-03 10:30:00,-99.88464011864392,
2022-03-03 12:00:00,-76.2821047283535,
2022-03-03 13:30:00,-66.39131273258401,
2022-03-03 15:00:00,-85.38050155848548,
2022-03-03 15:30:30,-85.38050155848548,
2022-03-03 23:59:59,-96.19393715939022,c
2022-03-04 00:00:00,-110.07501068406366,
2022-03-04 10:00:00,-122.41586116659714,
2022-03-04 10:30:00,-153.8060993995543,
2022-03-04 12:00:00,-170.3368743707543,
2022-03-04 13:30:00,-187.99854420326753,
2022-03-04 15:00:00,-211.8444877498449,
2022-03-04 15:30:30,-211.8444877498449,s
2022-03-04 23:59:59,-216.23058475262232,w
2022-03-07 00:00:00,-218.8609527617045,
2022-03-07 10:00:00,-234.4405598596402,
2022-03-07 10:30:00,-262.0427948712594,
2022-03-07 12:00:00,-268.66505813862705,
2022-03-07 13:30:00,-264.73032102059483,
2022-03-07 15:00:00,-257.1246057976052,
2022-03-07 15:30:30,-257.1246057976052,
2022-03-07 23:59:59,-276.4927407516831,c
2022-03-08 00:00:00,-262.28715894089066,
2022-03-08 10:00:00,-239.2648112097075,
2022-03-08 10:30:00,-214.40127973954165,
2022-03-08 12:00:00,-218.86809458322602,
2022-03-08 13:30:00,-180.9197566935007,
2022-03-08 15:00:00,-168.0519607755287,
2022-03-08 15:30:30,-168.0519607755287,
2022-03-08 23:59:59,-175.76759649340852,c
2022-03-09 00:00:00,-126.8869041623499,
2022-03-09 10:00:00,-98.08931053134643,
2022-03-09 10:30:00,-86.90468643635927,
2022-03-09 12:00:00,-95.66254526654758,
2022-03-09 13:30:00,-74.52173902635158,
2022-03-09 15:00:00,-81.54011258764,
2022-03-09 15:30:30,-81.54011258764,
2022-03-09 23:59:59,-93.03892501900113,c
2022-03-10 00:00:00,-138.20900180354255,
2022-03-10 10:00:00,-159.80445371089067,
2022-03-10 10:30:00,-159.23685108947117,
2022-03-10 12:00:00,-170.68101430872358,
2022-03-10 13:30:00,-170.75485277363063,
2022-03-10 15:00:00,-160.88736657883965,
2022-03-10 15:30:30,-160.88736657883965,
2022-03-10 23:59:59,-161.65018842192214,c
2022-03-11 00:00:00,-128.12725924019162,
2022-03-11 10:00:00,-150.85919063373444,
2022-03-11 10:30:00,-153.9199598868709,
2022-03-11 12:00:00,-154.97156145509945,
2022-03-11 13:30:00,-175.33541588711975,
2022-03-11 15:00:00,-194.2490036885595,
2022-03-11 15:30:30,-194.2490036885595,
2022-03-11 23:59:59,-190.43812538914173,w
2022-03-14 00:00:00,-159.57086344834295,
2022-03-14 10:00:00,-125.28125338641642,
2022-03-14 10:30:00,-123.49882851917319,
2022-03-14 12:00:00,-152.43950037145402,
2022-03-14 13:30:00,-152.00980641063535,
2022-03-14 15:00:00,-140.01768550478408,
2022-03-14 15:30:30,-140.01768550478408,
2022-03-14 23:59:59,-137.8936347301774,c
2022-03-15 00:00:00,-99.64496180211428,
2022-03-15 10:00:00,-70.38653959879079,
2022-03-15 10:30:00,-54.156362779089605,
2022-03-15 12:00:00,-42.201336073463615,
2022-03-15 13:30:00,-16.034884754012904,
2022-03-15 15:00:00,-10.185113624299863,
2022-03-15 15:30:30,-10.185113624299863,
2022-03-15 23:59:59,5.859673466145761,c
2022-03-16 00:00:00,12.223859761361668,
2022-03-16 10:00:00,28.493130821825343,
2022-03-16 10:30:00,64.05738372574233,
2022-03-16 12:00:00,45.09773537604796,
2022-03-16 13:30:00,-9.731029613287344,
2022-03-16 15:00:00,-5.141148269018918,
2022-03-16 15:30:30,-5.141148269018918,
2022-03-16 23:59:59,6.882937857717179,c
2022-03-17 00:00:00,-13.602599019696099,
2022-03-17 10:00:00,-1.186147283533156,
2022-03-17 10:30:00,-3.26970523661761,
2022-03-17 12:00:00,-26.560216849710795,
2022-03-17 13:30:00,-11.0113460427027,
2022-03-17 15:00:00,-21.753564364660484,
2022-03-17 15:30:30,-21.753564364660484,
2022-03-17 23:59:59,0.0,a
2022-03-18 00:00:00,-14.413334160183359,
2022-03-18 10:00:00,109.50868048170216,
2022-03-18 10:30:00,121.74405883385187,
2022-03-18 12:00:00,135.82944640745038,
2022-03-18 13:30:00,88.62613647129402,
2022-03-18 15:00:00,99.34662355728624,
2022-03-18 15:30:30,99.34662355728624,
2022-03-18 23:59:59,146.4928152844223,e
2022-03-21 00:00:00,120.67120637162412,
2022-03-21 10:00:00,60.33351610637199,
2022-03-21 10:30:00,22.55889530835834,
2022-03-21 12:00:00,38.00239533330138,
2022-03-21 13:30:00,16.879120147322325,
2022-03-21 15:00:00,1.541075894426157,
2022-03-21 15:30:30,1.541075894426157,
2022-03-21 23:59:59,16.946054956304206,c
2022-03-22 00:00:00,0.348812347023431,
2022-03-22 10:00:00,21.645725987678787,
2022-03-22 10:30:00,18.627825894672746,
2022-03-22 12:00:00,11.381224063558358,
2022-03-22 13:30:00,16.265035346785556,
2022-03-22 15:00:00,46.373204342681895,
2022-03-22 15:30:30,46.373204342681895,
2022-03-22 23:59:59,35.50161005336821,c
2022-03-23 00:00:00,-8.013295020052789,
2022-03-23 10:00:00,-9.869838733320542,
2022-03-23 10:30:00,5.910618775995124,
2022-03-23 12:00:00,8.189160887554932,
2022-03-23 13:30:00,-15.776018502473509,
2022-03-23 15:00:00,-13.975113266440598,
2022-03-23 15:30:30,-13.975113266440598,
2022-03-23 23:59:59,-26.879250384627035,c
2022-03-24 00:00:00,-13.963999427030135,
2022-03-24 10:00:00,-30.7784951698634,
2022-03-24 10:30:00,-49.056771473583375,
2022-03-24 12:00:00,-26.998503154414873,
2022-03-24 13:30:00,-24.018748407927614,
2022-03-24 15:00:00,-29.40938242690967,
2022-03-24 15:30:30,-29.40938242690967,
2022-03-24 23:59:59,-28.644047525297896,c
2022-03-25 00:00:00,-2.37280767858661,
2022-03-25 10:00:00,-82.3353241297686,
2022-03-25 10:30:00,-97.42210525327023,
2022-03-25 12:00:00,-127.23567150942942,
2022-03-25 13:30:00,-126.82175105877616,
2022-03-25 15:00:00,-124.04870277277969,
2022-03-25 15:30:30,-124.04870277277969,
2022-03-25 23:59:59,-136.42486708878414,w
2022-03-28 00:00:00,-116.85040354326917,
2022-03-28 10:00:00,-108.4558025467383,
2022-03-28 10:30:00,-142.5148872395226,
2022-03-28 12:00:00,-148.72496769958065,
2022-03-28 13:30:00,-121.06428756575012,
2022-03-28 15:00:00,-104.8496562554706,
2022-03-28 15:30:30,-104.8496562554706,
2022-03-28 23:59:59,-95.86336402183815,c
