date,SOXX_2021_Q1,meta
2021-03-12 10:30:00,-24.796048258069277,
2021-03-12 12:00:00,19.04589705267699,
2021-03-12 13:30:00,-4.713347477566003,
2021-03-12 15:00:00,-13.143393879043742,
2021-03-12 15:30:30,-13.143393879043742,s
2021-03-12 23:59:59,0.0,a
2021-03-15 00:00:00,3.243022449039472,
2021-03-15 10:00:00,50.219085645363975,
2021-03-15 10:30:00,59.804159583524324,
2021-03-15 12:00:00,50.9368602610034,
2021-03-15 13:30:00,23.10321985370456,
2021-03-15 15:00:00,-0.06901785199397636,
2021-03-15 15:30:30,-0.06901785199397636,
2021-03-15 23:59:59,-12.790762093030935,c
2021-03-16 00:00:00,-58.89842410894289,
2021-03-16 10:00:00,-158.35807946086334,
2021-03-16 10:30:00,-205.8633750972608,
2021-03-16 12:00:00,-181.09122893941822,
2021-03-16 13:30:00,-174.77626825824336,
2021-03-16 15:00:00,-127.54759877695096,
2021-03-16 15:30:30,-127.54759877695096,
2021-03-16 23:59:59,-132.7370125593684,c
2021-03-17 00:00:00,-111.78843591521809,
2021-03-17 10:00:00,-178.7011189810123,
2021-03-17 10:30:00,-191.29635347501244,
2021-03-17 12:00:00,-146.2705489125933,
2021-03-17 13:30:00,-170.075328731225,
2021-03-17 15:00:00,-246.64517646791046,
2021-03-17 15:30:30,-246.64517646791046,
2021-03-17 23:59:59,-234.0784803290353,c
2021-03-18 00:00:00,-212.44094975452117,
2021-03-18 10:00:00,-187.95738515683615,
2021-03-18 10:30:00,-160.92016893815298,
2021-03-18 12:00:00,-151.59873425512387,
2021-03-18 13:30:00,-204.52564950426904,
2021-03-18 15:00:00,-137.84694905527704,
2021-03-18 15:30:30,-137.84694905527704,
2021-03-18 23:59:59,-122.23199743660871,c
2021-03-19 00:00:00,-109.74083630343466,
2021-03-19 10:00:00,-126.12189547438629,
2021-03-19 10:30:00,-127.10676547726234,
2021-03-19 12:00:00,-180.78547991035975,
2021-03-19 13:30:00,-199.4242567386491,
2021-03-19 15:00:00,-181.23372166892705,
2021-03-19 15:30:30,-181.23372166892705,
2021-03-19 23:59:59,-112.73666459092874,e
2021-03-22 00:00:00,-189.33590489805147,
2021-03-22 10:00:00,-173.69720649626197,
2021-03-22 10:30:00,-138.51073168045104,
2021-03-22 12:00:00,-209.2631944589839,
2021-03-22 13:30:00,-234.13133081647584,
2021-03-22 15:00:00,-219.33472738346882,
2021-03-22 15:30:30,-219.33472738346882,
2021-03-22 23:59:59,-204.89065188972063,c
2021-03-23 00:00:00,-209.63943685834056,
2021-03-23 10:00:00,-157.79259167547752,
2021-03-23 10:30:00,-131.1779278248141,
2021-03-23 12:00:00,-88.71483434632546,
2021-03-23 13:30:00,-74.94331730135355,
2021-03-23 15:00:00,-16.15593473771878,
2021-03-23 15:30:30,-16.15593473771878,
2021-03-23 23:59:59,-15.56864984446247,c
2021-03-24 00:00:00,-253.70648536943463,
2021-03-24 10:00:00,-190.15559996569345,
2021-03-24 10:30:00,-155.3397704293966,
2021-03-24 12:00:00,-129.59284350398593,
