date,AS_MSCI_MOM_2022_Q4,meta
2022-10-14 00:00:00,91.25252763239496,
2022-10-14 01:00:00,93.30891546006853,
2022-10-14 02:30:00,93.30891546006853,
2022-10-14 03:00:00,93.30891546006853,
2022-10-14 18:30:00,93.30891546006853,
2022-10-14 20:00:00,93.30891546006853,
2022-10-14 23:00:00,93.30891546006853,
2022-10-14 23:59:59,101.98170774405162,w
2022-10-17 00:00:00,93.72957852187216,
2022-10-17 01:00:00,95.67549350060438,
2022-10-17 02:30:00,95.67549350060438,
2022-10-17 03:00:00,95.67549350060438,
2022-10-17 18:30:00,93.03141373028399,
2022-10-17 20:00:00,91.68988241905146,
2022-10-17 23:00:00,87.19943901272063,
2022-10-17 23:59:59,91.33088067016092,c
2022-10-18 00:00:00,98.14965407957288,
2022-10-18 01:00:00,89.53405570272844,
2022-10-18 02:30:00,89.53405570272844,
2022-10-18 03:00:00,89.53405570272844,
2022-10-18 18:30:00,90.08572418625499,
2022-10-18 20:00:00,92.8602624561492,
2022-10-18 23:00:00,93.18058902012899,
2022-10-18 23:59:59,92.39192904849801,c
2022-10-19 00:00:00,92.36379059591451,
2022-10-19 01:00:00,94.22347226663248,
2022-10-19 02:30:00,94.22347226663248,
2022-10-19 03:00:00,94.22347226663248,
2022-10-19 18:30:00,94.6926009226757,
2022-10-19 20:00:00,103.87759124275811,
2022-10-19 23:00:00,107.88493102679723,
2022-10-19 23:59:59,106.85942279208103,c
2022-10-20 00:00:00,109.52820735854925,
2022-10-20 01:00:00,110.11458893058318,
2022-10-20 02:30:00,110.11458893058318,
2022-10-20 03:00:00,110.11458893058318,
2022-10-20 18:30:00,105.7170530746244,
2022-10-20 20:00:00,107.69660148262557,
2022-10-20 23:00:00,116.51293127214296,
2022-10-20 23:59:59,122.76154922266261,c
2022-10-21 00:00:00,114.39540179699424,
2022-10-21 01:00:00,119.26648472828185,
2022-10-21 02:30:00,119.26648472828185,
2022-10-21 03:00:00,119.26648472828185,
2022-10-21 18:30:00,119.26648472828185,
2022-10-21 20:00:00,119.26648472828185,
2022-10-21 23:00:00,119.26648472828185,
2022-10-21 23:59:59,123.02793221943506,w
2022-10-24 00:00:00,97.44600462959983,
2022-10-24 01:00:00,95.60464065433672,
2022-10-24 02:30:00,95.60464065433672,
2022-10-24 03:00:00,95.60464065433672,
2022-10-24 18:30:00,88.41174447603862,
2022-10-24 20:00:00,86.73909280148513,
2022-10-24 23:00:00,84.92210236007776,
2022-10-24 23:59:59,88.9285615972002,c
2022-10-25 00:00:00,97.40008393825298,
2022-10-25 01:00:00,97.41410930812327,
2022-10-25 02:30:00,97.41410930812327,
2022-10-25 03:00:00,97.41410930812327,
2022-10-25 18:30:00,94.65827669490017,
2022-10-25 20:00:00,99.42315548373199,
2022-10-25 23:00:00,99.41900558432684,
2022-10-25 23:59:59,100.13217777641887,c
2022-10-26 00:00:00,99.70331171448788,
2022-10-26 01:00:00,99.10682667469621,
2022-10-26 02:30:00,99.10682667469621,
2022-10-26 03:00:00,99.10682667469621,
2022-10-26 18:30:00,101.14294499748462,
2022-10-26 20:00:00,97.16786833847061,
2022-10-26 23:00:00,94.62502459619293,
2022-10-26 23:59:59,100.42296589941668,c
2022-10-27 00:00:00,109.04411784525485,
2022-10-27 01:00:00,110.48972265839888,
2022-10-27 02:30:00,110.48972265839888,
2022-10-27 03:00:00,110.48972265839888,
2022-10-27 18:30:00,111.65779686372622,
2022-10-27 20:00:00,115.20940663221967,
2022-10-27 23:00:00,122.38403758366513,
2022-10-27 23:59:59,118.27340861162207,c
2022-10-28 00:00:00,120.01309258018699,
2022-10-28 01:00:00,117.85003351028405,
2022-10-28 02:30:00,117.85003351028405,
2022-10-28 03:00:00,117.85003351028405,
2022-10-28 18:30:00,117.85003351028405,
2022-10-28 20:00:00,117.85003351028405,
2022-10-28 23:00:00,117.85003351028405,
2022-10-28 23:59:59,121.85695405356148,w
2022-10-31 00:00:00,131.93210035892122,
2022-10-31 01:00:00,137.43617460434774,
2022-10-31 02:30:00,137.43617460434774,
2022-10-31 03:00:00,137.43617460434774,
2022-10-31 18:30:00,155.17292043023457,
2022-10-31 20:00:00,152.30372157069047,
2022-10-31 23:00:00,143.55953742289142,
2022-10-31 23:59:59,149.06909271118803,c
2022-11-01 00:00:00,145.3756821495138,
2022-11-01 01:00:00,155.83560727237733,
2022-11-01 02:30:00,155.83560727237733,
2022-11-01 03:00:00,155.83560727237733,
2022-11-01 18:30:00,153.84780092963064,
2022-11-01 20:00:00,158.83044459065553,
2022-11-01 23:00:00,163.0833947224939,
2022-11-01 23:59:59,155.99395074092655,c
2022-11-02 00:00:00,152.0681890981777,
2022-11-02 01:00:00,148.06983412747724,
2022-11-02 02:30:00,148.06983412747724,
2022-11-02 03:00:00,148.06983412747724,
2022-11-02 18:30:00,155.6695119240557,
2022-11-02 20:00:00,152.6597780573132,
2022-11-02 23:00:00,156.4539621320958,
2022-11-02 23:59:59,155.1928929285935,c
2022-11-03 00:00:00,157.35168585403807,
2022-11-03 01:00:00,155.32636267637184,
2022-11-03 02:30:00,155.32636267637184,
2022-11-03 03:00:00,155.32636267637184,
2022-11-03 18:30:00,155.35193623052174,
2022-11-03 20:00:00,152.98494956567407,
2022-11-03 23:00:00,141.64183517601606,
2022-11-03 23:59:59,141.30580446153868,c
2022-11-04 00:00:00,141.81965753919837,
2022-11-04 01:00:00,141.2924357280641,
2022-11-04 02:30:00,141.2924357280641,
2022-11-04 03:00:00,141.2924357280641,
2022-11-04 18:30:00,141.2924357280641,
