date,EU_MSCI_FACTOR_2021_Q4,meta
2021-11-04 00:00:00,-18.504606460745464,
2021-11-04 03:30:00,-18.504606460745464,
2021-11-04 04:00:00,-18.489471495348084,
2021-11-04 06:00:00,-7.498714681363538,
2021-11-04 08:00:00,-13.982992741794732,
2021-11-04 10:30:00,-7.837244424510118,
2021-11-04 11:00:00,-0.9921278535629767,
2021-11-04 23:59:59,1.4861142030549104,c
2021-11-05 00:00:00,-3.8930219447935315,
2021-11-05 03:30:00,-3.8930219447935315,
2021-11-05 04:00:00,-3.8930219447935315,
2021-11-05 06:00:00,11.31019738482189,
2021-11-05 08:00:00,1.5396973027771423,
2021-11-05 10:30:00,-2.8093687219133585,
2021-11-05 11:00:00,-3.2939796719116146,
2021-11-05 23:59:59,-1.8832558760729512,w
2021-11-08 00:00:00,12.468037342821447,
2021-11-08 03:30:00,10.661731927971715,
2021-11-08 04:00:00,12.859357308447414,
2021-11-08 06:00:00,9.439949505424636,
2021-11-08 08:00:00,13.819657380159157,
2021-11-08 10:30:00,9.8787394620432,
2021-11-08 11:00:00,6.0550672129514,
2021-11-08 23:59:59,12.775944719655655,c
2021-11-09 00:00:00,15.513937092340399,
2021-11-09 03:30:00,16.477175092420794,
2021-11-09 04:00:00,16.162795867487148,
2021-11-09 06:00:00,18.120665695383252,
2021-11-09 08:00:00,19.258476385638062,
2021-11-09 10:30:00,20.52442010341153,
2021-11-09 11:00:00,20.234940440415244,
2021-11-09 23:59:59,26.85773290040669,c
2021-11-10 00:00:00,19.266953121081002,
2021-11-10 03:30:00,28.974070470553727,
2021-11-10 04:00:00,25.223860881642906,
2021-11-10 06:00:00,21.513292979329748,
2021-11-10 08:00:00,28.208696714922382,
2021-11-10 10:30:00,21.58458947200961,
2021-11-10 11:00:00,18.40061161710605,
2021-11-10 23:59:59,16.963112884047035,c
2021-11-11 00:00:00,5.84379098295895,
2021-11-11 03:30:00,3.4488421554242734,
2021-11-11 04:00:00,3.4489731507052284,
2021-11-11 06:00:00,-1.0511338919349669,
2021-11-11 08:00:00,-3.4232049174168253,
2021-11-11 10:30:00,-6.999153975943244,
2021-11-11 11:00:00,-5.348538994435813,
2021-11-11 23:59:59,-5.835509041028416,c
2021-11-12 00:00:00,-4.632098684104051,
2021-11-12 03:30:00,10.151672852284264,
2021-11-12 04:00:00,3.2893829552858165,
2021-11-12 06:00:00,2.743319833114782,
2021-11-12 08:00:00,-1.04808985718077,
2021-11-12 10:30:00,-1.4874223613085462,
2021-11-12 11:00:00,-0.6495439554053064,
2021-11-12 23:59:59,-2.3790246682684995,w
2021-11-15 00:00:00,2.0127723899627767,
2021-11-15 03:30:00,12.872009792964036,
2021-11-15 04:00:00,15.515155530128368,
2021-11-15 06:00:00,9.898745258799437,
2021-11-15 08:00:00,4.254355445645928,
2021-11-15 10:30:00,10.109079257163813,
2021-11-15 11:00:00,7.410060092367161,
2021-11-15 23:59:59,10.91099749759627,c
2021-11-16 00:00:00,-2.558453874686734,
2021-11-16 03:30:00,1.8662368791499375,
2021-11-16 04:00:00,-0.6840448075452628,
2021-11-16 06:00:00,8.943202073711518,
2021-11-16 08:00:00,3.3860304618785335,
2021-11-16 10:30:00,-3.59680391680601,
2021-11-16 11:00:00,-1.167896256849474,
2021-11-16 23:59:59,-0.2538150003226747,c
2021-11-17 00:00:00,-0.8834200963974865,
2021-11-17 03:30:00,3.7467808814626267,
2021-11-17 04:00:00,1.7045418560476833,
2021-11-17 06:00:00,9.74081013713203,
2021-11-17 08:00:00,7.023024058858141,
2021-11-17 10:30:00,9.285958226693936,
2021-11-17 11:00:00,10.88979041943901,
2021-11-17 23:59:59,12.348651239806799,c
2021-11-18 00:00:00,5.30506449157528,
2021-11-18 03:30:00,-5.59346237596975,
2021-11-18 04:00:00,-6.0708204589416255,
2021-11-18 06:00:00,-9.774559409651118,
2021-11-18 08:00:00,-12.4507315698431,
2021-11-18 10:30:00,-4.762114336656907,
2021-11-18 11:00:00,-5.708474385783489,
2021-11-18 23:59:59,0.0,a
2021-11-19 00:00:00,1.6290695787127447,
2021-11-19 03:30:00,11.207513223916408,
2021-11-19 04:00:00,19.767685248083808,
2021-11-19 06:00:00,17.157547119899817,
2021-11-19 08:00:00,23.10135387358099,
2021-11-19 10:30:00,17.852979916009758,
2021-11-19 11:00:00,17.810938030882113,
2021-11-19 23:59:59,11.447018343931575,w
2021-11-22 00:00:00,11.275485808012093,
2021-11-22 03:30:00,21.83804696430454,
2021-11-22 04:00:00,27.193689684844117,
2021-11-22 06:00:00,20.327468081073448,
