date,AS_ASX_2022_Q4,meta
2022-11-18 20:00:00,94.2487915598,
2022-11-18 23:00:00,94.2487915598,
2022-11-18 23:59:59,91.69278181148661,w
2022-11-21 00:00:00,91.4812122818073,
2022-11-21 01:00:00,91.4812122818073,
2022-11-21 02:30:00,91.4812122818073,
2022-11-21 03:00:00,91.4812122818073,
2022-11-21 18:30:00,76.64858528705554,
2022-11-21 20:00:00,54.6852426935647,
2022-11-21 23:00:00,45.521480392028536,
2022-11-21 23:59:59,32.25474101743089,c
2022-11-22 00:00:00,34.42213991796774,
2022-11-22 01:00:00,34.42213991796774,
2022-11-22 02:30:00,34.42213991796774,
2022-11-22 03:00:00,34.42213991796774,
2022-11-22 18:30:00,-8.929655324100395,
2022-11-22 20:00:00,1.3083921579521416,
2022-11-22 23:00:00,31.81977930318078,
2022-11-22 23:59:59,20.65276502491548,c
2022-11-23 00:00:00,15.542724423312393,
2022-11-23 01:00:00,15.542724423312393,
2022-11-23 02:30:00,15.542724423312393,
2022-11-23 03:00:00,15.542724423312393,
2022-11-23 18:30:00,50.33878045844284,
2022-11-23 20:00:00,34.30104708072582,
2022-11-23 23:00:00,30.60661625070088,
2022-11-23 23:59:59,27.981213772861565,c
2022-11-24 00:00:00,0.7224512103902043,
2022-11-24 01:00:00,0.7224512103902043,
2022-11-24 02:30:00,0.7224512103902043,
2022-11-24 03:00:00,0.7224512103902043,
2022-11-24 18:30:00,-8.194270379995828,
2022-11-24 20:00:00,-52.217446435742374,
2022-11-24 23:00:00,-62.1088552245173,
2022-11-24 23:59:59,-70.48121633780335,c
2022-11-25 00:00:00,-71.7228255063572,
2022-11-25 01:00:00,-71.7228255063572,
2022-11-25 02:30:00,-71.7228255063572,
2022-11-25 03:00:00,-71.7228255063572,
2022-11-25 18:30:00,-71.7228255063572,
2022-11-25 20:00:00,-71.7228255063572,
2022-11-25 23:00:00,-71.7228255063572,
2022-11-25 23:59:59,-70.7595014502084,w
2022-11-28 00:00:00,-50.88020302435376,
2022-11-28 01:00:00,-50.88020302435376,
2022-11-28 02:30:00,-50.88020302435376,
2022-11-28 03:00:00,-50.88020302435376,
2022-11-28 18:30:00,15.176222447763678,
