date,AS_HSI_2022_Q4,meta
2022-11-10 23:00:00,-1138.7503022279216,
2022-11-10 23:59:59,-1138.9603614785447,c
2022-11-11 00:00:00,-576.4443473651372,
2022-11-11 01:00:00,-347.13415745284874,
2022-11-11 02:30:00,-277.3714465844678,
2022-11-11 03:00:00,-270.1957789633616,
2022-11-11 18:30:00,-270.1957789633616,
2022-11-11 20:00:00,-270.1957789633616,
2022-11-11 23:00:00,-270.1957789633616,
2022-11-11 23:59:59,-271.009774906217,w
2022-11-14 00:00:00,70.48087207055869,
2022-11-14 01:00:00,-54.33920790639786,
2022-11-14 02:30:00,12.053197657969577,
2022-11-14 03:00:00,35.51491397353311,
2022-11-14 18:30:00,35.51491397353311,
2022-11-14 20:00:00,35.51491397353311,
2022-11-14 23:00:00,332.3871690992364,
2022-11-14 23:59:59,332.6970575959713,c
2022-11-15 00:00:00,208.6030057147891,
2022-11-15 01:00:00,136.75279398122984,
2022-11-15 02:30:00,233.89361451741752,
2022-11-15 03:00:00,257.8550896682191,
2022-11-15 18:30:00,257.8550896682191,
2022-11-15 20:00:00,257.8550896682191,
2022-11-15 23:00:00,30.015828227753445,
2022-11-15 23:59:59,18.66343339170635,c
2022-11-16 00:00:00,-28.516022367768528,
2022-11-16 01:00:00,8.898463819647077,
2022-11-16 02:30:00,4.496111214348275,
2022-11-16 03:00:00,13.492482896414003,
2022-11-16 18:30:00,13.492482896414003,
2022-11-16 20:00:00,13.492482896414003,
2022-11-16 23:00:00,-17.853732178775317,
2022-11-16 23:59:59,-15.578735271199548,c
2022-11-17 00:00:00,-104.03702717427768,
2022-11-17 01:00:00,-82.1118241088916,
2022-11-17 02:30:00,28.786887750480673,
2022-11-17 03:00:00,26.384064748852325,
2022-11-17 18:30:00,26.384064748852325,
2022-11-17 20:00:00,26.384064748852325,
2022-11-17 23:00:00,39.018693791116675,
2022-11-17 23:59:59,43.53596438991008,c
2022-11-18 00:00:00,74.37178808385579,
2022-11-18 01:00:00,89.66361714038248,
2022-11-18 02:30:00,-35.14175367453572,
2022-11-18 03:00:00,5.517747227302607,
2022-11-18 18:30:00,5.517747227302607,
2022-11-18 20:00:00,5.517747227302607,
2022-11-18 23:00:00,5.517747227302607,
2022-11-18 23:59:59,0.0,a
2022-11-21 00:00:00,118.04280714196102,
2022-11-21 01:00:00,18.15986706320291,
2022-11-21 02:30:00,88.11398681308674,
2022-11-21 03:00:00,77.950538435618,
2022-11-21 18:30:00,77.950538435618,
2022-11-21 20:00:00,77.950538435618,
2022-11-21 23:00:00,88.70078226209625,
2022-11-21 23:59:59,74.17003231508352,c
2022-11-22 00:00:00,111.55934355808677,
2022-11-22 01:00:00,-21.63096321712146,
2022-11-22 02:30:00,-3.552686982206069,
2022-11-22 03:00:00,8.563964344772103,
2022-11-22 18:30:00,8.563964344772103,
2022-11-22 20:00:00,8.563964344772103,
2022-11-22 23:00:00,-22.582385610241545,
2022-11-22 23:59:59,-10.284698079234659,c
2022-11-23 00:00:00,38.787498526191484,
2022-11-23 01:00:00,67.75475259475934,
2022-11-23 02:30:00,53.51189220786364,
2022-11-23 03:00:00,9.24369987477985,
2022-11-23 18:30:00,9.24369987477985,
2022-11-23 20:00:00,9.24369987477985,
2022-11-23 23:00:00,65.63675627324483,
2022-11-23 23:59:59,64.0653819632862,c
2022-11-24 00:00:00,177.39589329136106,
2022-11-24 01:00:00,186.52725691305022,
2022-11-24 02:30:00,193.8150002208913,
2022-11-24 03:00:00,214.11245646325006,
2022-11-24 18:30:00,214.11245646325006,
2022-11-24 20:00:00,214.11245646325006,
2022-11-24 23:00:00,234.1541553648458,
2022-11-24 23:59:59,226.76862856954358,c
2022-11-25 00:00:00,192.55289222123793,
2022-11-25 01:00:00,186.08489293232196,
2022-11-25 02:30:00,185.0874800508991,
2022-11-25 03:00:00,172.1187377539718,
2022-11-25 18:30:00,172.1187377539718,
2022-11-25 20:00:00,172.1187377539718,
2022-11-25 23:00:00,172.1187377539718,
2022-11-25 23:59:59,168.51008521777658,w
2022-11-28 00:00:00,-48.54422111215354,
2022-11-28 01:00:00,-142.94257702276263,
2022-11-28 02:30:00,-40.57708604912841,
2022-11-28 03:00:00,-25.629495207793298,
2022-11-28 18:30:00,-25.629495207793298,
2022-11-28 20:00:00,-25.629495207793298,
2022-11-28 23:00:00,58.324279388789364,
2022-11-28 23:59:59,61.64723110705927,c
2022-11-29 00:00:00,251.17439816073784,
2022-11-29 01:00:00,291.0891460584353,
2022-11-29 02:30:00,349.42802365449097,
2022-11-29 03:00:00,452.43194276042595,
2022-11-29 18:30:00,452.43194276042595,
2022-11-29 20:00:00,452.43194276042595,
2022-11-29 23:00:00,397.4396150524044,
2022-11-29 23:59:59,394.68590653818865,c
2022-11-30 00:00:00,350.56202213500546,
2022-11-30 01:00:00,317.67878178524734,
2022-11-30 02:30:00,586.8083937570373,
2022-11-30 03:00:00,607.787987261032,
2022-11-30 18:30:00,607.787987261032,
2022-11-30 20:00:00,607.787987261032,
2022-11-30 23:00:00,572.3542233987682,
2022-11-30 23:59:59,562.0298852582273,c
2022-12-01 00:00:00,672.2093232918869,
2022-12-01 01:00:00,642.4657008178456,
2022-12-01 02:30:00,573.3326295965053,
2022-12-01 03:00:00,529.0278677311017,
2022-12-01 18:30:00,529.0278677311017,
2022-12-01 20:00:00,529.0278677311017,
2022-12-01 23:00:00,392.2067693436147,
2022-12-01 23:59:59,376.0411114294111,c
2022-12-02 00:00:00,263.5486910494619,
2022-12-02 01:00:00,311.005892079409,
2022-12-02 02:30:00,487.9674403381123,
2022-12-02 03:00:00,448.08535551920613,
2022-12-02 18:30:00,448.08535551920613,
2022-12-02 20:00:00,448.08535551920613,
2022-12-02 23:00:00,448.08535551920613,
2022-12-02 23:59:59,448.84364053971876,e
2022-12-05 00:00:00,723.0748398646392,
2022-12-05 01:00:00,717.4488151456699,
2022-12-05 02:30:00,772.2164105065185,
2022-12-05 03:00:00,799.4201604348491,
2022-12-05 18:30:00,799.4201604348491,
2022-12-05 20:00:00,799.4201604348491,
2022-12-05 23:00:00,750.6948128836393,
2022-12-05 23:59:59,736.8196023002929,c
2022-12-06 00:00:00,711.9091176967104,
2022-12-06 01:00:00,762.1527120227292,
2022-12-06 02:30:00,833.3007893071645,
2022-12-06 03:00:00,863.7517244887949,
2022-12-06 18:30:00,863.7517244887949,
2022-12-06 20:00:00,863.7517244887949,
2022-12-06 23:00:00,962.4515587308451,
2022-12-06 23:59:59,964.0493307803372,c
2022-12-07 00:00:00,871.8569810861536,
2022-12-07 01:00:00,853.1301352482187,
2022-12-07 02:30:00,578.9793928674644,
2022-12-07 03:00:00,574.4239433055736,
2022-12-07 18:30:00,574.4239433055736,
2022-12-07 20:00:00,574.4239433055736,
2022-12-07 23:00:00,731.5550132944445,
2022-12-07 23:59:59,734.6722868418819,c
2022-12-08 00:00:00,764.7105433677425,
2022-12-08 01:00:00,772.6815316194607,
