date,SCHWAB_2022_Q2,meta
2022-05-20 10:30:00,-223.72022481317435,
2022-05-20 12:00:00,-324.5016166738769,
2022-05-20 13:30:00,-405.965315026569,
2022-05-20 15:00:00,-340.510007820596,
2022-05-20 15:30:30,-340.510007820596,
2022-05-20 23:59:59,-291.7927594567768,w
2022-05-23 00:00:00,-286.8080170780313,
2022-05-23 10:00:00,-331.3784336746012,
2022-05-23 10:30:00,-295.18432714433175,
2022-05-23 12:00:00,-261.7122212240256,
2022-05-23 13:30:00,-284.9831627563676,
2022-05-23 15:00:00,-278.30509184001994,
2022-05-23 15:30:30,-278.30509184001994,
2022-05-23 23:59:59,-280.7218429991726,c
2022-05-24 00:00:00,-326.74424604411024,
2022-05-24 10:00:00,-422.6003832146721,
2022-05-24 10:30:00,-396.54005866627676,
2022-05-24 12:00:00,-366.7918451543519,
2022-05-24 13:30:00,-388.55895029307067,
2022-05-24 15:00:00,-390.56495273897326,
2022-05-24 15:30:30,-390.56495273897326,
2022-05-24 23:59:59,-366.74700867394176,c
2022-05-25 00:00:00,-368.71253641465,
2022-05-25 10:00:00,-314.3619722774283,
2022-05-25 10:30:00,-278.7765041961884,
2022-05-25 12:00:00,-298.97195112840245,
2022-05-25 13:30:00,-287.0515393679907,
2022-05-25 15:00:00,-276.5753857026789,
2022-05-25 15:30:30,-276.5753857026789,
2022-05-25 23:59:59,-258.19341545755015,c
2022-05-26 00:00:00,-241.7238781801875,
2022-05-26 10:00:00,-191.65871179550868,
2022-05-26 10:30:00,-173.8689082713404,
2022-05-26 12:00:00,-149.84908682092146,
2022-05-26 13:30:00,-164.79301340069424,
2022-05-26 15:00:00,-182.75314225050442,
2022-05-26 15:30:30,-182.75314225050442,
2022-05-26 23:59:59,-184.24068528187536,c
2022-05-27 00:00:00,-166.88898954118258,
2022-05-27 10:00:00,-90.51661232791912,
2022-05-27 10:30:00,-54.74435563547877,
2022-05-27 12:00:00,-43.342647883801874,
2022-05-27 13:30:00,-45.81549539753041,
2022-05-27 15:00:00,-51.24021089252619,
2022-05-27 15:30:30,-51.24021089252619,
2022-05-27 23:59:59,-48.1550280592719,w
2022-05-30 00:00:00,-48.1550280592719,
2022-05-30 10:00:00,-48.1550280592719,
