date,COMP_STAY_HEDGED_2021_Q4,meta
2021-11-12 15:00:00,465.2135784681491,
2021-11-12 15:30:30,465.2135784681491,s
2021-11-12 23:59:59,452.7690755346807,w
2021-11-15 00:00:00,440.59555979361676,
2021-11-15 10:00:00,357.35173451919445,
2021-11-15 10:30:00,406.24436721344455,
2021-11-15 12:00:00,392.30390594509527,
2021-11-15 13:30:00,377.0357489192743,
2021-11-15 15:00:00,417.3080386407473,
2021-11-15 15:30:30,417.3080386407473,
2021-11-15 23:59:59,423.6426169922579,c
2021-11-16 00:00:00,461.4227098312499,
2021-11-16 10:00:00,411.2403816720139,
2021-11-16 10:30:00,431.9463364886983,
2021-11-16 12:00:00,462.68221229563187,
2021-11-16 13:30:00,458.10844511211144,
2021-11-16 15:00:00,467.7742071543739,
2021-11-16 15:30:30,467.7742071543739,
2021-11-16 23:59:59,474.0594017332837,c
2021-11-17 00:00:00,486.8932098982755,
2021-11-17 10:00:00,542.3870427547267,
2021-11-17 10:30:00,511.61112730972764,
2021-11-17 12:00:00,542.6570289285273,
2021-11-17 13:30:00,538.8002513902065,
2021-11-17 15:00:00,574.2398954361133,
2021-11-17 15:30:30,574.2398954361133,
2021-11-17 23:59:59,590.4450569492196,c
2021-11-18 00:00:00,549.6102574392153,
2021-11-18 10:00:00,544.6112267398366,
2021-11-18 10:30:00,520.3090878699218,
2021-11-18 12:00:00,595.9816063196258,
2021-11-18 13:30:00,554.2137869714356,
2021-11-18 15:00:00,537.6680793720825,
2021-11-18 15:30:30,537.6680793720825,
2021-11-18 23:59:59,526.8779296933303,c
2021-11-19 00:00:00,541.5640858735601,
2021-11-19 10:00:00,464.8667145343138,
2021-11-19 10:30:00,488.0024145382372,
2021-11-19 12:00:00,511.08526920178747,
2021-11-19 13:30:00,464.31387585068296,
2021-11-19 15:00:00,460.2472836206816,
2021-11-19 15:30:30,460.2472836206816,
2021-11-19 23:59:59,469.2642802472883,w
2021-11-22 00:00:00,441.4361783539439,
2021-11-22 10:00:00,316.74908035306953,
2021-11-22 10:30:00,338.77099283457255,
2021-11-22 12:00:00,210.0813290125525,
2021-11-22 13:30:00,265.8387590833818,
2021-11-22 15:00:00,282.81999015444535,
2021-11-22 15:30:30,282.81999015444535,u
2021-11-22 23:59:59,253.23756514450497,c
2021-11-23 00:00:00,218.9345738520301,
2021-11-23 10:00:00,281.6778603677394,
2021-11-23 10:30:00,165.3119461352635,
2021-11-23 12:00:00,143.3934599027616,
2021-11-23 13:30:00,134.47960727628788,
2021-11-23 15:00:00,171.22312176610103,
2021-11-23 15:30:30,171.22312176610103,
2021-11-23 23:59:59,148.32085857431048,c
2021-11-24 00:00:00,127.19388203944709,
2021-11-24 10:00:00,187.87054835039135,
2021-11-24 10:30:00,219.78870740202365,
2021-11-24 12:00:00,248.77713705541237,
2021-11-24 13:30:00,268.7499644346808,
2021-11-24 15:00:00,284.2827485282837,
2021-11-24 15:30:30,284.2827485282837,
2021-11-24 23:59:59,305.05582665934935,c
2021-11-25 00:00:00,305.05582665934935,
2021-11-25 10:00:00,305.05582665934935,
2021-11-25 10:30:00,305.05582665934935,
2021-11-25 12:00:00,305.05582665934935,
2021-11-25 13:30:00,305.05582665934935,
2021-11-25 15:00:00,305.05582665934935,
2021-11-25 15:30:30,305.05582665934935,
2021-11-25 23:59:59,305.05582665934935,c
2021-11-26 00:00:00,289.9909969201435,
2021-11-26 10:00:00,335.55988968444126,
2021-11-26 10:30:00,328.4542686423524,
2021-11-26 12:00:00,335.3295908536861,
2021-11-26 13:30:00,335.3295908536861,
2021-11-26 15:00:00,335.3295908536861,
2021-11-26 15:30:30,335.3295908536861,
2021-11-26 23:59:59,358.5305505601714,w
2021-11-29 00:00:00,398.7195873134324,
2021-11-29 10:00:00,284.27934728767104,
2021-11-29 10:30:00,259.3016211823615,
2021-11-29 12:00:00,289.47870090252627,
2021-11-29 13:30:00,301.9366672501492,
2021-11-29 15:00:00,271.07915756503826,
2021-11-29 15:30:30,271.07915756503826,
2021-11-29 23:59:59,286.9629410167249,c
2021-11-30 00:00:00,299.7482277859431,
2021-11-30 10:00:00,245.7796202827708,
2021-11-30 10:30:00,239.30362465239978,
2021-11-30 12:00:00,103.79682103517143,
2021-11-30 13:30:00,68.11370093213463,
2021-11-30 15:00:00,44.94613001128073,
2021-11-30 15:30:30,44.94613001128073,m
2021-11-30 23:59:59,27.462101878742942,c
2021-12-01 00:00:00,79.5526149414327,
2021-12-01 10:00:00,110.68958657209214,
2021-12-01 10:30:00,115.61673231960822,
2021-12-01 12:00:00,46.66447437512488,
2021-12-01 13:30:00,-14.756262595125463,
2021-12-01 15:00:00,-47.65224428358579,
2021-12-01 15:30:30,-47.65224428358579,
2021-12-01 23:59:59,-66.91923141650432,c
2021-12-02 00:00:00,-33.13758175775547,
2021-12-02 10:00:00,58.80235830186257,
2021-12-02 10:30:00,67.76804790687856,
2021-12-02 12:00:00,71.16359481729887,
2021-12-02 13:30:00,100.11633855214677,
2021-12-02 15:00:00,143.1188963215568,
2021-12-02 15:30:30,143.1188963215568,
2021-12-02 23:59:59,144.84273098290805,c
2021-12-03 00:00:00,166.39118683538254,
2021-12-03 10:00:00,34.52639686048542,
2021-12-03 10:30:00,16.262034362327086,
2021-12-03 12:00:00,-32.701159317764905,
2021-12-03 13:30:00,8.369541423760893,
2021-12-03 15:00:00,-17.032503390131296,
2021-12-03 15:30:30,-17.032503390131296,
2021-12-03 23:59:59,0.0,a
2021-12-06 00:00:00,-48.3254766031655,
2021-12-06 10:00:00,12.535673382263667,
2021-12-06 10:30:00,77.19365840250111,
2021-12-06 12:00:00,117.70506064502888,
2021-12-06 13:30:00,103.50461358376788,
2021-12-06 15:00:00,85.3266815819652,
2021-12-06 15:30:30,85.3266815819652,
2021-12-06 23:59:59,72.89105691056784,c
2021-12-07 00:00:00,151.63527125434257,
2021-12-07 10:00:00,204.4546677553676,
2021-12-07 10:30:00,220.48257282391614,
2021-12-07 12:00:00,238.81746723106653,
2021-12-07 13:30:00,235.01867526960314,
2021-12-07 15:00:00,222.77022004410037,
2021-12-07 15:30:30,222.77022004410037,
2021-12-07 23:59:59,213.5918120119477,c
2021-12-08 00:00:00,192.48774064927738,
2021-12-08 10:00:00,206.90986411320864,
2021-12-08 10:30:00,236.2617963767475,
2021-12-08 12:00:00,294.16137048926294,
2021-12-08 13:30:00,280.8802684962743,
2021-12-08 15:00:00,265.8531737637163,
2021-12-08 15:30:30,265.8531737637163,
2021-12-08 23:59:59,267.1856669224262,c
2021-12-09 00:00:00,241.00632736616717,
2021-12-09 10:00:00,236.3973213406598,
2021-12-09 10:30:00,223.70665601220117,
2021-12-09 12:00:00,188.9470974697183,
2021-12-09 13:30:00,171.57504953527996,
2021-12-09 15:00:00,149.98478943396503,
2021-12-09 15:30:30,149.98478943396503,
2021-12-09 23:59:59,152.61410673697446,c
2021-12-10 00:00:00,121.19960304257711,
2021-12-10 10:00:00,73.41380620079644,
2021-12-10 10:30:00,90.2323918717425,
2021-12-10 12:00:00,91.05528153927344,
2021-12-10 13:30:00,99.88034605110124,
2021-12-10 15:00:00,76.37022512348949,
2021-12-10 15:30:30,76.37022512348949,
2021-12-10 23:59:59,87.33667081376143,w
2021-12-13 00:00:00,99.72260325022035,
2021-12-13 10:00:00,145.50208895774404,
2021-12-13 10:30:00,111.77517171711088,
2021-12-13 12:00:00,41.49161727060391,
2021-12-13 13:30:00,74.95830505683853,
2021-12-13 15:00:00,72.0892219959942,
2021-12-13 15:30:30,72.0892219959942,
2021-12-13 23:59:59,48.818976668706,c
2021-12-14 00:00:00,-53.32603741835692,
2021-12-14 10:00:00,9.253619121756856,
2021-12-14 10:30:00,-2.560482868741019,
2021-12-14 12:00:00,-11.330299084756462,
2021-12-14 13:30:00,-15.204492864450913,
2021-12-14 15:00:00,16.926092269074616,
2021-12-14 15:30:30,16.926092269074616,
2021-12-14 23:59:59,-3.117993916640444,c
2021-12-15 00:00:00,-28.845873016512087,
2021-12-15 10:00:00,-15.736305557340529,
2021-12-15 10:30:00,-13.484578481071367,
2021-12-15 12:00:00,-5.8186937924588165,
2021-12-15 13:30:00,-13.39465437504714,
2021-12-15 15:00:00,46.38239545895294,
2021-12-15 15:30:30,46.38239545895294,
2021-12-15 23:59:59,77.88823653570353,c
2021-12-16 00:00:00,137.85001022577308,
2021-12-16 10:00:00,126.85571017381244,
2021-12-16 10:30:00,128.5725207898763,
2021-12-16 12:00:00,1.3996153494695136,
2021-12-16 13:30:00,-23.536301921838458,
2021-12-16 15:00:00,-115.04796724699463,
