date,DTCC_ROBO_2021_Q4,meta
2021-12-02 00:00:00,495.4903093846824,
2021-12-02 10:00:00,579.1355515107456,
2021-12-02 10:30:00,585.6793190711533,
2021-12-02 12:00:00,585.6793190711533,
2021-12-02 13:30:00,585.6793190711533,
2021-12-02 15:00:00,585.6793190711533,
2021-12-02 15:30:30,585.6793190711533,
2021-12-02 23:59:59,600.1869420071376,c
2021-12-03 00:00:00,653.616250260896,
2021-12-03 10:00:00,404.1404656318864,
2021-12-03 10:30:00,387.0593650073343,
2021-12-03 12:00:00,387.0593650073343,
2021-12-03 13:30:00,387.0593650073343,
2021-12-03 15:00:00,387.0593650073343,
2021-12-03 15:30:30,387.0593650073343,
2021-12-03 23:59:59,350.0046866504117,w
2021-12-06 00:00:00,322.90517060633323,
2021-12-06 10:00:00,447.91914605126544,
2021-12-06 10:30:00,423.81829438640057,
2021-12-06 12:00:00,423.81829438640057,
2021-12-06 13:30:00,423.81829438640057,
2021-12-06 15:00:00,423.81829438640057,
2021-12-06 15:30:30,423.81829438640057,
2021-12-06 23:59:59,393.99887937880305,c
2021-12-07 00:00:00,393.99887937880305,
2021-12-07 10:00:00,552.251247121787,
2021-12-07 10:30:00,536.2474679178301,
2021-12-07 12:00:00,536.2474679178301,
2021-12-07 13:30:00,536.2474679178301,
2021-12-07 15:00:00,536.2474679178301,
2021-12-07 15:30:30,536.2474679178301,
2021-12-07 23:59:59,497.7524167262093,c
2021-12-08 00:00:00,729.5935628895787,
2021-12-08 10:00:00,658.6068697436218,
2021-12-08 10:30:00,637.7775147462813,
2021-12-08 12:00:00,637.7775147462813,
2021-12-08 13:30:00,637.7775147462813,
2021-12-08 15:00:00,637.7775147462813,
2021-12-08 15:30:30,637.7775147462813,
2021-12-08 23:59:59,574.2037064749184,c
2021-12-09 00:00:00,613.9243484901913,
2021-12-09 10:00:00,311.14643670744977,
2021-12-09 10:30:00,348.2707239388571,
2021-12-09 12:00:00,348.2707239388571,
2021-12-09 13:30:00,348.2707239388571,
2021-12-09 15:00:00,348.2707239388571,
2021-12-09 15:30:30,348.2707239388571,
2021-12-09 23:59:59,395.14553808240885,c
2021-12-10 00:00:00,396.89037942621206,
2021-12-10 10:00:00,294.5251049708545,
2021-12-10 10:30:00,269.47850387362365,
2021-12-10 12:00:00,269.47850387362365,
2021-12-10 13:30:00,269.47850387362365,
2021-12-10 15:00:00,269.47850387362365,
2021-12-10 15:30:30,269.47850387362365,
2021-12-10 23:59:59,249.60738922039218,w
2021-12-13 00:00:00,312.4485442249438,
2021-12-13 10:00:00,462.54870305218543,
2021-12-13 10:30:00,457.7573511210615,
2021-12-13 12:00:00,457.7573511210615,
2021-12-13 13:30:00,457.7573511210615,
2021-12-13 15:00:00,457.7573511210615,
2021-12-13 15:30:30,457.7573511210615,
2021-12-13 23:59:59,484.3557344343336,c
2021-12-14 00:00:00,74.61272812724258,
2021-12-14 10:00:00,-74.48385846047012,
2021-12-14 10:30:00,-70.86845297999125,
2021-12-14 12:00:00,-70.86845297999125,
2021-12-14 13:30:00,-70.86845297999125,
2021-12-14 15:00:00,-70.86845297999125,
2021-12-14 15:30:30,-70.86845297999125,
2021-12-14 23:59:59,-60.73695603310547,c
2021-12-15 00:00:00,0.9923120009564279,
2021-12-15 10:00:00,-22.764256863987,
2021-12-15 10:30:00,-43.37323924807365,
2021-12-15 12:00:00,-43.37323924807365,
2021-12-15 13:30:00,-43.37323924807365,
2021-12-15 15:00:00,-43.37323924807365,
2021-12-15 15:30:30,-43.37323924807365,
2021-12-15 23:59:59,-53.03106017819081,c
2021-12-16 00:00:00,70.59192509983245,
2021-12-16 10:00:00,3.3054069394266214,
2021-12-16 10:30:00,0.9102730532660139,
2021-12-16 12:00:00,0.9102730532660139,
2021-12-16 13:30:00,0.9102730532660139,
2021-12-16 15:00:00,0.9102730532660139,
2021-12-16 15:30:30,0.9102730532660139,
2021-12-16 23:59:59,0.0,a
2021-12-17 00:00:00,38.16284380675545,
2021-12-17 10:00:00,-119.66764193814299,
2021-12-17 10:30:00,-205.32440977428087,
2021-12-17 12:00:00,-205.32440977428087,
2021-12-17 13:30:00,-205.32440977428087,
2021-12-17 15:00:00,-205.32440977428087,
2021-12-17 15:30:30,-205.32440977428087,
2021-12-17 23:59:59,-203.55159823857286,e
2021-12-20 00:00:00,-291.4774764508474,
2021-12-20 10:00:00,-506.05052591682215,
2021-12-20 10:30:00,-516.8944167663537,
2021-12-20 12:00:00,-516.8944167663537,
2021-12-20 13:30:00,-516.8944167663537,
2021-12-20 15:00:00,-516.8944167663537,
2021-12-20 15:30:30,-516.8944167663537,
2021-12-20 23:59:59,-528.7740099586625,c
2021-12-21 00:00:00,-487.5846296399582,
2021-12-21 10:00:00,-579.8968745436465,
2021-12-21 10:30:00,-567.6199389913849,
2021-12-21 12:00:00,-567.6199389913849,
2021-12-21 13:30:00,-567.6199389913849,
2021-12-21 15:00:00,-567.6199389913849,
2021-12-21 15:30:30,-567.6199389913849,
2021-12-21 23:59:59,-578.1483377797455,c
2021-12-22 00:00:00,-576.7068940816505,
2021-12-22 10:00:00,-559.6567497056617,
2021-12-22 10:30:00,-552.1578604959324,
2021-12-22 12:00:00,-552.1578604959324,
2021-12-22 13:30:00,-552.1578604959324,
2021-12-22 15:00:00,-552.1578604959324,
2021-12-22 15:30:30,-552.1578604959324,
2021-12-22 23:59:59,-544.3758599658195,c
2021-12-23 00:00:00,-523.1306905097164,
2021-12-23 10:00:00,-586.2517892855984,
2021-12-23 10:30:00,-567.5504459419191,
2021-12-23 12:00:00,-567.5504459419191,
2021-12-23 13:30:00,-567.5504459419191,
2021-12-23 15:00:00,-567.5504459419191,
