date,AS_FTSE_DM_SC_2022_Q1,meta
2022-01-07 00:00:00,328.54457893556713,
2022-01-07 01:00:00,335.6003024937544,
2022-01-07 02:30:00,331.65590526526177,
2022-01-07 03:00:00,331.0314166975858,
2022-01-07 18:30:00,331.0314166975858,
2022-01-07 20:00:00,331.0314166975858,
2022-01-07 23:00:00,331.0314166975858,
2022-01-07 23:59:59,330.63210623931485,w
2022-01-10 00:00:00,365.2848859588618,
2022-01-10 01:00:00,364.6907672686863,
2022-01-10 02:30:00,362.66624264136397,
2022-01-10 03:00:00,366.8544394744875,
2022-01-10 18:30:00,389.40484337653777,
2022-01-10 20:00:00,378.14986837637696,
2022-01-10 23:00:00,381.9436695664606,
2022-01-10 23:59:59,372.4364413822732,c
2022-01-11 00:00:00,362.9494067557294,
2022-01-11 01:00:00,360.4041926358884,
2022-01-11 02:30:00,358.4886925259325,
2022-01-11 03:00:00,361.15527064932724,
2022-01-11 18:30:00,341.3049406909294,
2022-01-11 20:00:00,401.06744185068766,
2022-01-11 23:00:00,456.21003591443935,
2022-01-11 23:59:59,462.6648512362791,c
2022-01-12 00:00:00,481.446122142087,
2022-01-12 01:00:00,487.0648492103138,
2022-01-12 02:30:00,483.1900056623977,
2022-01-12 03:00:00,483.8535154930805,
2022-01-12 18:30:00,462.71843273269707,
2022-01-12 20:00:00,463.99337403087986,
2022-01-12 23:00:00,443.6313673244467,
2022-01-12 23:59:59,432.5993390979968,c
2022-01-13 00:00:00,423.6968103992044,
2022-01-13 01:00:00,422.8975924205767,
2022-01-13 02:30:00,426.6852647796959,
2022-01-13 03:00:00,431.55814427779035,
2022-01-13 18:30:00,440.0241817315764,
2022-01-13 20:00:00,481.50322891910855,
2022-01-13 23:00:00,480.47194749693364,
2022-01-13 23:59:59,483.4361864750765,c
2022-01-14 00:00:00,486.43487370402,
2022-01-14 01:00:00,488.115641121252,
2022-01-14 02:30:00,485.9277196418317,
2022-01-14 03:00:00,484.3604914676275,
2022-01-14 18:30:00,484.3604914676275,
2022-01-14 20:00:00,484.3604914676275,
2022-01-14 23:00:00,484.3604914676275,
2022-01-14 23:59:59,487.92538600261054,w
2022-01-17 00:00:00,377.30400879903107,
2022-01-17 01:00:00,376.33445243628216,
2022-01-17 02:30:00,379.6984615408263,
2022-01-17 03:00:00,380.4409042105209,
2022-01-17 18:30:00,412.3141266005887,
2022-01-17 20:00:00,445.04160686092916,
2022-01-17 23:00:00,405.9778848667311,
2022-01-17 23:59:59,412.09071386796893,c
2022-01-18 00:00:00,417.0486834872301,
2022-01-18 01:00:00,417.2077740457469,
2022-01-18 02:30:00,418.2180104108514,
2022-01-18 03:00:00,422.0956004117757,
2022-01-18 18:30:00,426.6561174852301,
2022-01-18 20:00:00,431.93686763524744,
2022-01-18 23:00:00,414.4234290877012,
2022-01-18 23:59:59,408.9327101959236,c
2022-01-19 00:00:00,398.22723773222407,
2022-01-19 01:00:00,397.86407284780466,
2022-01-19 02:30:00,396.33921429299807,
2022-01-19 03:00:00,395.305735791619,
2022-01-19 18:30:00,397.956025491019,
2022-01-19 20:00:00,404.8719380227425,
2022-01-19 23:00:00,424.2598575910965,
2022-01-19 23:59:59,420.24499055114836,c
2022-01-20 00:00:00,418.25006776969707,
2022-01-20 01:00:00,412.4340226458396,
2022-01-20 02:30:00,414.6115939716907,
2022-01-20 03:00:00,416.12739118243536,
2022-01-20 18:30:00,389.96629587245786,
2022-01-20 20:00:00,352.1505934755575,
2022-01-20 23:00:00,330.8169364424025,
2022-01-20 23:59:59,320.0192483420399,c
2022-01-21 00:00:00,320.217673128787,
2022-01-21 01:00:00,329.28160503844555,
2022-01-21 02:30:00,329.31683566879275,
2022-01-21 03:00:00,328.3593353501723,
2022-01-21 18:30:00,328.3593353501723,
2022-01-21 20:00:00,328.3593353501723,
2022-01-21 23:00:00,328.3593353501723,
2022-01-21 23:59:59,330.3972890768871,w
2022-01-24 00:00:00,278.3805879911994,
2022-01-24 01:00:00,273.6225044710839,
2022-01-24 02:30:00,273.9292118622539,
2022-01-24 03:00:00,273.86354453351095,
2022-01-24 18:30:00,269.74112589861556,
2022-01-24 20:00:00,184.26060927891012,
2022-01-24 23:00:00,144.52271497027212,
2022-01-24 23:59:59,142.8130935986225,c
2022-01-25 00:00:00,141.5126227509462,
2022-01-25 01:00:00,140.58066750093872,
2022-01-25 02:30:00,138.94671107698852,
2022-01-25 03:00:00,137.00968537353972,
2022-01-25 18:30:00,138.6322651370504,
2022-01-25 20:00:00,145.28165574646084,
2022-01-25 23:00:00,160.72957969027303,
2022-01-25 23:59:59,162.60902867419142,c
2022-01-26 00:00:00,159.8179713546131,
2022-01-26 01:00:00,164.37256489553567,
2022-01-26 02:30:00,159.54631039860325,
2022-01-26 03:00:00,162.39651592115774,
2022-01-26 18:30:00,189.729524195906,
2022-01-26 20:00:00,172.69102060510758,
2022-01-26 23:00:00,121.30145842712452,
2022-01-26 23:59:59,123.73880334189283,c
2022-01-27 00:00:00,131.1634968719522,
2022-01-27 01:00:00,136.95650630799824,
2022-01-27 02:30:00,135.5072852277829,
2022-01-27 03:00:00,135.36386213404208,
2022-01-27 18:30:00,93.69891661937945,
2022-01-27 20:00:00,100.18000309104681,
2022-01-27 23:00:00,119.25473910930953,
2022-01-27 23:59:59,118.01242417037341,c
2022-01-28 00:00:00,107.65243960794686,
2022-01-28 01:00:00,102.20813988860365,
2022-01-28 02:30:00,101.81287010790032,
2022-01-28 03:00:00,98.73854382358255,
2022-01-28 18:30:00,98.73854382358255,
