date,EU_FTSEUK_STAY_2021_Q4,meta
2021-12-01 03:30:00,-21.72581205943743,
2021-12-01 04:00:00,-17.857706450203295,
2021-12-01 06:00:00,-28.647959656327203,
2021-12-01 08:00:00,-14.266787151052085,
2021-12-01 10:30:00,22.696304178288756,
2021-12-01 11:00:00,12.142814066244227,
2021-12-01 23:59:59,0.0,a
2021-12-02 00:00:00,58.05454898790413,
2021-12-02 03:30:00,23.391259404306766,
2021-12-02 04:00:00,-3.233622138068313,
2021-12-02 06:00:00,-26.534591271913996,
2021-12-02 08:00:00,-0.7107718709144137,
2021-12-02 10:30:00,-31.79405270775942,
2021-12-02 11:00:00,-35.73787545146706,
2021-12-02 23:59:59,-7.241869146392673,c
2021-12-03 00:00:00,-65.13162730778186,
2021-12-03 03:30:00,-27.141359155577902,
2021-12-03 04:00:00,-11.648093423471437,
2021-12-03 06:00:00,-11.29476202774049,
2021-12-03 08:00:00,-22.292116224896745,
2021-12-03 10:30:00,-26.767061926066617,
2021-12-03 11:00:00,-7.087916552131901,
2021-12-03 23:59:59,-13.66669448075072,w
2021-12-06 00:00:00,-55.42806126011601,
2021-12-06 03:30:00,-66.54453389191076,
2021-12-06 04:00:00,-74.56012983472374,
2021-12-06 06:00:00,-66.73009498195643,
2021-12-06 08:00:00,-91.49030998411763,
2021-12-06 10:30:00,-59.84756416775599,
2021-12-06 11:00:00,-71.58795074067802,
2021-12-06 23:59:59,-53.00476872537274,c
2021-12-07 00:00:00,-53.00476872537274,
2021-12-07 03:30:00,-48.589100900811445,
2021-12-07 04:00:00,-63.24632066412687,
2021-12-07 06:00:00,-10.898232333089709,
2021-12-07 08:00:00,9.6678298773395,
2021-12-07 10:30:00,6.601456579128808,
2021-12-07 11:00:00,-1.2258003251722585,
2021-12-07 23:59:59,-14.197253816982538,c
2021-12-08 00:00:00,8.781688500420387,
2021-12-08 03:30:00,-12.42043360565367,
2021-12-08 04:00:00,-0.5854366863518408,
2021-12-08 06:00:00,36.519994187126485,
2021-12-08 08:00:00,11.480151395665871,
2021-12-08 10:30:00,16.025517965212657,
2021-12-08 11:00:00,8.076599870800692,
2021-12-08 23:59:59,8.86059034827349,c
2021-12-09 00:00:00,10.215077893558828,
2021-12-09 03:30:00,11.765540372340638,
2021-12-09 04:00:00,28.119493047929154,
2021-12-09 06:00:00,4.447231651243783,
2021-12-09 08:00:00,19.289222380112278,
2021-12-09 10:30:00,-5.153055102001417,
2021-12-09 11:00:00,-13.928162439411153,
2021-12-09 23:59:59,0.6146737493463661,c
2021-12-10 00:00:00,21.758855517720804,
2021-12-10 03:30:00,-32.059918836872384,
2021-12-10 04:00:00,-42.19102167802612,
2021-12-10 06:00:00,-47.56480469033022,
2021-12-10 08:00:00,-82.5329357036585,
2021-12-10 10:30:00,-70.86174356376205,
2021-12-10 11:00:00,-80.96863693300702,
2021-12-10 23:59:59,-72.37240047286332,w
2021-12-13 00:00:00,-70.95244868896634,
2021-12-13 03:30:00,-93.3399529826379,
2021-12-13 04:00:00,-83.51315555437895,
2021-12-13 06:00:00,-69.55820410275965,
2021-12-13 08:00:00,-70.59663208272741,
2021-12-13 10:30:00,-20.32263182920633,
2021-12-13 11:00:00,-17.465163624439356,
2021-12-13 23:59:59,-18.050071411872977,c
2021-12-14 00:00:00,-47.715262192954924,
2021-12-14 03:30:00,-40.45592991577951,
2021-12-14 04:00:00,-33.39043892150903,
2021-12-14 06:00:00,-48.700170138559315,
2021-12-14 08:00:00,-39.97598954381601,
2021-12-14 10:30:00,-61.156143068235906,
2021-12-14 11:00:00,-59.99113113342173,
2021-12-14 23:59:59,-32.02554849237458,c
2021-12-15 00:00:00,-44.159117708816666,
2021-12-15 03:30:00,-20.608280213726175,
2021-12-15 04:00:00,-2.7278012301117087,
2021-12-15 06:00:00,8.137530333765426,
2021-12-15 08:00:00,0.20577064053077265,
2021-12-15 10:30:00,39.75744121972048,
2021-12-15 11:00:00,30.851218840331967,
2021-12-15 23:59:59,20.526849774897528,c
2021-12-16 00:00:00,-20.89552594882116,
2021-12-16 03:30:00,-67.87512258570314,
2021-12-16 04:00:00,-58.52349354051648,
2021-12-16 06:00:00,-31.64828177458503,
2021-12-16 08:00:00,-77.13523287612725,
2021-12-16 10:30:00,-68.95647631635984,
2021-12-16 11:00:00,-68.02497439798844,
2021-12-16 23:59:59,-54.25126016821059,c
2021-12-17 00:00:00,-50.73556785063374,
2021-12-17 03:30:00,-59.94958045969679,
2021-12-17 04:00:00,-69.9842096160719,
2021-12-17 06:00:00,-67.6973868975515,
2021-12-17 08:00:00,-44.97812366189237,
2021-12-17 10:30:00,4.435741150035483,
2021-12-17 11:00:00,-25.488929556679977,
2021-12-17 23:59:59,-26.91184029586111,e
2021-12-20 00:00:00,65.17845626434746,
2021-12-20 03:30:00,41.550948268191405,
2021-12-20 04:00:00,48.19821523210658,
2021-12-20 06:00:00,9.33467592533043,
2021-12-20 08:00:00,5.83977322185001,
2021-12-20 10:30:00,22.214027011510098,
2021-12-20 11:00:00,26.334154745960404,
2021-12-20 23:59:59,24.142591846175037,c
2021-12-21 00:00:00,-0.6968939109542589,
2021-12-21 03:30:00,-5.820303409336702,
2021-12-21 04:00:00,-28.026779521469052,
2021-12-21 06:00:00,8.02410742840675,
2021-12-21 08:00:00,0.5838824311849748,
2021-12-21 10:30:00,-18.187982487169847,
2021-12-21 11:00:00,-20.629002679283985,
2021-12-21 23:59:59,-19.809221972472187,c
2021-12-22 00:00:00,-43.882528417586855,
2021-12-22 03:30:00,-15.377558453149959,
2021-12-22 04:00:00,-14.528258377243219,
2021-12-22 06:00:00,-50.68801903954318,
2021-12-22 08:00:00,-37.10787787332174,
