date,SPX46_PURE_GV_2020_Q4,meta
2020-11-06 00:00:00,348.1974022058589,
2020-11-06 10:00:00,343.6496745258539,
2020-11-06 10:30:00,360.5348030806035,
2020-11-06 12:00:00,363.61522496346447,
2020-11-06 13:30:00,349.8588984394953,
2020-11-06 15:00:00,344.41498491085986,
2020-11-06 15:30:30,344.41498491085986,
2020-11-06 23:59:59,334.3733924423989,w
2020-11-09 00:00:00,245.2407627548905,
2020-11-09 10:00:00,182.5770916507065,
2020-11-09 10:30:00,196.41630549761203,
2020-11-09 12:00:00,189.52692755933117,
2020-11-09 13:30:00,142.8559033704421,
2020-11-09 15:00:00,129.6371319057348,
2020-11-09 15:30:30,129.6371319057348,f
2020-11-09 23:59:59,90.1549964613555,c
2020-11-10 00:00:00,97.00337307863879,
2020-11-10 10:00:00,35.41460982317676,
2020-11-10 10:30:00,-11.047286546087207,
2020-11-10 12:00:00,27.506965068805584,
2020-11-10 13:30:00,26.491399707325627,
2020-11-10 15:00:00,15.401537784075117,
2020-11-10 15:30:30,15.401537784075117,
2020-11-10 23:59:59,11.507782262410728,c
2020-11-11 00:00:00,23.979765649975207,
2020-11-11 10:00:00,93.3305754664666,
2020-11-11 10:30:00,98.41787636485356,
2020-11-11 12:00:00,113.85931196835418,
2020-11-11 13:30:00,111.03920388837787,
2020-11-11 15:00:00,110.96543777493935,
2020-11-11 15:30:30,110.96543777493935,
2020-11-11 23:59:59,110.50355821591302,c
2020-11-12 00:00:00,129.68082717275433,
2020-11-12 10:00:00,120.07616997752802,
2020-11-12 10:30:00,106.77595719001351,
2020-11-12 12:00:00,91.40339244874872,
2020-11-12 13:30:00,82.20206476295266,
2020-11-12 15:00:00,86.37112605451557,
2020-11-12 15:30:30,86.37112605451557,
2020-11-12 23:59:59,85.53013141534416,c
2020-11-13 00:00:00,98.54186270416517,
2020-11-13 10:00:00,88.65826425876298,
2020-11-13 10:30:00,81.21558004809049,
2020-11-13 12:00:00,59.37498468871286,
2020-11-13 13:30:00,41.57434893752156,
2020-11-13 15:00:00,42.95725793956535,
2020-11-13 15:30:30,42.95725793956535,s
2020-11-13 23:59:59,39.97664411575124,w
2020-11-16 00:00:00,6.147792536045699,
2020-11-16 10:00:00,12.844969934481696,
2020-11-16 10:30:00,8.419107209980211,
2020-11-16 12:00:00,-7.501027197786925,
2020-11-16 13:30:00,-8.277155500592244,
2020-11-16 15:00:00,-13.874915773432576,
