date,AS_WT_2022_Q4,meta
2022-09-23 00:00:00,218.19024892571724,
2022-09-23 01:00:00,221.03679880190248,
2022-09-23 02:30:00,222.93097124220367,
2022-09-23 03:00:00,222.77345264585801,
2022-09-23 18:30:00,222.77345264585801,
2022-09-23 20:00:00,222.77345264585801,
2022-09-23 23:00:00,222.77345264585801,
2022-09-23 23:59:59,216.41450876672297,w
2022-09-26 00:00:00,130.01769258240893,
2022-09-26 01:00:00,110.0962404476486,
2022-09-26 02:30:00,102.38950029009993,
2022-09-26 03:00:00,100.13581717820489,
2022-09-26 18:30:00,100.13581717820489,
2022-09-26 20:00:00,100.13581717820489,
2022-09-26 23:00:00,85.00795712156832,
2022-09-26 23:59:59,86.08103681433386,c
2022-09-27 00:00:00,89.96271214863646,
2022-09-27 01:00:00,99.13904248394738,
2022-09-27 02:30:00,115.03418813153166,
2022-09-27 03:00:00,118.53007714213436,
2022-09-27 18:30:00,118.53007714213436,
2022-09-27 20:00:00,118.53007714213436,
2022-09-27 23:00:00,45.87580680416704,
2022-09-27 23:59:59,43.11203325327824,c
2022-09-28 00:00:00,38.01496725417019,
2022-09-28 01:00:00,27.40674174129981,
2022-09-28 02:30:00,20.877495941039342,
2022-09-28 03:00:00,13.644557195192647,
2022-09-28 18:30:00,13.644557195192647,
2022-09-28 20:00:00,13.644557195192647,
2022-09-28 23:00:00,-47.23930044071403,
2022-09-28 23:59:59,-14.191059987709195,c
2022-09-29 00:00:00,14.801129443830177,
2022-09-29 01:00:00,11.337820766586447,
2022-09-29 02:30:00,-16.934032053405645,
2022-09-29 03:00:00,-21.458215740541164,
2022-09-29 18:30:00,-21.458215740541164,
2022-09-29 20:00:00,-21.458215740541164,
2022-09-29 23:00:00,0.1244378442006564,
2022-09-29 23:59:59,11.931259000018144,c
2022-09-30 00:00:00,-11.99358499248774,
2022-09-30 01:00:00,-9.222255567764478,
2022-09-30 02:30:00,-7.237588965317627,
2022-09-30 03:00:00,-5.7433984926456105,
2022-09-30 18:30:00,-5.7433984926456105,
2022-09-30 20:00:00,-5.7433984926456105,
2022-09-30 23:00:00,-5.7433984926456105,
2022-09-30 23:59:59,-7.577690601359791,w
2022-10-03 00:00:00,-44.09305227994764,
2022-10-03 01:00:00,-46.03834512828644,
2022-10-03 02:30:00,-48.09564456435055,
2022-10-03 03:00:00,-51.35060825059736,
2022-10-03 18:30:00,-51.35060825059736,
2022-10-03 20:00:00,-51.35060825059736,
2022-10-03 23:00:00,-25.095969675044216,
2022-10-03 23:59:59,-10.16497570725187,c
2022-10-04 00:00:00,14.789332260212177,
2022-10-04 01:00:00,13.656684262508861,
2022-10-04 02:30:00,13.656684262508861,
2022-10-04 03:00:00,23.072156475341217,
2022-10-04 18:30:00,23.072156475341217,
2022-10-04 20:00:00,23.072156475341217,
2022-10-04 23:00:00,36.04563938967476,
2022-10-04 23:59:59,31.526562714275315,c
2022-10-05 00:00:00,72.86839375855016,
2022-10-05 01:00:00,64.83712448899587,
2022-10-05 02:30:00,86.6237378110518,
2022-10-05 03:00:00,87.86933007836706,
2022-10-05 18:30:00,87.86933007836706,
2022-10-05 20:00:00,87.86933007836706,
2022-10-05 23:00:00,70.37015358778717,
2022-10-05 23:59:59,54.68836286249643,c
2022-10-06 00:00:00,56.28902551914234,
2022-10-06 01:00:00,62.346741385987116,
2022-10-06 02:30:00,57.40289309745549,
2022-10-06 03:00:00,54.966850504064496,
2022-10-06 18:30:00,54.966850504064496,
2022-10-06 20:00:00,54.966850504064496,
2022-10-06 23:00:00,47.0445210454518,
2022-10-06 23:59:59,21.240601588822756,c
2022-10-07 00:00:00,3.4895277887462726,
2022-10-07 01:00:00,-2.644730794620955,
2022-10-07 02:30:00,-7.009838190256232,
2022-10-07 03:00:00,-7.46523311160945,
2022-10-07 18:30:00,-7.46523311160945,
2022-10-07 20:00:00,-7.46523311160945,
2022-10-07 23:00:00,-7.46523311160945,
2022-10-07 23:59:59,0.0,a
2022-10-10 00:00:00,24.845029862509364,
2022-10-10 01:00:00,21.28586301332689,
2022-10-10 02:30:00,16.76318403978985,
2022-10-10 03:00:00,16.54002540858164,
2022-10-10 18:30:00,16.54002540858164,
2022-10-10 20:00:00,16.54002540858164,
2022-10-10 23:00:00,19.437616850867016,
2022-10-10 23:59:59,30.296915282410737,c
2022-10-11 00:00:00,11.562410748406364,
2022-10-11 01:00:00,7.982968742406229,
2022-10-11 02:30:00,2.7713015183380776,
2022-10-11 03:00:00,-1.6155596534445067,
2022-10-11 18:30:00,-1.6155596534445067,
2022-10-11 20:00:00,-1.6155596534445067,
2022-10-11 23:00:00,-21.69803972988757,
2022-10-11 23:59:59,-23.71323234898682,c
2022-10-12 00:00:00,-18.575391908743768,
2022-10-12 01:00:00,-13.691260751301343,
2022-10-12 02:30:00,18.75434823823616,
2022-10-12 03:00:00,21.795825663332835,
2022-10-12 18:30:00,21.795825663332835,
2022-10-12 20:00:00,21.795825663332835,
2022-10-12 23:00:00,-21.264669365516966,
2022-10-12 23:59:59,-29.704935800524254,c
2022-10-13 00:00:00,-26.293572562404734,
2022-10-13 01:00:00,-39.57763173985222,
2022-10-13 02:30:00,-36.22803280115568,
2022-10-13 03:00:00,-40.738815071114914,
2022-10-13 18:30:00,-40.738815071114914,
2022-10-13 20:00:00,-40.738815071114914,
2022-10-13 23:00:00,16.799595961758314,
2022-10-13 23:59:59,33.72707269534385,c
2022-10-14 00:00:00,63.75976859275943,
2022-10-14 01:00:00,59.61620693751229,
2022-10-14 02:30:00,54.664283861968215,
2022-10-14 03:00:00,50.789109183437176,
