date,COWZ_2022_Q3,meta
2022-09-22 10:00:00,18.2026397316891,
2022-09-22 10:30:00,20.040955239517338,
2022-09-22 12:00:00,27.19499133690892,
2022-09-22 13:30:00,22.827427165023,
2022-09-22 15:00:00,28.821403414956762,
2022-09-22 15:30:30,28.821403414956762,
2022-09-22 23:59:59,13.132361922732116,c
2022-09-23 00:00:00,-43.997665818667976,
2022-09-23 10:00:00,-78.5937965555289,
2022-09-23 10:30:00,-72.55587120025196,
2022-09-23 12:00:00,-80.50627114985082,
2022-09-23 13:30:00,-68.19726084877989,
2022-09-23 15:00:00,-80.52357103891806,
2022-09-23 15:30:30,-80.52357103891806,
2022-09-23 23:59:59,-89.44556082557727,w
2022-09-26 00:00:00,-94.82691809735321,
2022-09-26 10:00:00,-111.89363197631293,
2022-09-26 10:30:00,-95.86219045075049,
2022-09-26 12:00:00,-98.42130089094532,
2022-09-26 13:30:00,-93.81080574258868,
2022-09-26 15:00:00,-109.95292947866548,
2022-09-26 15:30:30,-109.95292947866548,
2022-09-26 23:59:59,-105.08707270108067,c
2022-09-27 00:00:00,-87.05571673935667,
2022-09-27 10:00:00,-83.44530078184475,
2022-09-27 10:30:00,-70.02980171961332,
2022-09-27 12:00:00,-71.91164505147438,
2022-09-27 13:30:00,-70.01748508569845,
2022-09-27 15:00:00,-65.31040827651633,
2022-09-27 15:30:30,-65.31040827651633,
2022-09-27 23:59:59,-65.41403915872759,c
2022-09-28 00:00:00,-105.37202909046624,
2022-09-28 10:00:00,-99.11488796996991,
2022-09-28 10:30:00,-103.7697061197652,
2022-09-28 12:00:00,-104.62937319923343,
2022-09-28 13:30:00,-79.86025684216338,
2022-09-28 15:00:00,-71.1859353438996,
2022-09-28 15:30:30,-71.1859353438996,
2022-09-28 23:59:59,-53.879801319656664,c
2022-09-29 00:00:00,-15.177264881204396,
2022-09-29 10:00:00,9.140103506855747,
2022-09-29 10:30:00,-9.258127778288218,
2022-09-29 12:00:00,5.373791255377913,
2022-09-29 13:30:00,22.901042831810305,
2022-09-29 15:00:00,32.62856898814561,
2022-09-29 15:30:30,32.62856898814561,
2022-09-29 23:59:59,46.77510123639064,c
2022-09-30 00:00:00,40.08355248979242,
2022-09-30 10:00:00,43.08672488536229,
2022-09-30 10:30:00,46.039291280091255,
2022-09-30 12:00:00,53.501934747506866,
2022-09-30 13:30:00,49.717782973349074,
2022-09-30 15:00:00,52.71196919074008,
2022-09-30 15:30:30,52.71196919074008,
2022-09-30 23:59:59,51.85544561397594,w
