date,EU_SXXEP6_STAY_2022_Q3,meta
2022-09-01 00:00:00,-24.467339284942454,
2022-09-01 03:30:00,-1.3278872783855604,
2022-09-01 04:00:00,-2.832744375681159,
2022-09-01 06:00:00,5.664251891459685,
2022-09-01 08:00:00,17.944908788835733,
2022-09-01 10:30:00,17.32057409969184,
2022-09-01 11:00:00,22.840620497748546,
2022-09-01 23:59:59,0.0,a
2022-09-02 00:00:00,9.405341940672884,
2022-09-02 03:30:00,7.616119530094352,
2022-09-02 04:00:00,10.516759594793257,
2022-09-02 06:00:00,3.5721947550239292,
2022-09-02 08:00:00,-13.689270135329025,
2022-09-02 10:30:00,-28.59760271660241,
2022-09-02 11:00:00,-29.93332537431843,
2022-09-02 23:59:59,-21.180614588164417,w
2022-09-05 00:00:00,-2.010436717887046,
2022-09-05 03:30:00,4.71754413775659,
2022-09-05 04:00:00,2.6761861758028545,
2022-09-05 06:00:00,-13.886470707466287,
2022-09-05 08:00:00,-17.625445524297334,
2022-09-05 10:30:00,-32.40302023827587,
2022-09-05 11:00:00,-31.842108157199505,
2022-09-05 23:59:59,-32.36100850195294,c
2022-09-06 00:00:00,-11.371518886703484,
2022-09-06 03:30:00,-30.50331839039552,
2022-09-06 04:00:00,-20.84117616656988,
2022-09-06 06:00:00,-23.95797951792474,
2022-09-06 08:00:00,-22.544351245106782,
2022-09-06 10:30:00,-22.71033512476629,
2022-09-06 11:00:00,-17.0894065982161,
2022-09-06 23:59:59,-26.65741528829267,c
0,-26.65741528829267,
0,-26.65741528829267,
0,-26.65741528829267,
0,-26.65741528829267,
0,-26.65741528829267,
0,-26.65741528829267,
0,-26.65741528829267,
0,-26.65741528829267,
2022-09-07 00:00:00,-17.45032651213853,
2022-09-07 03:30:00,-25.437276441290464,
2022-09-07 04:00:00,-17.42640673418873,
2022-09-07 06:00:00,15.332923845425398,
2022-09-07 08:00:00,14.466365195182448,
2022-09-07 10:30:00,2.1572999476260293,
2022-09-07 11:00:00,1.3047326101418548,
