date,AS_MSCI_DM_STAY_2022_Q4,meta
2022-09-29 00:00:00,-132.78526399635007,
2022-09-29 01:00:00,-122.16367075293329,
2022-09-29 02:30:00,-108.36476872736716,
2022-09-29 03:00:00,-107.96493527415828,
2022-09-29 18:30:00,-107.96493527415828,
2022-09-29 20:00:00,-107.96493527415828,
2022-09-29 23:00:00,-130.02879118515557,
2022-09-29 23:59:59,-135.9459145067699,c
2022-09-30 00:00:00,-151.59733122924263,
2022-09-30 01:00:00,-152.06396673681843,
2022-09-30 02:30:00,-161.63961744544213,
2022-09-30 03:00:00,-161.5161474745537,
2022-09-30 18:30:00,-161.5161474745537,
2022-09-30 20:00:00,-161.5161474745537,
2022-09-30 23:00:00,-161.5161474745537,
2022-09-30 23:59:59,-156.2619524434008,w
2022-10-03 00:00:00,-138.0254211153458,
2022-10-03 01:00:00,-139.5676563418133,
2022-10-03 02:30:00,-123.47336981550825,
2022-10-03 03:00:00,-122.86875287122939,
2022-10-03 18:30:00,-122.86875287122939,
2022-10-03 20:00:00,-130.69355955943684,
2022-10-03 23:00:00,-121.57277717500187,
2022-10-03 23:59:59,-111.1477414161111,c
2022-10-04 00:00:00,-86.97303663100661,
2022-10-04 01:00:00,-78.41643705793422,
2022-10-04 02:30:00,-71.48246174865994,
2022-10-04 03:00:00,-72.27662121330854,
2022-10-04 18:30:00,-72.27662121330854,
2022-10-04 20:00:00,-85.89022501710383,
2022-10-04 23:00:00,-117.40071971479506,
2022-10-04 23:59:59,-116.68260456554935,c
2022-10-05 00:00:00,-119.28442579194666,
2022-10-05 01:00:00,-123.13362844774178,
2022-10-05 02:30:00,-126.26286486671188,
2022-10-05 03:00:00,-127.20324893124462,
2022-10-05 18:30:00,-127.20324893124462,
2022-10-05 20:00:00,-128.6481756116059,
2022-10-05 23:00:00,-119.69017812093603,
2022-10-05 23:59:59,-118.22383726427938,c
2022-10-06 00:00:00,-114.30510319339783,
2022-10-06 01:00:00,-112.80835922711913,
2022-10-06 02:30:00,-118.75533388187387,
2022-10-06 03:00:00,-119.18386832086117,
2022-10-06 18:30:00,-119.18386832086117,
2022-10-06 20:00:00,-126.22901823898155,
2022-10-06 23:00:00,-121.08762881230746,
2022-10-06 23:59:59,-114.29029293926669,c
2022-10-07 00:00:00,-135.78046602701988,
2022-10-07 01:00:00,-135.2367091985102,
2022-10-07 02:30:00,-135.09556857707958,
2022-10-07 03:00:00,-135.22205583364075,
2022-10-07 18:30:00,-135.22205583364075,
2022-10-07 20:00:00,-135.22205583364075,
2022-10-07 23:00:00,-135.22205583364075,
