date,EU_HEAL_2021_Q2,meta
2021-05-21 00:00:00,-105.14323264713346,
2021-05-21 03:30:00,-93.7485844886786,
2021-05-21 04:00:00,-72.0087814757427,
2021-05-21 06:00:00,-77.57870392631446,
2021-05-21 08:00:00,-60.113238001435775,
2021-05-21 10:30:00,-69.01051524466959,
2021-05-21 11:00:00,-72.45432775486154,
2021-05-21 23:59:59,-79.8488709075217,w
2021-05-24 00:00:00,-90.1667753738094,
2021-05-24 03:30:00,-96.59256618130655,
2021-05-24 04:00:00,-98.08182713199801,
2021-05-24 06:00:00,-86.75344457661765,
2021-05-24 08:00:00,-81.15158940915092,
2021-05-24 10:30:00,-87.04371007866496,
2021-05-24 11:00:00,-81.48928295511394,
2021-05-24 23:59:59,-93.36825350251377,c
2021-05-25 00:00:00,-78.22751971744185,
2021-05-25 03:30:00,-62.51025553428542,
2021-05-25 04:00:00,-63.44416136412144,
2021-05-25 06:00:00,-72.09741348545083,
2021-05-25 08:00:00,-78.16086900642665,
2021-05-25 10:30:00,-83.02104462176237,
2021-05-25 11:00:00,-76.79545035064973,
2021-05-25 23:59:59,-72.04732067701696,c
2021-05-26 00:00:00,-67.56510309562225,
2021-05-26 03:30:00,-65.36900421785765,
2021-05-26 04:00:00,-84.98673884349898,
2021-05-26 06:00:00,-96.39162801295436,
2021-05-26 08:00:00,-79.195757580531,
2021-05-26 10:30:00,-69.27573616825521,
2021-05-26 11:00:00,-36.40480596785437,
2021-05-26 23:59:59,-42.64664563526776,c
2021-05-27 00:00:00,-61.52125621137304,
2021-05-27 03:30:00,-64.04552441813689,
2021-05-27 04:00:00,-39.096227162589,
2021-05-27 06:00:00,-42.362495645487,
2021-05-27 08:00:00,-13.648628536688534,
2021-05-27 10:30:00,-0.41465293490341537,
2021-05-27 11:00:00,-2.716848800350931,
2021-05-27 23:59:59,-1.248074072141435,c
2021-05-28 00:00:00,-6.211385387631822,
2021-05-28 03:30:00,5.05365197836079,
2021-05-28 04:00:00,-6.008349568324434,
2021-05-28 06:00:00,26.28150382017043,
2021-05-28 08:00:00,12.982917823023172,
2021-05-28 10:30:00,-16.918125351119443,
2021-05-28 11:00:00,-9.540322212704837,
2021-05-28 23:59:59,4.811544387907361,w
2021-05-31 00:00:00,-9.86012460350969,
2021-05-31 03:30:00,-0.9235372842489369,
2021-05-31 04:00:00,-3.5833320974702474,
2021-05-31 06:00:00,-22.00523690393061,
2021-05-31 08:00:00,-39.5859185561668,
2021-05-31 10:30:00,-56.83371464971037,
2021-05-31 11:00:00,-57.4563142965992,
2021-05-31 23:59:59,-40.73745129708118,c
2021-06-01 00:00:00,-61.203841471539704,
2021-06-01 03:30:00,-18.194886079765638,
2021-06-01 04:00:00,-28.45919075383358,
2021-06-01 06:00:00,-38.85265272755305,
2021-06-01 08:00:00,-45.19846819271959,
2021-06-01 10:30:00,-52.706830593439236,
2021-06-01 11:00:00,-64.77266186881695,
2021-06-01 23:59:59,-79.01834753177161,c
2021-06-02 00:00:00,-60.321830344491104,
2021-06-02 03:30:00,-48.945675271459436,
2021-06-02 04:00:00,-33.40323008871985,
2021-06-02 06:00:00,-29.05225381758828,
2021-06-02 08:00:00,-63.90760905647926,
2021-06-02 10:30:00,-52.391272206442295,
2021-06-02 11:00:00,-42.987964731796524,
2021-06-02 23:59:59,-43.52611666808241,c
2021-06-03 00:00:00,-16.08809850936518,
2021-06-03 03:30:00,-40.72179112029016,
2021-06-03 04:00:00,-46.16106226578802,
2021-06-03 06:00:00,-64.71385653570849,
2021-06-03 08:00:00,-55.140191786269384,
2021-06-03 10:30:00,-35.79797096811069,
2021-06-03 11:00:00,-40.625076444455885,
2021-06-03 23:59:59,-43.125745642177435,c
2021-06-04 00:00:00,-56.21681563438324,
2021-06-04 03:30:00,-53.7222407740428,
2021-06-04 04:00:00,-59.49297980957931,
2021-06-04 06:00:00,-42.47068063379527,
2021-06-04 08:00:00,-17.953058704828436,
2021-06-04 10:30:00,-8.968026434052376,
2021-06-04 11:00:00,-5.621107225546211,
2021-06-04 23:59:59,0.0,a
2021-06-07 00:00:00,86.18170758903682,
2021-06-07 03:30:00,41.342958367144206,
2021-06-07 04:00:00,43.01478773669726,
2021-06-07 06:00:00,32.745339715173145,
2021-06-07 08:00:00,5.102071294819893,
2021-06-07 10:30:00,-7.210514211185114,
2021-06-07 11:00:00,-18.312877331855475,
2021-06-07 23:59:59,-7.227168933229905,c
2021-06-08 00:00:00,1.56271268972273,
2021-06-08 03:30:00,8.852161328124225,
2021-06-08 04:00:00,-1.7517540635047908,
2021-06-08 06:00:00,4.044555284946114,
2021-06-08 08:00:00,3.4140111841948055,
2021-06-08 10:30:00,32.936127517268915,
2021-06-08 11:00:00,48.38270976599529,
2021-06-08 23:59:59,37.791128475914775,c
2021-06-09 00:00:00,29.71167201374999,
2021-06-09 03:30:00,17.895516938965557,
2021-06-09 04:00:00,14.903618154807873,
2021-06-09 06:00:00,15.849455558112481,
2021-06-09 08:00:00,14.165493918572793,
2021-06-09 10:30:00,13.466424676359111,
2021-06-09 11:00:00,6.391145412839478,
2021-06-09 23:59:59,-0.5733526818162318,c
2021-06-10 00:00:00,-10.31037928083208,
2021-06-10 03:30:00,-5.125404192799351,
2021-06-10 04:00:00,-24.574189221722463,
2021-06-10 06:00:00,-38.79673549972813,
2021-06-10 08:00:00,-18.41596543515186,
2021-06-10 10:30:00,-32.938778856793306,
2021-06-10 11:00:00,-29.892551335512508,
2021-06-10 23:59:59,-37.37773854109173,c
2021-06-11 00:00:00,-67.16872649232243,
2021-06-11 03:30:00,-42.87254765769558,
2021-06-11 04:00:00,-41.796921598037216,
2021-06-11 06:00:00,-33.82873086926031,
2021-06-11 08:00:00,-21.47931130085317,
2021-06-11 10:30:00,-44.87197165640828,
2021-06-11 11:00:00,-32.4052183187971,
2021-06-11 23:59:59,-46.5826869119677,w
2021-06-14 00:00:00,-45.830223335490246,
2021-06-14 03:30:00,-34.354288490639874,
2021-06-14 04:00:00,-50.7923691075398,
2021-06-14 06:00:00,-31.800197036594682,
2021-06-14 08:00:00,-57.89859914309318,
2021-06-14 10:30:00,-74.58812945860734,
2021-06-14 11:00:00,-82.56903275931393,
2021-06-14 23:59:59,-91.08124730590418,c
2021-06-15 00:00:00,-79.08708705982724,
2021-06-15 03:30:00,-103.33611429684231,
2021-06-15 04:00:00,-96.32957891606077,
2021-06-15 06:00:00,-101.64902324572529,
2021-06-15 08:00:00,-107.65345873977333,
2021-06-15 10:30:00,-79.86502226785103,
2021-06-15 11:00:00,-92.40572688492,
2021-06-15 23:59:59,-90.89218862906625,c
2021-06-16 00:00:00,-74.88602302749507,
2021-06-16 03:30:00,-142.7589450810175,
2021-06-16 04:00:00,-143.47312253614257,
2021-06-16 06:00:00,-148.90632279054773,
2021-06-16 08:00:00,-167.9906920274949,
2021-06-16 10:30:00,-192.55962363031915,
2021-06-16 11:00:00,-188.37454672169895,
2021-06-16 23:59:59,-187.54584305054993,c
2021-06-17 00:00:00,-186.17597543271415,
2021-06-17 03:30:00,-186.84417778651812,
2021-06-17 04:00:00,-198.16935679454502,
2021-06-17 06:00:00,-179.72553764526822,
2021-06-17 08:00:00,-186.7218152493491,
2021-06-17 10:30:00,-198.50599951744937,
2021-06-17 11:00:00,-202.76821996245883,
2021-06-17 23:59:59,-210.49687784181094,c
2021-06-18 00:00:00,-215.39275109554217,
2021-06-18 03:30:00,-217.26045426360304,
2021-06-18 04:00:00,-192.327077175829,
2021-06-18 06:00:00,-180.90327927020883,
2021-06-18 08:00:00,-175.94938750354538,
2021-06-18 10:30:00,-161.9376580991642,
2021-06-18 11:00:00,-152.07460011586534,
2021-06-18 23:59:59,-160.55245982987879,e
