date,AS_GUNR_2021_Q4,meta
2021-11-19 00:00:00,-539.1828605497931,
2021-11-19 01:00:00,-536.9948466094093,
2021-11-19 02:30:00,-537.7877378928524,
2021-11-19 03:00:00,-534.5673826136317,
2021-11-19 18:30:00,-534.5673826136317,
2021-11-19 20:00:00,-534.5673826136317,
2021-11-19 23:00:00,-534.5673826136317,
2021-11-19 23:59:59,-537.8296841905521,w
2021-11-22 00:00:00,-397.7534981734343,
2021-11-22 01:00:00,-394.16540008377706,
2021-11-22 02:30:00,-394.98430907764305,
2021-11-22 03:00:00,-392.57216233123654,
2021-11-22 18:30:00,-408.1318355322528,
2021-11-22 20:00:00,-377.52148514032706,
2021-11-22 23:00:00,-418.3012287407473,
2021-11-22 23:59:59,-349.08465942211205,c
2021-11-23 00:00:00,-313.22508066045793,
2021-11-23 01:00:00,-307.6344730991168,
2021-11-23 02:30:00,-310.05416304896335,
2021-11-23 03:00:00,-307.6877009714208,
2021-11-23 18:30:00,-253.52912683331124,
2021-11-23 20:00:00,-290.595969872732,
2021-11-23 23:00:00,-260.88335298999846,
2021-11-23 23:59:59,-298.12647993843166,c
2021-11-24 00:00:00,-281.10047760613816,
2021-11-24 01:00:00,-274.0084014086333,
2021-11-24 02:30:00,-276.3776444189489,
2021-11-24 03:00:00,-273.21213245053514,
2021-11-24 18:30:00,-301.59445784757645,
2021-11-24 20:00:00,-308.0464614059765,
2021-11-24 23:00:00,-262.0026962195443,
2021-11-24 23:59:59,-289.30343277177326,c
2021-11-25 00:00:00,-314.3993276097817,
2021-11-25 01:00:00,-296.67013018536363,
2021-11-25 02:30:00,-295.0169264610622,
2021-11-25 03:00:00,-290.2363709206793,
2021-11-25 18:30:00,-233.28769567624568,
2021-11-25 20:00:00,-243.96771258587523,
2021-11-25 23:00:00,-91.36152445349853,
2021-11-25 23:59:59,-86.68642947822991,c
2021-11-26 00:00:00,-87.70864978225836,
2021-11-26 01:00:00,-91.29132151459362,
2021-11-26 02:30:00,-91.30749296579779,
2021-11-26 03:00:00,-91.2630191934486,
2021-11-26 18:30:00,-91.2630191934486,
2021-11-26 20:00:00,-91.2630191934486,
2021-11-26 23:00:00,-91.2630191934486,
2021-11-26 23:59:59,-147.69799868540667,w
2021-11-29 00:00:00,-118.99696319672057,
2021-11-29 01:00:00,-116.59376921403691,
2021-11-29 02:30:00,-114.17717882264697,
2021-11-29 03:00:00,-116.62840612297077,
2021-11-29 18:30:00,-95.08080069890275,
2021-11-29 20:00:00,-162.49232507292072,
2021-11-29 23:00:00,-34.15863958731461,
2021-11-29 23:59:59,-3.082878856057505,c
2021-11-30 00:00:00,49.69428092163707,
2021-11-30 01:00:00,33.967184103536056,
2021-11-30 02:30:00,30.556180550573117,
2021-11-30 03:00:00,27.474704750255114,
2021-11-30 18:30:00,-108.18328097543872,
2021-11-30 20:00:00,-5.210467246795815,
2021-11-30 23:00:00,-64.38299310581169,
2021-11-30 23:59:59,-74.89261801221164,c
2021-12-01 00:00:00,-20.17924615901302,
2021-12-01 01:00:00,-22.25713558893858,
2021-12-01 02:30:00,-26.241308780404324,
2021-12-01 03:00:00,-26.231939857038924,
2021-12-01 18:30:00,-69.30971679407594,
2021-12-01 20:00:00,-78.08005495615453,
2021-12-01 23:00:00,-80.13589878526454,
2021-12-01 23:59:59,7.136677792414957,c
