date,USMC_2021_Q2,meta
2021-04-02 00:00:00,30.409564565862556,
2021-04-02 10:00:00,30.409564565862556,
2021-04-02 10:30:00,30.409564565862556,
2021-04-02 12:00:00,30.409564565862556,
2021-04-02 13:30:00,30.409564565862556,
2021-04-02 15:00:00,30.409564565862556,
2021-04-02 15:30:30,30.409564565862556,
2021-04-02 23:59:59,30.409564565862556,w
2021-04-05 00:00:00,30.409564565862556,
2021-04-05 10:00:00,43.99624308550359,
2021-04-05 10:30:00,39.24787017866592,
2021-04-05 12:00:00,36.80612503086997,
2021-04-05 13:30:00,20.55168383543351,
2021-04-05 15:00:00,23.014821057109373,
2021-04-05 15:30:30,23.014821057109373,
2021-04-05 23:59:59,29.0650959137811,c
2021-04-06 00:00:00,24.584618890334298,
2021-04-06 10:00:00,24.328799230205817,
2021-04-06 10:30:00,26.962204878667443,
2021-04-06 12:00:00,23.954591506002558,
2021-04-06 13:30:00,8.284727230263634,
2021-04-06 15:00:00,8.78756265440122,
2021-04-06 15:30:30,8.78756265440122,
2021-04-06 23:59:59,7.767330837393722,c
2021-04-07 00:00:00,6.570450290420689,
2021-04-07 10:00:00,6.5381104887767005,
2021-04-07 10:30:00,8.212211228072423,
2021-04-07 12:00:00,3.0216344958842996,
2021-04-07 13:30:00,8.393157095295702,
2021-04-07 15:00:00,13.553307268092505,
2021-04-07 15:30:30,13.553307268092505,
2021-04-07 23:59:59,12.395931711262746,c
2021-04-08 00:00:00,10.665663749122206,
2021-04-08 10:00:00,-2.86760437360023,
2021-04-08 10:30:00,-3.8165513269996723,
2021-04-08 12:00:00,-1.6963414308161475,
2021-04-08 13:30:00,-2.4685283919768644,
2021-04-08 15:00:00,-1.7519648447173068,
2021-04-08 15:30:30,-1.7519648447173068,
2021-04-08 23:59:59,-6.475275094898947,c
2021-04-09 00:00:00,-14.840154540064056,
2021-04-09 10:00:00,1.317882905851004,
2021-04-09 10:30:00,-0.20411816174505226,
2021-04-09 12:00:00,0.6187394798706851,
2021-04-09 13:30:00,-2.6457896930706077,
2021-04-09 15:00:00,2.0385647622847802,
2021-04-09 15:30:30,2.0385647622847802,
2021-04-09 23:59:59,1.169872954186257,w
2021-04-12 00:00:00,-1.385328842000341,
2021-04-12 10:00:00,-21.34290938360548,
2021-04-12 10:30:00,-29.2525200040876,
2021-04-12 12:00:00,-22.000151119010567,
2021-04-12 13:30:00,-21.41080412476895,
2021-04-12 15:00:00,-27.367709741047562,
2021-04-12 15:30:30,-27.367709741047562,
2021-04-12 23:59:59,-28.69715070472438,c
2021-04-13 00:00:00,-33.402483738755045,
