date,EU_FIVG_2021_Q4,meta
2021-12-10 00:00:00,0.11852219794673147,
2021-12-10 03:30:00,-12.121233414297421,
2021-12-10 04:00:00,-10.839259798407511,
2021-12-10 06:00:00,-22.72122535107701,
2021-12-10 08:00:00,-29.042954296321113,
2021-12-10 10:30:00,6.380131876786436,
2021-12-10 11:00:00,2.1964611846769913,
2021-12-10 23:59:59,0.0,a
2021-12-13 00:00:00,-14.912185698452959,
2021-12-13 03:30:00,-16.720240847461355,
2021-12-13 04:00:00,-39.34414620093048,
2021-12-13 06:00:00,-48.070238296966636,
2021-12-13 08:00:00,-33.12204524369372,
2021-12-13 10:30:00,-1.2594238920055432,
2021-12-13 11:00:00,-5.6348187609528395,
2021-12-13 23:59:59,-25.249255254270793,c
2021-12-14 00:00:00,-27.039916181365697,
2021-12-14 03:30:00,-16.368482156023674,
2021-12-14 04:00:00,-12.789698853982372,
2021-12-14 06:00:00,-19.209751765929468,
2021-12-14 08:00:00,-21.727239628587995,
2021-12-14 10:30:00,13.56696826056941,
2021-12-14 11:00:00,11.453971945157718,
2021-12-14 23:59:59,7.00769229404159,c
2021-12-15 00:00:00,-5.262617842325199,
2021-12-15 03:30:00,-25.366810308460117,
2021-12-15 04:00:00,-14.641349536197595,
2021-12-15 06:00:00,34.947082728382156,
2021-12-15 08:00:00,24.97991743437342,
2021-12-15 10:30:00,11.029967966360346,
2021-12-15 11:00:00,12.76535565388349,
2021-12-15 23:59:59,14.877509587280656,c
2021-12-16 00:00:00,-32.74876627697995,
2021-12-16 03:30:00,-8.236922462082475,
2021-12-16 04:00:00,38.6411172722037,
2021-12-16 06:00:00,44.40811674588076,
2021-12-16 08:00:00,15.446089096612013,
2021-12-16 10:30:00,59.797959713812816,
2021-12-16 11:00:00,66.35507215768303,
2021-12-16 23:59:59,89.15982431814882,c
2021-12-17 00:00:00,105.29268980854613,
2021-12-17 03:30:00,74.57027737408589,
2021-12-17 04:00:00,55.33969955958855,
2021-12-17 06:00:00,32.309220675291726,
2021-12-17 08:00:00,36.48450965449592,
2021-12-17 10:30:00,36.26689887886914,
2021-12-17 11:00:00,24.403824141371842,
2021-12-17 23:59:59,29.319454859736652,e
2021-12-20 00:00:00,64.29916422648694,
2021-12-20 03:30:00,44.41562370229076,
2021-12-20 04:00:00,47.72202933731842,
2021-12-20 06:00:00,19.58123441977841,
2021-12-20 08:00:00,43.468747297813024,
2021-12-20 10:30:00,18.649643247698805,
2021-12-20 11:00:00,17.001991525083213,
2021-12-20 23:59:59,40.74589961741549,c
2021-12-21 00:00:00,-7.13417498144463,
2021-12-21 03:30:00,5.1571767399327655,
2021-12-21 04:00:00,2.8527743549029765,
2021-12-21 06:00:00,-7.401443599388585,
2021-12-21 08:00:00,-12.359534262410307,
2021-12-21 10:30:00,4.473348618897035,
2021-12-21 11:00:00,6.931979528301781,
2021-12-21 23:59:59,27.764930818726498,c
2021-12-22 00:00:00,13.612158573859233,
2021-12-22 03:30:00,35.5723290576243,
2021-12-22 04:00:00,39.21944190022441,
2021-12-22 06:00:00,42.16769760659008,
2021-12-22 08:00:00,36.329709087066476,
2021-12-22 10:30:00,7.370625694668888,
2021-12-22 11:00:00,0.11996001484294538,
2021-12-22 23:59:59,22.671446801125057,c
2021-12-23 00:00:00,30.37139662522077,
2021-12-23 03:30:00,41.73051054632015,
2021-12-23 04:00:00,33.44324554411742,
2021-12-23 06:00:00,12.780146246590448,
2021-12-23 08:00:00,13.785700699824702,
2021-12-23 10:30:00,-11.793224382774497,
2021-12-23 11:00:00,-11.212365273779142,
2021-12-23 23:59:59,-14.768995676811755,c
2021-12-24 00:00:00,-10.975150738631783,
2021-12-24 03:30:00,-13.102491015826672,
2021-12-24 04:00:00,-18.998952420657588,
2021-12-24 06:00:00,-14.70716852834721,
2021-12-24 08:00:00,-14.70716852834721,
2021-12-24 10:30:00,-14.70716852834721,
2021-12-24 11:00:00,-14.70716852834721,
2021-12-24 23:59:59,-34.93627666397788,w
2021-12-27 00:00:00,-23.925871499201094,
2021-12-27 03:30:00,-3.3233196405399212,
2021-12-27 04:00:00,-3.411646596925493,
2021-12-27 06:00:00,-18.222207060986875,
2021-12-27 08:00:00,-28.12095201716147,
2021-12-27 10:30:00,-36.05881688583122,
2021-12-27 11:00:00,-40.79121610540642,
2021-12-27 23:59:59,-31.798638085249877,c
2021-12-28 00:00:00,-38.33681202781099,
2021-12-28 03:30:00,-39.33140861222182,
2021-12-28 04:00:00,-44.35822983019625,
2021-12-28 06:00:00,-59.94412474460751,
2021-12-28 08:00:00,-71.1996698498333,
2021-12-28 10:30:00,-73.5262771276748,
2021-12-28 11:00:00,-74.19827217075272,
2021-12-28 23:59:59,-73.21162895033376,c
2021-12-29 00:00:00,-85.57790352495704,
2021-12-29 03:30:00,-37.100827970376486,
2021-12-29 04:00:00,-36.23057450732995,
2021-12-29 06:00:00,-45.76742125409692,
2021-12-29 08:00:00,-39.793254240733404,
2021-12-29 10:30:00,-56.98421922898615,
2021-12-29 11:00:00,-58.0728301079962,
2021-12-29 23:59:59,-46.07087641589351,c
2021-12-30 00:00:00,-44.32557186007034,
2021-12-30 03:30:00,-32.22542933254135,
2021-12-30 04:00:00,-26.049213681630135,
2021-12-30 06:00:00,-32.457072907224756,
2021-12-30 08:00:00,-65.6492893024406,
2021-12-30 10:30:00,-37.01553990254797,
2021-12-30 11:00:00,-39.48882313984632,
2021-12-30 23:59:59,-29.058278290247472,c
2021-12-31 00:00:00,-15.480432855857543,
2021-12-31 03:30:00,-19.595696137196683,
2021-12-31 04:00:00,-17.15301446981266,
2021-12-31 06:00:00,-20.239985186608465,
2021-12-31 08:00:00,-20.239985186608465,
2021-12-31 10:30:00,-20.239985186608465,
2021-12-31 11:00:00,-20.239985186608465,
2021-12-31 23:59:59,-14.28237580091627,w
