date,KB_FAM_2021_Q1,meta
2021-02-19 00:00:00,1688.687509861655,
2021-02-19 10:00:00,1658.7880862218915,
2021-02-19 10:30:00,1633.8258374329394,
2021-02-19 12:00:00,1571.6717616537012,
2021-02-19 13:30:00,1551.1543428221662,
2021-02-19 15:00:00,1536.3304964377955,
2021-02-19 15:30:30,1536.3304964377955,
2021-02-19 23:59:59,1540.6267863972173,w
2021-02-22 00:00:00,1486.220638056591,
2021-02-22 10:00:00,1393.8991023408307,
2021-02-22 10:30:00,1361.3021112956387,
2021-02-22 12:00:00,1361.0449095222864,
2021-02-22 13:30:00,1362.5640951724565,
2021-02-22 15:00:00,1379.3508986198926,
2021-02-22 15:30:30,1379.3508986198926,
2021-02-22 23:59:59,1362.8018838850858,c
2021-02-23 00:00:00,1294.184659879555,
2021-02-23 10:00:00,1108.0875460302414,
2021-02-23 10:30:00,1127.4879940998978,
2021-02-23 12:00:00,1154.4269718011321,
2021-02-23 13:30:00,1182.7854326559668,
2021-02-23 15:00:00,1122.504297957314,
2021-02-23 15:30:30,1122.504297957314,
2021-02-23 23:59:59,1211.365102811048,c
2021-02-24 00:00:00,1213.0912630555479,
2021-02-24 10:00:00,1181.7075227951734,
2021-02-24 10:30:00,1132.1519808242194,
2021-02-24 12:00:00,1216.2637836682125,
2021-02-24 13:30:00,1252.4098232289596,
2021-02-24 15:00:00,1126.5200394932324,
2021-02-24 15:30:30,1126.5200394932324,
2021-02-24 23:59:59,1131.6206122447936,c
2021-02-25 00:00:00,1160.1378014781549,
2021-02-25 10:00:00,1261.4955778754018,
2021-02-25 10:30:00,1255.5362112660184,
2021-02-25 12:00:00,1167.2376606395426,
2021-02-25 13:30:00,1141.4591092688195,
2021-02-25 15:00:00,1156.2896084692106,
2021-02-25 15:30:30,1156.2896084692106,
2021-02-25 23:59:59,1164.6154508303557,c
2021-02-26 00:00:00,1046.5531871884946,
2021-02-26 10:00:00,919.8859003353618,
2021-02-26 10:30:00,869.6674936703735,
2021-02-26 12:00:00,973.1853235117801,
2021-02-26 13:30:00,875.049139610172,
2021-02-26 15:00:00,895.3676259786341,
2021-02-26 15:30:30,895.3676259786341,s
2021-02-26 23:59:59,921.9995064494244,w
2021-03-01 00:00:00,912.0072630647987,
2021-03-01 10:00:00,910.3962473489198,
2021-03-01 10:30:00,926.1584718057861,
2021-03-01 12:00:00,939.5646930077023,
2021-03-01 13:30:00,972.1349875640394,
2021-03-01 15:00:00,977.8500089792708,
2021-03-01 15:30:30,977.8500089792708,
2021-03-01 23:59:59,938.2770250659476,c
2021-03-02 00:00:00,824.1416782459678,
2021-03-02 10:00:00,728.2458221806264,
2021-03-02 10:30:00,736.1981011556727,
2021-03-02 12:00:00,733.5662544585757,
2021-03-02 13:30:00,727.0564285496989,
2021-03-02 15:00:00,691.1506178928353,
2021-03-02 15:30:30,691.1506178928353,
2021-03-02 23:59:59,681.5910277566131,c
2021-03-03 00:00:00,694.9080540826244,
2021-03-03 10:00:00,710.915233294656,
2021-03-03 10:30:00,634.9351822227732,
2021-03-03 12:00:00,674.1782717258748,
2021-03-03 13:30:00,599.9470043561064,
2021-03-03 15:00:00,550.3218399226557,
2021-03-03 15:30:30,550.3218399226557,
2021-03-03 23:59:59,532.1188829756056,c
2021-03-04 00:00:00,520.2914943570026,
2021-03-04 10:00:00,460.4220049240139,
2021-03-04 10:30:00,443.0483744233493,
2021-03-04 12:00:00,453.5682855201967,
2021-03-04 13:30:00,354.8937782248495,
2021-03-04 15:00:00,411.0108696123416,
2021-03-04 15:30:30,411.0108696123416,
2021-03-04 23:59:59,396.2771458402244,c
2021-03-05 00:00:00,443.2416609913148,
2021-03-05 10:00:00,225.41746101796616,
2021-03-05 10:30:00,197.3074080720594,
2021-03-05 12:00:00,275.15712260991495,
2021-03-05 13:30:00,368.4457494669614,
2021-03-05 15:00:00,346.09015994211313,
2021-03-05 15:30:30,346.09015994211313,
2021-03-05 23:59:59,325.3228099180651,w
2021-03-08 00:00:00,317.4175558581246,
2021-03-08 10:00:00,244.99418680945473,
2021-03-08 10:30:00,311.20280931413845,
2021-03-08 12:00:00,235.143709015083,
2021-03-08 13:30:00,222.39862975513824,
2021-03-08 15:00:00,204.72415843911085,
2021-03-08 15:30:30,204.72415843911085,
2021-03-08 23:59:59,154.27410476126352,c
2021-03-09 00:00:00,141.23066103186466,
2021-03-09 10:00:00,189.85942486813565,
2021-03-09 10:30:00,293.14059230163457,
2021-03-09 12:00:00,190.39332361020843,
2021-03-09 13:30:00,254.84570453923425,
2021-03-09 15:00:00,285.3878396701398,
2021-03-09 15:30:30,285.3878396701398,
2021-03-09 23:59:59,275.8546911363269,c
2021-03-10 00:00:00,201.6379227512948,
2021-03-10 10:00:00,258.43373857175266,
2021-03-10 10:30:00,166.24401206566017,
2021-03-10 12:00:00,135.05955227861978,
2021-03-10 13:30:00,136.47353595928462,
2021-03-10 15:00:00,134.60282027844005,
2021-03-10 15:30:30,134.60282027844005,
2021-03-10 23:59:59,127.31198299549669,c
2021-03-11 00:00:00,178.1512197748857,
2021-03-11 10:00:00,155.3460502495418,
2021-03-11 10:30:00,123.09298172045328,
2021-03-11 12:00:00,159.95677947373179,
2021-03-11 13:30:00,288.87908860127936,
2021-03-11 15:00:00,272.78684043725116,
2021-03-11 15:30:30,272.78684043725116,
2021-03-11 23:59:59,244.293362987627,c
2021-03-12 00:00:00,169.4971168571269,
2021-03-12 10:00:00,73.07944287963983,
2021-03-12 10:30:00,35.77500766577805,
2021-03-12 12:00:00,3.5373540677201163,
