date,NDX_2022_Q3,meta
2022-08-05 00:00:00,-221.5394752819409,
2022-08-05 10:00:00,-234.64375290675957,
2022-08-05 10:30:00,-245.2348663911646,
2022-08-05 12:00:00,-252.17817796223244,
2022-08-05 13:30:00,-257.32432674344614,
2022-08-05 15:00:00,-269.17076839686524,
2022-08-05 15:30:30,-269.17076839686524,
2022-08-05 23:59:59,-285.9270845354272,w
2022-08-08 00:00:00,-285.83248584472744,
2022-08-08 10:00:00,-296.0119293052262,
2022-08-08 10:30:00,-282.4895361869135,
2022-08-08 12:00:00,-279.78006558919697,
2022-08-08 13:30:00,-273.2161081786435,
2022-08-08 15:00:00,-286.3192920178908,
2022-08-08 15:30:30,-286.3192920178908,
2022-08-08 23:59:59,-285.38853110427954,c
2022-08-09 00:00:00,-250.17390075937374,
2022-08-09 10:00:00,-235.1224265856788,
2022-08-09 10:30:00,-223.29987550114697,
2022-08-09 12:00:00,-227.52947615831408,
2022-08-09 13:30:00,-220.73602607339967,
2022-08-09 15:00:00,-233.5145471518024,
2022-08-09 15:30:30,-233.5145471518024,
2022-08-09 23:59:59,-223.99324330845207,c
2022-08-10 00:00:00,-200.97668909753793,
2022-08-10 10:00:00,-251.05408756355268,
2022-08-10 10:30:00,-251.29168711309012,
2022-08-10 12:00:00,-277.45242241148844,
2022-08-10 13:30:00,-264.6118097293445,
2022-08-10 15:00:00,-266.7834658233762,
2022-08-10 15:30:30,-266.7834658233762,
2022-08-10 23:59:59,-267.71554755074567,c
2022-08-11 00:00:00,-285.01836171791297,
2022-08-11 10:00:00,-317.80024399443073,
2022-08-11 10:30:00,-310.19425334899256,
2022-08-11 12:00:00,-286.09410186989476,
2022-08-11 13:30:00,-301.28376933723416,
2022-08-11 15:00:00,-300.08319102200767,
2022-08-11 15:30:30,-300.08319102200767,
2022-08-11 23:59:59,-303.5170254901416,c
2022-08-12 00:00:00,-301.2459798175762,
2022-08-12 10:00:00,-326.6000543188229,
2022-08-12 10:30:00,-326.62172231899285,
2022-08-12 12:00:00,-329.90918255796214,
2022-08-12 13:30:00,-331.7101643534752,
2022-08-12 15:00:00,-321.4442072102995,
2022-08-12 15:30:30,-321.4442072102995,
2022-08-12 23:59:59,-324.5200352160973,w
2022-08-15 00:00:00,-287.6326979610974,
2022-08-15 10:00:00,-296.8724156367234,
2022-08-15 10:30:00,-287.65045318973193,
2022-08-15 12:00:00,-301.4987221478841,
2022-08-15 13:30:00,-294.3485905324708,
2022-08-15 15:00:00,-302.73076837269286,
2022-08-15 15:30:30,-302.73076837269286,
2022-08-15 23:59:59,-300.75451187801264,c
2022-08-16 00:00:00,-267.0359619582721,
2022-08-16 10:00:00,-278.18740916000183,
2022-08-16 10:30:00,-294.48271600762314,
2022-08-16 12:00:00,-288.6435220808528,
2022-08-16 13:30:00,-277.1119744757891,
2022-08-16 15:00:00,-277.91455770514835,
2022-08-16 15:30:30,-277.91455770514835,
2022-08-16 23:59:59,-288.3339827659763,c
2022-08-17 00:00:00,-272.74438454139454,
2022-08-17 10:00:00,-262.14506275023473,
2022-08-17 10:30:00,-251.470611985937,
2022-08-17 12:00:00,-234.55910727061428,
2022-08-17 13:30:00,-239.91371999349485,
2022-08-17 15:00:00,-244.46059737883502,
2022-08-17 15:30:30,-244.46059737883502,
2022-08-17 23:59:59,-238.19965011348336,c
2022-08-18 00:00:00,-245.15904318488583,
2022-08-18 10:00:00,-203.42088070499176,
2022-08-18 10:30:00,-197.45409621033127,
2022-08-18 12:00:00,-212.2249420614803,
2022-08-18 13:30:00,-202.6262661986632,
2022-08-18 15:00:00,-200.19201888592897,
2022-08-18 15:30:30,-200.19201888592897,
2022-08-18 23:59:59,-197.1558638142194,c
2022-08-19 00:00:00,-196.16155765825965,
2022-08-19 10:00:00,-197.98376192822525,
2022-08-19 10:30:00,-204.8646276443742,
2022-08-19 12:00:00,-200.90417223287318,
2022-08-19 13:30:00,-197.37526871048613,
2022-08-19 15:00:00,-190.31239646937865,
2022-08-19 15:30:30,-190.31239646937865,
2022-08-19 23:59:59,-197.3620597783579,w
2022-08-22 00:00:00,-206.8910009440349,
2022-08-22 10:00:00,-224.3692506193761,
2022-08-22 10:30:00,-202.97369226521664,
2022-08-22 12:00:00,-198.68801547045064,
