date,EWJSPY_2020_Q1,meta
2020-03-24 12:00:00,500.66670446314276,
2020-03-24 13:30:00,521.3606970178062,
2020-03-24 15:00:00,466.09715024892273,
2020-03-24 15:30:30,466.09715024892273,
2020-03-24 23:59:59,425.98197487931725,c
2020-03-25 00:00:00,391.7542849238056,
2020-03-25 10:00:00,381.28505749443354,
2020-03-25 10:30:00,391.95941579380394,
2020-03-25 12:00:00,354.8068562537253,
2020-03-25 13:30:00,312.6383211002231,
2020-03-25 15:00:00,336.248398630752,
2020-03-25 15:30:30,336.248398630752,
2020-03-25 23:59:59,452.7963464047533,c
2020-03-26 00:00:00,441.477828001517,
2020-03-26 10:00:00,398.3502898081476,
2020-03-26 10:30:00,373.48566238327504,
2020-03-26 12:00:00,345.4362582264715,
2020-03-26 13:30:00,402.79120597115457,
2020-03-26 15:00:00,391.14647632343537,
2020-03-26 15:30:30,391.14647632343537,
2020-03-26 23:59:59,342.48218045477034,c
2020-03-27 00:00:00,477.1342458201748,
2020-03-27 10:00:00,480.8240213965917,
2020-03-27 10:30:00,485.4466260424543,
2020-03-27 12:00:00,530.7808189910572,
2020-03-27 13:30:00,505.63218808951314,
2020-03-27 15:00:00,463.61143456861856,
2020-03-27 15:30:30,463.61143456861856,
2020-03-27 23:59:59,490.69092835396765,w
2020-03-30 00:00:00,447.52191852485186,
2020-03-30 10:00:00,451.974576428433,
2020-03-30 10:30:00,440.36605655973074,
2020-03-30 12:00:00,422.77911495856875,
2020-03-30 13:30:00,418.22274356220964,
2020-03-30 15:00:00,380.9479041233218,
2020-03-30 15:30:30,380.9479041233218,
2020-03-30 23:59:59,394.18094859815125,c
2020-03-31 00:00:00,199.7278905834973,
2020-03-31 10:00:00,230.6972135300386,
2020-03-31 10:30:00,218.93500711697578,
2020-03-31 12:00:00,251.35077878744184,
2020-03-31 13:30:00,247.6162714754802,
2020-03-31 15:00:00,245.5625320742643,
2020-03-31 15:30:30,245.5625320742643,
2020-03-31 23:59:59,317.4024806639326,e
2020-04-01 00:00:00,261.497982191428,
2020-04-01 10:00:00,270.95848021660566,
