date,EU_MSCI_DM_AD_2021_Q4,meta
2021-09-30 00:00:00,-989.0140901992136,
2021-09-30 03:30:00,-963.8148376800382,
2021-09-30 04:00:00,-933.8650623477888,
2021-09-30 06:00:00,-929.1443181014629,
2021-09-30 08:00:00,-935.3245446904784,
2021-09-30 10:30:00,-895.5472057707466,
2021-09-30 11:00:00,-905.1530345712617,
2021-09-30 23:59:59,-900.2358737804816,c
2021-10-01 00:00:00,-1011.2831150879338,
2021-10-01 03:30:00,-979.6193541570701,
2021-10-01 04:00:00,-942.1941321281229,
2021-10-01 06:00:00,-924.4699682622577,
2021-10-01 08:00:00,-837.5231875897944,
2021-10-01 10:30:00,-823.4655528402218,
2021-10-01 11:00:00,-817.0628849616396,
2021-10-01 23:59:59,-836.3999682612748,w
2021-10-04 00:00:00,-820.2211541491861,
2021-10-04 03:30:00,-873.8862876254889,
2021-10-04 04:00:00,-836.69263267104,
2021-10-04 06:00:00,-832.2205583296491,
2021-10-04 08:00:00,-839.3411114797118,
2021-10-04 10:30:00,-803.7957896589205,
2021-10-04 11:00:00,-833.4708838559409,
2021-10-04 23:59:59,-857.4519429056736,c
2021-10-05 00:00:00,-859.364342209371,
2021-10-05 03:30:00,-840.340867208818,
2021-10-05 04:00:00,-872.3136861512958,
2021-10-05 06:00:00,-862.3911679050389,
2021-10-05 08:00:00,-830.3295828731825,
2021-10-05 10:30:00,-762.9027723737609,
2021-10-05 11:00:00,-753.5917498627159,
2021-10-05 23:59:59,-764.9590474811102,c
2021-10-06 00:00:00,-765.5487429415025,
2021-10-06 03:30:00,-871.6238624303141,
2021-10-06 04:00:00,-887.348191656858,
2021-10-06 06:00:00,-940.4233826556738,
2021-10-06 08:00:00,-889.1269659278078,
2021-10-06 10:30:00,-891.5193450151555,
2021-10-06 11:00:00,-910.6879461449489,
2021-10-06 23:59:59,-890.112674283223,c
2021-10-07 00:00:00,-824.4611707116283,
2021-10-07 03:30:00,-850.0577538011476,
2021-10-07 04:00:00,-837.0152691387157,
2021-10-07 06:00:00,-871.5567188604982,
2021-10-07 08:00:00,-830.105947739883,
2021-10-07 10:30:00,-794.5765180915541,
2021-10-07 11:00:00,-790.0768518861623,
2021-10-07 23:59:59,-802.967716436764,c
2021-10-08 00:00:00,-776.5468537091529,
2021-10-08 03:30:00,-817.529015674927,
2021-10-08 04:00:00,-818.570658591304,
2021-10-08 06:00:00,-794.4357651585296,
2021-10-08 08:00:00,-771.2395880711174,
2021-10-08 10:30:00,-759.2700888102636,
2021-10-08 11:00:00,-750.8868838737944,
2021-10-08 23:59:59,-806.2904716102748,w
2021-10-11 00:00:00,-783.2637502304788,
2021-10-11 03:30:00,-820.8704448889875,
2021-10-11 04:00:00,-815.8893492434127,
2021-10-11 06:00:00,-796.7792340600063,
2021-10-11 08:00:00,-783.7376622592328,
2021-10-11 10:30:00,-770.6834032503357,
2021-10-11 11:00:00,-787.1067349911264,
2021-10-11 23:59:59,-760.4416235078543,c
2021-10-12 00:00:00,-814.0285269498836,
2021-10-12 03:30:00,-810.2855138450623,
2021-10-12 04:00:00,-777.3515934927973,
2021-10-12 06:00:00,-726.7102700858868,
2021-10-12 08:00:00,-680.8046340681085,
2021-10-12 10:30:00,-680.0933367348116,
2021-10-12 11:00:00,-676.1929037579912,
2021-10-12 23:59:59,-660.84098569258,c
2021-10-13 00:00:00,-641.3382197717638,
2021-10-13 03:30:00,-663.4624690196515,
2021-10-13 04:00:00,-634.0767792827437,
2021-10-13 06:00:00,-591.8033697132869,
2021-10-13 08:00:00,-604.5324005683979,
2021-10-13 10:30:00,-562.8603344576686,
2021-10-13 11:00:00,-545.4775109615421,
2021-10-13 23:59:59,-593.064439465822,c
2021-10-14 00:00:00,-541.0884295478918,
2021-10-14 03:30:00,-483.2792829079508,
2021-10-14 04:00:00,-457.08311590235735,
2021-10-14 06:00:00,-389.56044981355717,
2021-10-14 08:00:00,-414.7134629993325,
2021-10-14 10:30:00,-431.9362538422183,
2021-10-14 11:00:00,-423.9550322365276,
2021-10-14 23:59:59,-436.115289943722,c
2021-10-15 00:00:00,-391.2294353398511,
2021-10-15 03:30:00,-409.28591795311695,
2021-10-15 04:00:00,-414.3395037976361,
2021-10-15 06:00:00,-389.5532918771014,
2021-10-15 08:00:00,-404.20037572597266,
2021-10-15 10:30:00,-405.3757804500765,
2021-10-15 11:00:00,-395.17652594259926,
2021-10-15 23:59:59,-392.27995238368476,w
2021-10-18 00:00:00,-379.31409419720694,
2021-10-18 03:30:00,-440.1806466426078,
2021-10-18 04:00:00,-400.263131335264,
2021-10-18 06:00:00,-340.8236474191672,
2021-10-18 08:00:00,-363.2821494135651,
2021-10-18 10:30:00,-421.98761696662405,
2021-10-18 11:00:00,-411.9959482020895,
2021-10-18 23:59:59,-377.87902235560796,c
2021-10-19 00:00:00,-365.7596480170405,
2021-10-19 03:30:00,-295.6443766499706,
2021-10-19 04:00:00,-264.14432634071,
2021-10-19 06:00:00,-251.8284891041185,
2021-10-19 08:00:00,-284.984440933973,
2021-10-19 10:30:00,-294.0695106703388,
2021-10-19 11:00:00,-299.35964200212675,
2021-10-19 23:59:59,-310.6087827867632,c
2021-10-20 00:00:00,-299.6645571140916,
2021-10-20 03:30:00,-320.41676338924935,
2021-10-20 04:00:00,-345.73887069889315,
2021-10-20 06:00:00,-339.69641226553176,
2021-10-20 08:00:00,-337.8554594686966,
2021-10-20 10:30:00,-331.4446531418125,
2021-10-20 11:00:00,-316.16770289408123,
2021-10-20 23:59:59,-337.719445628617,c
2021-10-21 00:00:00,-342.0029774748282,
2021-10-21 03:30:00,-311.8537407609265,
2021-10-21 04:00:00,-303.0639098516722,
2021-10-21 06:00:00,-342.48027928629745,
2021-10-21 08:00:00,-368.8031828653757,
2021-10-21 10:30:00,-296.8971756097744,
2021-10-21 11:00:00,-283.5191056738295,
2021-10-21 23:59:59,-291.12534395313287,c
2021-10-22 00:00:00,-294.0188523417919,
2021-10-22 03:30:00,-287.71644790128175,
2021-10-22 04:00:00,-260.8129431206062,
2021-10-22 06:00:00,-258.50476262765187,
2021-10-22 08:00:00,-249.39485265505937,
2021-10-22 10:30:00,-226.3403967063332,
2021-10-22 11:00:00,-221.1855412481218,
2021-10-22 23:59:59,-261.9242501345634,w
2021-10-25 00:00:00,-216.10930379184083,
2021-10-25 03:30:00,-217.88378916967577,
2021-10-25 04:00:00,-201.4152046585732,
2021-10-25 06:00:00,-223.16615870023088,
2021-10-25 08:00:00,-239.76690675045666,
2021-10-25 10:30:00,-238.3999863486797,
2021-10-25 11:00:00,-231.50920597864024,
2021-10-25 23:59:59,-204.6805125225219,c
