date,MXN_FTSE_2021_Q4,meta
2021-10-08 00:00:00,-124.14527182965867,
2021-10-08 10:00:00,-124.37116059591062,
2021-10-08 10:30:00,-123.11626628238537,
2021-10-08 12:00:00,-98.29876826479995,
2021-10-08 13:30:00,-87.27964950886508,
2021-10-08 15:00:00,-124.87339745199642,
2021-10-08 15:30:30,-124.87339745199642,
2021-10-08 23:59:59,-123.23544157972628,w
2021-10-11 00:00:00,-138.92620254502071,
2021-10-11 10:00:00,-129.60363872174912,
2021-10-11 10:30:00,-148.28625977120828,
2021-10-11 12:00:00,-133.94634660907013,
2021-10-11 13:30:00,-110.57931802574512,
2021-10-11 15:00:00,-105.09655597553319,
2021-10-11 15:30:30,-105.09655597553319,
2021-10-11 23:59:59,-136.5203805556721,c
2021-10-12 00:00:00,-184.39729877972877,
2021-10-12 10:00:00,-141.03077148039665,
2021-10-12 10:30:00,-142.32467717594773,
2021-10-12 12:00:00,-125.97293338015879,
2021-10-12 13:30:00,-146.42764568981602,
2021-10-12 15:00:00,-112.24092011356515,
2021-10-12 15:30:30,-112.24092011356515,
2021-10-12 23:59:59,-77.61456905133127,c
2021-10-13 00:00:00,-92.14464638027312,
2021-10-13 10:00:00,-109.85924998624341,
2021-10-13 10:30:00,-88.83629172449037,
2021-10-13 12:00:00,-111.97870593513835,
2021-10-13 13:30:00,-120.00289997821619,
2021-10-13 15:00:00,-120.33060839009067,
2021-10-13 15:30:30,-120.33060839009067,
2021-10-13 23:59:59,-101.6846292970431,c
2021-10-14 00:00:00,-141.1551456605148,
2021-10-14 10:00:00,-126.83927248945292,
2021-10-14 10:30:00,-120.80160056070235,
2021-10-14 12:00:00,-129.03795095790701,
2021-10-14 13:30:00,-160.49359874583206,
2021-10-14 15:00:00,-179.55930488739432,
2021-10-14 15:30:30,-179.55930488739432,
2021-10-14 23:59:59,-151.65929919661085,c
2021-10-15 00:00:00,-169.5377850921268,
2021-10-15 10:00:00,-232.8453906510049,
2021-10-15 10:30:00,-241.87636866967114,
2021-10-15 12:00:00,-227.8101161779805,
2021-10-15 13:30:00,-285.3489213037028,
2021-10-15 15:00:00,-300.0056852597554,
2021-10-15 15:30:30,-300.0056852597554,
2021-10-15 23:59:59,-259.38332406734025,w
2021-10-18 00:00:00,-276.17110500531,
2021-10-18 10:00:00,-231.40220345768466,
2021-10-18 10:30:00,-241.3161949049836,
2021-10-18 12:00:00,-224.81138905250282,
2021-10-18 13:30:00,-258.63738115816614,
2021-10-18 15:00:00,-256.3249071601049,
2021-10-18 15:30:30,-256.3249071601049,
2021-10-18 23:59:59,-247.39186944475296,c
2021-10-19 00:00:00,-254.19966928369377,
2021-10-19 10:00:00,-232.7692877447762,
2021-10-19 10:30:00,-220.441978285221,
2021-10-19 12:00:00,-249.88129345866219,
2021-10-19 13:30:00,-263.00576580363395,
2021-10-19 15:00:00,-256.2240942251874,
2021-10-19 15:30:30,-256.2240942251874,
