date,FTSE_US_2022_Q3,meta
2022-07-29 10:00:00,65.80743711006944,
2022-07-29 10:30:00,71.28969829551596,
2022-07-29 12:00:00,24.465510120607092,
2022-07-29 13:30:00,39.20937442716834,
2022-07-29 15:00:00,46.42040606946023,
2022-07-29 15:30:30,46.42040606946023,
2022-07-29 23:59:59,59.38996944584197,w
2022-08-01 00:00:00,81.56732339227008,
2022-08-01 10:00:00,84.26516531808055,
2022-08-01 10:30:00,115.89933578062285,
2022-08-01 12:00:00,157.23006995822328,
2022-08-01 13:30:00,116.2646727935576,
2022-08-01 15:00:00,146.76192938693112,
2022-08-01 15:30:30,146.76192938693112,
2022-08-01 23:59:59,141.53820345990354,c
2022-08-02 00:00:00,118.20675259427975,
2022-08-02 10:00:00,190.00439222462376,
2022-08-02 10:30:00,174.00979782685187,
2022-08-02 12:00:00,189.64579750075504,
2022-08-02 13:30:00,210.16531655187285,
2022-08-02 15:00:00,210.9415116623063,
2022-08-02 15:30:30,210.9415116623063,
2022-08-02 23:59:59,190.5627530196018,c
2022-08-03 00:00:00,116.69931612483002,
2022-08-03 10:00:00,175.09346544707915,
2022-08-03 10:30:00,147.07325366607094,
2022-08-03 12:00:00,167.503494820039,
2022-08-03 13:30:00,199.36855067116113,
2022-08-03 15:00:00,187.14320709602902,
2022-08-03 15:30:30,187.14320709602902,
2022-08-03 23:59:59,210.98207852392892,c
2022-08-04 00:00:00,172.5444441546493,
2022-08-04 10:00:00,200.35802780857628,
2022-08-04 10:30:00,223.31940113431438,
2022-08-04 12:00:00,206.5331649883605,
2022-08-04 13:30:00,234.67983746325018,
2022-08-04 15:00:00,233.45049134477398,
2022-08-04 15:30:30,233.45049134477398,
2022-08-04 23:59:59,251.7137620783721,c
2022-08-05 00:00:00,196.55330640281477,
2022-08-05 10:00:00,230.24707725785055,
2022-08-05 10:30:00,272.45588716519654,
2022-08-05 12:00:00,210.07298064763012,
2022-08-05 13:30:00,245.49852115282258,
2022-08-05 15:00:00,226.76473310138002,
2022-08-05 15:30:30,226.76473310138002,
2022-08-05 23:59:59,232.69977251914457,w
2022-08-08 00:00:00,247.13936273841307,
2022-08-08 10:00:00,295.2159386302162,
2022-08-08 10:30:00,271.04391196073186,
2022-08-08 12:00:00,265.2846661263705,
2022-08-08 13:30:00,253.44555455696906,
2022-08-08 15:00:00,255.3569911490628,
2022-08-08 15:30:30,255.3569911490628,
2022-08-08 23:59:59,247.4475102001569,c
2022-08-09 00:00:00,210.57200235845642,
2022-08-09 10:00:00,229.44439257974915,
2022-08-09 10:30:00,196.97043027831396,
2022-08-09 12:00:00,209.48188590678515,
2022-08-09 13:30:00,196.33937755317908,
2022-08-09 15:00:00,197.66436784312282,
2022-08-09 15:30:30,197.66436784312282,
2022-08-09 23:59:59,203.53772839333834,c
2022-08-10 00:00:00,214.4079966753761,
2022-08-10 10:00:00,212.76617310097205,
2022-08-10 10:30:00,161.0956806375443,
2022-08-10 12:00:00,195.86722506127612,
2022-08-10 13:30:00,207.86052015303798,
2022-08-10 15:00:00,219.96561340949967,
2022-08-10 15:30:30,219.96561340949967,
2022-08-10 23:59:59,243.53647523412593,c
2022-08-11 00:00:00,275.7356821523982,
2022-08-11 10:00:00,344.7801379143841,
2022-08-11 10:30:00,381.7581080314586,
2022-08-11 12:00:00,291.6755626416858,
2022-08-11 13:30:00,297.4343085893167,
2022-08-11 15:00:00,261.6920749590336,
2022-08-11 15:30:30,261.6920749590336,
2022-08-11 23:59:59,277.7870627233379,c
2022-08-12 00:00:00,300.59998980093366,
2022-08-12 10:00:00,302.8712932953315,
2022-08-12 10:30:00,315.2257464873713,
2022-08-12 12:00:00,273.46983543886876,
2022-08-12 13:30:00,282.9676970715486,
2022-08-12 15:00:00,303.2768761934278,
2022-08-12 15:30:30,303.2768761934278,
2022-08-12 23:59:59,281.1371308457179,w
2022-08-15 00:00:00,261.5457072875799,
2022-08-15 10:00:00,300.91160694653445,
2022-08-15 10:30:00,258.9387848836534,
2022-08-15 12:00:00,258.3070176123041,
2022-08-15 13:30:00,240.1945524484358,
2022-08-15 15:00:00,240.94447160062123,
2022-08-15 15:30:30,240.94447160062123,
2022-08-15 23:59:59,252.75074803754615,c
2022-08-16 00:00:00,200.38541594551648,
2022-08-16 10:00:00,115.16886596351165,
2022-08-16 10:30:00,132.5498772451132,
2022-08-16 12:00:00,146.18598403716769,
2022-08-16 13:30:00,162.34755678105316,
2022-08-16 15:00:00,174.7292593517181,
