date,EU_SXXEP6_AD_2023_Q1,meta
2023-02-08 00:00:00,131.93448695003943,
2023-02-08 03:30:00,138.41343703417382,
2023-02-08 04:00:00,124.44710477762786,
2023-02-08 06:00:00,102.2252197036137,
2023-02-08 08:00:00,123.47868571447023,
2023-02-08 10:30:00,116.2827562025831,
2023-02-08 11:00:00,116.43020740525472,
2023-02-08 23:59:59,114.93289993768863,c
2023-02-09 00:00:00,100.8626647938456,
2023-02-09 03:30:00,86.26819904196785,
2023-02-09 04:00:00,95.95694208093084,
2023-02-09 06:00:00,143.94234988600786,
2023-02-09 08:00:00,168.96212488676898,
2023-02-09 10:30:00,203.30763117585994,
2023-02-09 11:00:00,209.98729573551438,
2023-02-09 23:59:59,199.63125221325734,c
2023-02-10 00:00:00,205.49613618822113,
2023-02-10 03:30:00,217.34804772330918,
2023-02-10 04:00:00,210.09456373084643,
2023-02-10 06:00:00,171.7104010443567,
2023-02-10 08:00:00,155.12999149922442,
2023-02-10 10:30:00,177.4433369528348,
2023-02-10 11:00:00,171.42276130875925,
2023-02-10 23:59:59,170.51586099827935,w
2023-02-13 00:00:00,170.57492638221808,
2023-02-13 03:30:00,188.47608844042887,
2023-02-13 04:00:00,184.49121665293828,
2023-02-13 06:00:00,169.5072709261173,
2023-02-13 08:00:00,180.4329015573729,
2023-02-13 10:30:00,185.35553746960923,
2023-02-13 11:00:00,182.44477098810634,
2023-02-13 23:59:59,171.5331181159992,c
2023-02-14 00:00:00,155.01235249999073,
2023-02-14 03:30:00,147.3290417689977,
2023-02-14 04:00:00,162.57259734206698,
2023-02-14 06:00:00,146.09176022323865,
2023-02-14 08:00:00,172.1175487302274,
2023-02-14 10:30:00,158.19386540321383,
2023-02-14 11:00:00,153.08026773001714,
2023-02-14 23:59:59,160.43331862969794,c
2023-02-15 00:00:00,147.17334254893248,
2023-02-15 03:30:00,126.08841206382456,
2023-02-15 04:00:00,135.49064403977334,
2023-02-15 06:00:00,152.4377081975709,
2023-02-15 08:00:00,159.98738436656672,
2023-02-15 10:30:00,162.8718203641652,
2023-02-15 11:00:00,169.79206588673097,
2023-02-15 23:59:59,177.41923332281178,c
2023-02-16 00:00:00,113.62825051741405,
2023-02-16 03:30:00,190.68035448393314,
2023-02-16 04:00:00,164.2483569620065,
2023-02-16 06:00:00,164.66496921833405,
2023-02-16 08:00:00,199.40712790523392,
2023-02-16 10:30:00,262.2540613518804,
2023-02-16 11:00:00,296.7103606359161,
2023-02-16 23:59:59,300.05986305396345,c
2023-02-17 00:00:00,299.951030526724,
2023-02-17 03:30:00,333.5371211959241,
2023-02-17 04:00:00,337.9077535369221,
2023-02-17 06:00:00,327.94727155401733,
2023-02-17 08:00:00,315.00700754923525,
2023-02-17 10:30:00,314.2916221352241,
2023-02-17 11:00:00,320.99545137332393,
2023-02-17 23:59:59,323.1053374512809,w
2023-02-20 00:00:00,335.91190779282886,
2023-02-20 03:30:00,353.7870796212503,
2023-02-20 04:00:00,363.4375159295986,
2023-02-20 06:00:00,366.574827881877,
2023-02-20 08:00:00,359.38775853241384,
2023-02-20 10:30:00,354.17214561610774,
2023-02-20 11:00:00,353.61202797568217,
2023-02-20 23:59:59,334.8603098866088,c
2023-02-21 00:00:00,346.1231807808939,
2023-02-21 03:30:00,384.49918228222555,
2023-02-21 04:00:00,353.67911114058177,
2023-02-21 06:00:00,321.2251433827495,
2023-02-21 08:00:00,342.98433434912965,
2023-02-21 10:30:00,361.6186014411377,
2023-02-21 11:00:00,356.330425118776,
2023-02-21 23:59:59,371.7198567133951,c
2023-02-22 00:00:00,303.02405546258285,
2023-02-22 03:30:00,306.693787403069,
2023-02-22 04:00:00,316.2193804268061,
2023-02-22 06:00:00,238.4307342644025,
2023-02-22 08:00:00,201.85710025573118,
2023-02-22 10:30:00,198.86190991807464,
2023-02-22 11:00:00,202.73744430393006,
2023-02-22 23:59:59,190.24072392067225,c
2023-02-23 00:00:00,194.1378627504353,
2023-02-23 03:30:00,171.2098860478615,
2023-02-23 04:00:00,163.20979964783342,
2023-02-23 06:00:00,151.0803034873488,
2023-02-23 08:00:00,139.98074110837993,
2023-02-23 10:30:00,119.46310393442403,
2023-02-23 11:00:00,110.60842906308508,
2023-02-23 23:59:59,115.29846692668681,c
2023-02-24 00:00:00,102.02169471550698,
2023-02-24 03:30:00,83.85405220224482,
2023-02-24 04:00:00,91.36008945247752,
2023-02-24 06:00:00,88.95116045090168,
2023-02-24 08:00:00,61.0046538326003,
2023-02-24 10:30:00,-1.0319814834053318,
2023-02-24 11:00:00,-8.914353614507888,
2023-02-24 23:59:59,-0.3227649489683131,w
2023-02-27 00:00:00,24.062897710390928,
2023-02-27 03:30:00,34.82493048535434,
2023-02-27 04:00:00,50.59633972915884,
2023-02-27 06:00:00,30.624066645882095,
2023-02-27 08:00:00,44.98641838615356,
2023-02-27 10:30:00,51.30284868184509,
2023-02-27 11:00:00,56.639707543292275,
2023-02-27 23:59:59,50.186875360073856,c
2023-02-28 00:00:00,56.37004835225241,
2023-02-28 03:30:00,62.74980852379497,
2023-02-28 04:00:00,55.619046088443554,
2023-02-28 06:00:00,67.543901605379,
2023-02-28 08:00:00,77.84507492014598,
2023-02-28 10:30:00,47.08769337735512,
2023-02-28 11:00:00,39.70522880957378,
2023-02-28 23:59:59,61.11522253387349,c
2023-03-01 00:00:00,66.81406893412205,
2023-03-01 03:30:00,42.6879386430806,
2023-03-01 04:00:00,51.65567839726316,
2023-03-01 06:00:00,45.02650754132398,
2023-03-01 08:00:00,26.8763747886166,
