date,BRL_FTSE_2022_Q1,meta
2022-01-28 15:30:30,437.7284835444136,
2022-01-28 23:59:59,440.0857158277614,w
2022-01-31 00:00:00,428.594927822715,
2022-01-31 10:00:00,462.22217402642355,
2022-01-31 10:30:00,436.6464626772181,
2022-01-31 12:00:00,446.1288345177095,
2022-01-31 13:30:00,477.19667395114266,
2022-01-31 15:00:00,489.17623645704043,
2022-01-31 15:30:30,489.17623645704043,
2022-01-31 23:59:59,427.43507174558204,c
2022-02-01 00:00:00,429.94922521113267,
2022-02-01 10:00:00,382.99895042828854,
2022-02-01 10:30:00,372.00090575854557,
2022-02-01 12:00:00,373.5425069512791,
2022-02-01 13:30:00,349.8892950820249,
2022-02-01 15:00:00,349.3360436353102,
2022-02-01 15:30:30,349.3360436353102,
2022-02-01 23:59:59,333.03999460668604,c
2022-02-02 00:00:00,372.2678776569841,
2022-02-02 10:00:00,302.6500052457206,
2022-02-02 10:30:00,308.9753309531563,
2022-02-02 12:00:00,281.45038041404314,
2022-02-02 13:30:00,279.13857479615797,
2022-02-02 15:00:00,267.42310813979867,
2022-02-02 15:30:30,267.42310813979867,
2022-02-02 23:59:59,262.612357853974,c
2022-02-03 00:00:00,351.86728605890306,
2022-02-03 10:00:00,296.7793285788915,
2022-02-03 10:30:00,333.0474052971424,
2022-02-03 12:00:00,361.6566269453511,
2022-02-03 13:30:00,370.4839396236121,
2022-02-03 15:00:00,367.04541277660775,
2022-02-03 15:30:30,367.04541277660775,
2022-02-03 23:59:59,344.38933859673625,c
2022-02-04 00:00:00,391.50740604834687,
2022-02-04 10:00:00,259.390424625191,
2022-02-04 10:30:00,250.2752383151294,
2022-02-04 12:00:00,212.48597639006198,
2022-02-04 13:30:00,213.64946273571513,
2022-02-04 15:00:00,206.61772668839814,
2022-02-04 15:30:30,206.61772668839814,
2022-02-04 23:59:59,235.689171937217,w
2022-02-07 00:00:00,209.76093411643302,
2022-02-07 10:00:00,130.6717041555454,
2022-02-07 10:30:00,133.27454442981815,
2022-02-07 12:00:00,130.4281365905619,
2022-02-07 13:30:00,109.22110256339938,
2022-02-07 15:00:00,146.7839426879611,
2022-02-07 15:30:30,146.7839426879611,
2022-02-07 23:59:59,126.46607689895997,c
2022-02-08 00:00:00,157.36390502353606,
2022-02-08 10:00:00,173.4260578523752,
2022-02-08 10:30:00,169.5124115723013,
2022-02-08 12:00:00,175.93123082330993,
2022-02-08 13:30:00,147.14601698493385,
2022-02-08 15:00:00,122.5008647361304,
2022-02-08 15:30:30,122.5008647361304,
2022-02-08 23:59:59,113.71721094271835,c
2022-02-09 00:00:00,150.98956453673685,
2022-02-09 10:00:00,115.81253318250306,
2022-02-09 10:30:00,98.14082000367598,
2022-02-09 12:00:00,120.59209273547314,
2022-02-09 13:30:00,83.25915804137576,
2022-02-09 15:00:00,93.31672683197449,
2022-02-09 15:30:30,93.31672683197449,
2022-02-09 23:59:59,56.269116317841636,c
2022-02-10 00:00:00,54.9421159178426,
