date,AS_PHOPIO_2021_Q4,meta
2021-12-10 01:00:00,11.101684374303886,
2021-12-10 02:30:00,0.9622079092494005,
2021-12-10 03:00:00,-0.57255347758678,
2021-12-10 18:30:00,-0.57255347758678,
2021-12-10 20:00:00,-0.57255347758678,
2021-12-10 23:00:00,-0.57255347758678,
2021-12-10 23:59:59,0.0,a
2021-12-13 00:00:00,56.75545379602772,
2021-12-13 01:00:00,48.08746514243512,
2021-12-13 02:30:00,36.424969776000125,
2021-12-13 03:00:00,35.61950323246151,
2021-12-13 18:30:00,19.225999907737787,
2021-12-13 20:00:00,39.28088776695472,
2021-12-13 23:00:00,33.832413496447316,
2021-12-13 23:59:59,33.72237094284378,c
2021-12-14 00:00:00,34.91551322676105,
2021-12-14 01:00:00,48.33598010868286,
2021-12-14 02:30:00,41.71600442688964,
2021-12-14 03:00:00,32.621197358150084,
2021-12-14 18:30:00,95.1048417495042,
2021-12-14 20:00:00,107.59176448355379,
2021-12-14 23:00:00,58.40428469431595,
2021-12-14 23:59:59,39.030446154091806,c
2021-12-15 00:00:00,24.89700475864356,
2021-12-15 01:00:00,-1.9642652305890351,
2021-12-15 02:30:00,-8.959753708004655,
2021-12-15 03:00:00,-11.897047390409625,
2021-12-15 18:30:00,25.831067848459497,
2021-12-15 20:00:00,26.350536361337163,
2021-12-15 23:00:00,66.40525649376855,
2021-12-15 23:59:59,68.07746774636576,c
2021-12-16 00:00:00,99.54107470705094,
2021-12-16 01:00:00,137.41654818674328,
2021-12-16 02:30:00,125.9932768107808,
2021-12-16 03:00:00,131.2091112236169,
2021-12-16 18:30:00,242.7663609159888,
2021-12-16 20:00:00,150.07855548452721,
2021-12-16 23:00:00,120.9179404135682,
2021-12-16 23:59:59,93.0342694050048,c
2021-12-17 00:00:00,31.489185177732907,
2021-12-17 01:00:00,23.449939618542885,
2021-12-17 02:30:00,14.782007379407105,
2021-12-17 03:00:00,5.687490604462255,
2021-12-17 18:30:00,5.687490604462255,
2021-12-17 20:00:00,5.687490604462255,
2021-12-17 23:00:00,5.687490604462255,
2021-12-17 23:59:59,0.6135640553820849,e
2021-12-20 00:00:00,-56.14368862158767,
2021-12-20 01:00:00,-35.514962792438155,
2021-12-20 02:30:00,-56.14405555967642,
2021-12-20 03:00:00,-50.09978353681481,
2021-12-20 18:30:00,-26.44320722526868,
2021-12-20 20:00:00,31.388623351703018,
2021-12-20 23:00:00,33.27258085782864,
2021-12-20 23:59:59,-22.22935996809929,c
2021-12-21 00:00:00,1.0354751766751633,
2021-12-21 01:00:00,-3.5637272981844035,
2021-12-21 02:30:00,4.3482768266101175,
2021-12-21 03:00:00,0.5936809592026293,
2021-12-21 18:30:00,-10.264472377198217,
2021-12-21 20:00:00,-41.30396949331998,
2021-12-21 23:00:00,-67.16918568066126,
2021-12-21 23:59:59,-74.07180449708017,c
2021-12-22 00:00:00,-57.96376149544153,
2021-12-22 01:00:00,-42.64617348760953,
2021-12-22 02:30:00,-47.49094657108435,
2021-12-22 03:00:00,-48.43744271089122,
2021-12-22 18:30:00,-21.28548897383621,
2021-12-22 20:00:00,-16.340953063300276,
2021-12-22 23:00:00,2.9631358871909015,
2021-12-22 23:59:59,22.678834135395846,c
2021-12-23 00:00:00,3.8243105970716442,
2021-12-23 01:00:00,9.364008824051552,
2021-12-23 02:30:00,-1.2045276163273684,
2021-12-23 03:00:00,1.066486903038367,
2021-12-23 18:30:00,29.300559903776957,
2021-12-23 20:00:00,36.23026367387001,
2021-12-23 23:00:00,56.56602669290487,
2021-12-23 23:59:59,61.569900894517104,c
2021-12-24 00:00:00,60.89146895938143,
2021-12-24 01:00:00,57.33317732904743,
2021-12-24 02:30:00,57.33317732904743,
2021-12-24 03:00:00,57.33317732904743,
2021-12-24 18:30:00,57.33317732904743,
2021-12-24 20:00:00,57.33317732904743,
2021-12-24 23:00:00,57.33317732904743,
2021-12-24 23:59:59,45.37877007044244,w
2021-12-27 00:00:00,47.054036173233726,
2021-12-27 01:00:00,50.68490112418749,
2021-12-27 02:30:00,50.68490112418749,
2021-12-27 03:00:00,50.68490112418749,
2021-12-27 18:30:00,50.68490112418749,
2021-12-27 20:00:00,92.48767908324339,
2021-12-27 23:00:00,100.92506174447954,
2021-12-27 23:59:59,98.93955359256847,c
2021-12-28 00:00:00,122.75405538645259,
2021-12-28 01:00:00,126.04330704115887,
2021-12-28 02:30:00,127.55205731410047,
2021-12-28 03:00:00,127.64765979161052,
2021-12-28 18:30:00,130.27147102133108,
2021-12-28 20:00:00,99.28340360091056,
2021-12-28 23:00:00,82.87450439189956,
2021-12-28 23:59:59,70.05546646430798,c
2021-12-29 00:00:00,85.25072709565984,
2021-12-29 01:00:00,114.24753350029869,
2021-12-29 02:30:00,97.86067927508816,
2021-12-29 03:00:00,109.08689980749205,
2021-12-29 18:30:00,80.84668948331819,
2021-12-29 20:00:00,100.66412266657062,
2021-12-29 23:00:00,109.71729360288714,
2021-12-29 23:59:59,115.36738095618716,c
2021-12-30 00:00:00,111.17990980560444,
2021-12-30 01:00:00,80.10574289231181,
2021-12-30 02:30:00,83.14579543568061,
2021-12-30 03:00:00,85.44765508571231,
2021-12-30 18:30:00,89.36265290205665,
2021-12-30 20:00:00,108.5902071126236,
2021-12-30 23:00:00,185.8220455268745,
2021-12-30 23:59:59,188.64060067688547,c
2021-12-31 00:00:00,211.50796685185992,
2021-12-31 01:00:00,211.50796685185992,
2021-12-31 02:30:00,211.50796685185992,
2021-12-31 03:00:00,211.50796685185992,
2021-12-31 18:30:00,211.50796685185992,
2021-12-31 20:00:00,211.50796685185992,
2021-12-31 23:00:00,211.50796685185992,
2021-12-31 23:59:59,214.3458652199804,w
