date,HDV_HEDGED_2022_Q1,meta
2022-03-04 00:00:00,-26.400619889691825,
2022-03-04 10:00:00,-14.653983788890514,
2022-03-04 10:30:00,-5.605585119015132,
2022-03-04 12:00:00,-9.90652066644327,
2022-03-04 13:30:00,-16.79012172729915,
2022-03-04 15:00:00,-16.08987259668038,
2022-03-04 15:30:30,-16.08987259668038,
2022-03-04 23:59:59,-18.42449753318249,w
2022-03-07 00:00:00,-28.529382827525296,
2022-03-07 10:00:00,-21.14190768115691,
2022-03-07 10:30:00,-14.884267763141679,
2022-03-07 12:00:00,-24.647625524039313,
2022-03-07 13:30:00,-28.138007866182534,
2022-03-07 15:00:00,-18.590780616862844,
2022-03-07 15:30:30,-18.590780616862844,
2022-03-07 23:59:59,-15.532204236863095,c
2022-03-08 00:00:00,-12.396811400181832,
2022-03-08 10:00:00,-24.256899090688876,
2022-03-08 10:30:00,-21.416994799149393,
2022-03-08 12:00:00,-20.154200617754782,
2022-03-08 13:30:00,-14.212506127236338,
2022-03-08 15:00:00,-10.18540041661629,
2022-03-08 15:30:30,-10.18540041661629,
2022-03-08 23:59:59,9.390554785518589,c
2022-03-09 00:00:00,17.41614708475595,
2022-03-09 10:00:00,2.975380285686356,
2022-03-09 10:30:00,0.3606636612753391,
2022-03-09 12:00:00,-7.477250896640385,
2022-03-09 13:30:00,-5.87614250112631,
2022-03-09 15:00:00,-7.909413471884477,
2022-03-09 15:30:30,-7.909413471884477,
2022-03-09 23:59:59,-11.903482920609122,c
2022-03-10 00:00:00,-6.375958226726652,
2022-03-10 10:00:00,-18.364022535151662,
2022-03-10 10:30:00,-15.834734656269347,
2022-03-10 12:00:00,-10.085720866709721,
2022-03-10 13:30:00,-11.257437382646003,
2022-03-10 15:00:00,-19.351118723109607,
2022-03-10 15:30:30,-19.351118723109607,
2022-03-10 23:59:59,-20.077062277322284,c
2022-03-11 00:00:00,-19.959645213937506,
2022-03-11 10:00:00,-5.208872318826025,
2022-03-11 10:30:00,-4.6716096244598475,
2022-03-11 12:00:00,-8.188652174796744,
2022-03-11 13:30:00,-6.8602822575005575,
2022-03-11 15:00:00,1.7248244138156679,
2022-03-11 15:30:30,1.7248244138156679,
2022-03-11 23:59:59,0.0,a
2022-03-14 00:00:00,2.086327252574165,
2022-03-14 10:00:00,-25.457179030974544,
2022-03-14 10:30:00,-27.856358885715736,
2022-03-14 12:00:00,-20.096785931095496,
2022-03-14 13:30:00,-13.951943788147673,
2022-03-14 15:00:00,-15.027745006573923,
2022-03-14 15:30:30,-15.027745006573923,
2022-03-14 23:59:59,-12.825444646097367,c
2022-03-15 00:00:00,-8.821775738867814,
2022-03-15 10:00:00,-31.437347167366283,
2022-03-15 10:30:00,-48.951723189911036,
2022-03-15 12:00:00,-56.22034724494824,
2022-03-15 13:30:00,-67.61433102056742,
2022-03-15 15:00:00,-73.6499743208451,
2022-03-15 15:30:30,-73.6499743208451,
2022-03-15 23:59:59,-73.15857599774802,c
2022-03-16 00:00:00,-61.966604316251846,
2022-03-16 10:00:00,-65.16288902277029,
2022-03-16 10:30:00,-57.03359089804269,
2022-03-16 12:00:00,-37.25983245336636,
2022-03-16 13:30:00,-39.959356743441276,
2022-03-16 15:00:00,-43.82148630552297,
2022-03-16 15:30:30,-43.82148630552297,
2022-03-16 23:59:59,-46.71655172737724,c
2022-03-17 00:00:00,-47.906153992942336,
2022-03-17 10:00:00,-38.42085886610391,
2022-03-17 10:30:00,-36.936905989162824,
2022-03-17 12:00:00,-35.37721854084725,
2022-03-17 13:30:00,-37.05981384375559,
2022-03-17 15:00:00,-40.321588224311654,
2022-03-17 15:30:30,-40.321588224311654,
2022-03-17 23:59:59,-44.018092930154125,c
2022-03-18 00:00:00,-44.604259975415744,
2022-03-18 10:00:00,-37.63662480264361,
