date,MID_HEDGED_2021_Q3,meta
2021-08-20 00:00:00,-151.0130611998992,
2021-08-20 10:00:00,-134.20387880930286,
2021-08-20 10:30:00,-124.45715633059729,
2021-08-20 12:00:00,-113.30970503497815,
2021-08-20 13:30:00,-109.54767337513385,
2021-08-20 15:00:00,-106.94238596232731,
2021-08-20 15:30:30,-106.94238596232731,
2021-08-20 23:59:59,-105.98979776386966,w
2021-08-23 00:00:00,-90.89233965814947,
2021-08-23 10:00:00,-70.95252373066205,
2021-08-23 10:30:00,-73.23260703663038,
2021-08-23 12:00:00,-70.81945837924081,
2021-08-23 13:30:00,-63.12387185513194,
2021-08-23 15:00:00,-58.458722701238,
2021-08-23 15:30:30,-58.458722701238,
2021-08-23 23:59:59,-59.14776176382452,c
2021-08-24 00:00:00,-63.89107716987564,
2021-08-24 10:00:00,-46.85091937297261,
2021-08-24 10:30:00,-52.9390662992796,
2021-08-24 12:00:00,-64.79893731299478,
2021-08-24 13:30:00,-58.92320437918693,
2021-08-24 15:00:00,-47.581310133853776,
2021-08-24 15:30:30,-47.581310133853776,
2021-08-24 23:59:59,-44.19487135589611,c
2021-08-25 00:00:00,-38.023092580040384,
2021-08-25 10:00:00,-41.644404220726074,
2021-08-25 10:30:00,-39.133418213062214,
2021-08-25 12:00:00,-28.53725490090028,
2021-08-25 13:30:00,-23.871194178577753,
2021-08-25 15:00:00,-28.76640130481519,
2021-08-25 15:30:30,-28.76640130481519,
2021-08-25 23:59:59,-28.6961799286903,c
2021-08-26 00:00:00,-39.80972879669116,
2021-08-26 10:00:00,-32.503600058135135,
2021-08-26 10:30:00,-37.14421928008733,
2021-08-26 12:00:00,-38.14065196797719,
2021-08-26 13:30:00,-44.659692745604616,
2021-08-26 15:00:00,-49.37681466486151,
2021-08-26 15:30:30,-49.37681466486151,
2021-08-26 23:59:59,-48.56820741812612,c
2021-08-27 00:00:00,-53.52199975307008,
2021-08-27 10:00:00,-29.307990800274183,
2021-08-27 10:30:00,-30.181348310774638,
2021-08-27 12:00:00,-14.227976074982962,
2021-08-27 13:30:00,-10.977564322901799,
2021-08-27 15:00:00,-9.337834771697317,
2021-08-27 15:30:30,-9.337834771697317,
2021-08-27 23:59:59,-12.479107077366507,w
2021-08-30 00:00:00,-7.04109751579017,
2021-08-30 10:00:00,-17.210797882548604,
2021-08-30 10:30:00,-24.09930688226018,
2021-08-30 12:00:00,-15.050676769213396,
2021-08-30 13:30:00,-15.058774164334409,
2021-08-30 15:00:00,-13.542701811034703,
2021-08-30 15:30:30,-13.542701811034703,
2021-08-30 23:59:59,-15.96189796845806,c
2021-08-31 00:00:00,0.7849636653131711,
2021-08-31 10:00:00,-4.932861584458351,
2021-08-31 10:30:00,0.16845615358374744,
2021-08-31 12:00:00,6.398051035937669,
2021-08-31 13:30:00,9.977611539309464,
2021-08-31 15:00:00,5.751335652026455,
2021-08-31 15:30:30,5.751335652026455,m
2021-08-31 23:59:59,1.810004301094068,c
2021-09-01 00:00:00,16.80789355608931,
2021-09-01 10:00:00,4.099404352783495,
2021-09-01 10:30:00,7.935981449701558,
2021-09-01 12:00:00,8.688644073397654,
2021-09-01 13:30:00,13.064848802291863,
2021-09-01 15:00:00,8.001337668381893,
2021-09-01 15:30:30,8.001337668381893,
2021-09-01 23:59:59,14.416476052404732,c
2021-09-02 00:00:00,20.86153747260778,
2021-09-02 10:00:00,15.912836651699763,
2021-09-02 10:30:00,21.509567049940415,
