date,MSCI_FACT_MTUM_2020_Q4,meta
2020-11-04 12:00:00,-66.42592553306322,
2020-11-04 13:30:00,-72.88532475556185,
2020-11-04 15:00:00,-52.0163747310882,
2020-11-04 15:30:30,-52.0163747310882,
2020-11-04 23:59:59,-31.20617462439069,c
2020-11-05 00:00:00,72.45300333960351,
2020-11-05 10:00:00,86.61553623839363,
2020-11-05 10:30:00,54.26416367634097,
2020-11-05 12:00:00,87.17406260410677,
2020-11-05 13:30:00,102.68388233260232,
2020-11-05 15:00:00,107.89502856078333,
2020-11-05 15:30:30,107.89502856078333,
2020-11-05 23:59:59,105.96290943540534,c
2020-11-06 00:00:00,156.0295363050821,
2020-11-06 10:00:00,145.92077727917842,
2020-11-06 10:30:00,198.87354684276215,
2020-11-06 12:00:00,198.5967304895338,
2020-11-06 13:30:00,194.93102909982105,
2020-11-06 15:00:00,202.7663349036476,
2020-11-06 15:30:30,202.7663349036476,
2020-11-06 23:59:59,209.5209215222506,w
2020-11-09 00:00:00,81.92183044129912,
2020-11-09 10:00:00,-12.842293118132417,
2020-11-09 10:30:00,52.54082738495411,
2020-11-09 12:00:00,32.11331174756228,
2020-11-09 13:30:00,-5.006680022597536,
2020-11-09 15:00:00,-23.799936324508764,
2020-11-09 15:30:30,-23.799936324508764,x
2020-11-09 23:59:59,-31.52725537753581,c
2020-11-10 00:00:00,-49.06731448963243,
2020-11-10 10:00:00,-110.30504643922194,
2020-11-10 10:30:00,-169.69399429001226,
2020-11-10 12:00:00,-120.39305153395361,
2020-11-10 13:30:00,-148.79140363838485,
2020-11-10 15:00:00,-155.27953000640812,
2020-11-10 15:30:30,-155.27953000640812,
2020-11-10 23:59:59,-155.63984018120135,c
2020-11-11 00:00:00,-121.51838369748978,
2020-11-11 10:00:00,-90.86543739585522,
2020-11-11 10:30:00,-65.16998533766954,
2020-11-11 12:00:00,-50.858459076944904,
2020-11-11 13:30:00,-57.49775007725673,
2020-11-11 15:00:00,-52.731836402561086,
2020-11-11 15:30:30,-52.731836402561086,
2020-11-11 23:59:59,-46.562055450268296,c
2020-11-12 00:00:00,-33.636931027064904,
2020-11-12 10:00:00,-21.172939010718707,
2020-11-12 10:30:00,-22.704214693771263,
2020-11-12 12:00:00,-33.91861179841543,
2020-11-12 13:30:00,-45.865423704487384,
2020-11-12 15:00:00,-53.76327681214639,
2020-11-12 15:30:30,-53.76327681214639,
2020-11-12 23:59:59,-51.607156367625265,c
2020-11-13 00:00:00,-35.82969616831479,
2020-11-13 10:00:00,-34.50465515702036,
2020-11-13 10:30:00,-52.82741143775737,
2020-11-13 12:00:00,-79.90649978108138,
2020-11-13 13:30:00,-95.88775693687576,
2020-11-13 15:00:00,-100.54513928711773,
2020-11-13 15:30:30,-100.54513928711773,
2020-11-13 23:59:59,-96.329938874971,w
2020-11-16 00:00:00,-129.83333524759976,
2020-11-16 10:00:00,-92.49372223320664,
2020-11-16 10:30:00,-78.55666482676268,
2020-11-16 12:00:00,-70.89651585493674,
2020-11-16 13:30:00,-64.31577477102178,
2020-11-16 15:00:00,-63.686678577241764,
2020-11-16 15:30:30,-63.686678577241764,
2020-11-16 23:59:59,-47.405894792460614,c
2020-11-17 00:00:00,-36.883363260437854,
2020-11-17 10:00:00,-56.89746327515839,
2020-11-17 10:30:00,-29.04487112488274,
2020-11-17 12:00:00,-10.702594197872344,
2020-11-17 13:30:00,-3.819182176150676,
2020-11-17 15:00:00,9.869171476350502,
2020-11-17 15:30:30,9.869171476350502,
2020-11-17 23:59:59,8.78956600903804,c
2020-11-18 00:00:00,-6.365935063407804,
2020-11-18 10:00:00,-10.84717973841883,
2020-11-18 10:30:00,-11.82994304026353,
2020-11-18 12:00:00,-8.564912363285586,
2020-11-18 13:30:00,-7.635346813991973,
2020-11-18 15:00:00,-4.473659495561861,
2020-11-18 15:30:30,-4.473659495561861,
2020-11-18 23:59:59,0.0,a
2020-11-19 00:00:00,18.110820352867748,
2020-11-19 10:00:00,70.41879647301893,
2020-11-19 10:30:00,67.87415584557745,
2020-11-19 12:00:00,80.52975642092495,
2020-11-19 13:30:00,78.65865733991986,
2020-11-19 15:00:00,76.78824230660179,
2020-11-19 15:30:30,76.78824230660179,
2020-11-19 23:59:59,69.5048433464582,c
2020-11-20 00:00:00,98.21503003238699,
2020-11-20 10:00:00,87.11708661546119,
2020-11-20 10:30:00,118.27255693671528,
2020-11-20 12:00:00,121.23059967474161,
2020-11-20 13:30:00,135.54115585136452,
2020-11-20 15:00:00,130.84499465230988,
2020-11-20 15:30:30,130.84499465230988,
2020-11-20 23:59:59,116.41384136917979,w
2020-11-23 00:00:00,130.78668469527372,
2020-11-23 10:00:00,140.28546457677277,
2020-11-23 10:30:00,112.82583161229881,
2020-11-23 12:00:00,160.37770627633654,
2020-11-23 13:30:00,174.53004035049946,
2020-11-23 15:00:00,177.91813756266595,
2020-11-23 15:30:30,177.91813756266595,
2020-11-23 23:59:59,176.59507000782457,c
0,176.59507000782457,
0,176.59507000782457,
0,176.59507000782457,
0,176.59507000782457,
0,176.59507000782457,
0,176.59507000782457,
0,176.59507000782457,
0,176.59507000782457,
0,176.59507000782457,
0,176.59507000782457,
0,176.59507000782457,
0,176.59507000782457,
0,176.59507000782457,
0,176.59507000782457,
0,176.59507000782457,
0,176.59507000782457,
0,176.59507000782457,
0,176.59507000782457,
0,176.59507000782457,
0,176.59507000782457,
0,176.59507000782457,
0,176.59507000782457,
0,176.59507000782457,
0,176.59507000782457,
2020-11-24 00:00:00,182.5953095750915,
2020-11-24 10:00:00,156.68591784353902,
2020-11-24 10:30:00,147.74096365971656,
2020-11-24 12:00:00,134.9675140133125,
2020-11-24 13:30:00,143.15899099043725,
2020-11-24 15:00:00,144.03544094231472,
2020-11-24 15:30:30,144.03544094231472,
2020-11-24 23:59:59,164.1267243082865,c
2020-11-25 00:00:00,167.30800708090175,
2020-11-25 10:00:00,215.25539673343468,
2020-11-25 10:30:00,223.7795421826744,
2020-11-25 12:00:00,201.61293869595897,
2020-11-25 13:30:00,198.07229983946348,
2020-11-25 15:00:00,209.59727017344494,
2020-11-25 15:30:30,209.59727017344494,
2020-11-25 23:59:59,191.59219118960698,c
2020-11-26 00:00:00,191.59219118960698,
2020-11-26 10:00:00,191.59219118960698,
2020-11-26 10:30:00,191.59219118960698,
2020-11-26 12:00:00,191.59219118960698,
2020-11-26 13:30:00,191.59219118960698,
2020-11-26 15:00:00,191.59219118960698,
2020-11-26 15:30:30,191.59219118960698,
2020-11-26 23:59:59,191.59219118960698,c
2020-11-27 00:00:00,207.85633336611613,
2020-11-27 10:00:00,188.4144486708975,
2020-11-27 10:30:00,187.35888126809715,
2020-11-27 12:00:00,172.3813866494072,
2020-11-27 13:30:00,172.3813866494072,
2020-11-27 15:00:00,172.3813866494072,
2020-11-27 15:30:30,172.3813866494072,
2020-11-27 23:59:59,187.09737242550773,w
2020-11-30 00:00:00,204.5099320465182,
2020-11-30 10:00:00,180.6041012335392,
2020-11-30 10:30:00,168.39485483602868,
2020-11-30 12:00:00,175.12526403741765,
2020-11-30 13:30:00,190.62604489217495,
2020-11-30 15:00:00,216.82197460820254,
2020-11-30 15:30:30,216.82197460820254,
2020-11-30 23:59:59,224.88389216181662,e
2020-12-01 00:00:00,201.62835474774374,
2020-12-01 10:00:00,152.85845784532,
2020-12-01 10:30:00,110.8638674175766,
2020-12-01 12:00:00,126.4085259059723,
2020-12-01 13:30:00,133.42752967018106,
2020-12-01 15:00:00,120.77835273691069,
2020-12-01 15:30:30,120.77835273691069,
2020-12-01 23:59:59,115.66658256777147,c
2020-12-02 00:00:00,78.45474380275563,
2020-12-02 10:00:00,33.01956442740229,
2020-12-02 10:30:00,47.849544995542814,
2020-12-02 12:00:00,56.507303679008075,
2020-12-02 13:30:00,54.03215319641298,
2020-12-02 15:00:00,73.26189192181364,
2020-12-02 15:30:30,73.26189192181364,
2020-12-02 23:59:59,68.96074104883387,c
2020-12-03 00:00:00,89.13220622690217,
2020-12-03 10:00:00,105.39811545484882,
2020-12-03 10:30:00,100.38000729550599,
2020-12-03 12:00:00,113.58305721676338,
2020-12-03 13:30:00,105.14696189774726,
2020-12-03 15:00:00,88.12066415069562,
2020-12-03 15:30:30,88.12066415069562,
2020-12-03 23:59:59,82.57266020263624,c
2020-12-04 00:00:00,91.82030207628917,
2020-12-04 10:00:00,66.45149650425189,
2020-12-04 10:30:00,48.383710426424486,
2020-12-04 12:00:00,76.6375991074318,
2020-12-04 13:30:00,85.25853249553934,
2020-12-04 15:00:00,79.4434502294687,
2020-12-04 15:30:30,79.4434502294687,
2020-12-04 23:59:59,69.33949934242149,w
2020-12-07 00:00:00,90.16751808487562,
2020-12-07 10:00:00,91.75412158711067,
2020-12-07 10:30:00,111.8909025766762,
2020-12-07 12:00:00,107.09945796510046,
2020-12-07 13:30:00,105.97568310174269,
2020-12-07 15:00:00,111.56445006911939,
2020-12-07 15:30:30,111.56445006911939,
2020-12-07 23:59:59,110.51509584162962,c
2020-12-08 00:00:00,119.50994944113661,
2020-12-08 10:00:00,124.89964316447363,
2020-12-08 10:30:00,106.45719574757887,
2020-12-08 12:00:00,123.92927414525654,
2020-12-08 13:30:00,118.03980621015477,
2020-12-08 15:00:00,130.11682383084644,
2020-12-08 15:30:30,130.11682383084644,
2020-12-08 23:59:59,118.83237942666442,c
2020-12-09 00:00:00,122.31031011477081,
