date,CAD_XDV_2023_Q1,meta
2023-02-17 00:00:00,-113.61302701939252,
2023-02-17 10:00:00,-158.92101837061705,
2023-02-17 10:30:00,-155.31604504000575,
2023-02-17 12:00:00,-150.2929548915223,
2023-02-17 13:30:00,-154.49174358702447,
2023-02-17 15:00:00,-145.83871853558338,
2023-02-17 15:30:30,-145.83871853558338,
2023-02-17 23:59:59,-147.69980513944563,w
2023-02-20 00:00:00,-147.69980513944563,
2023-02-20 10:00:00,-147.69980513944563,
2023-02-20 10:30:00,-147.69980513944563,
2023-02-20 12:00:00,-147.69980513944563,
2023-02-20 13:30:00,-147.69980513944563,
2023-02-20 15:00:00,-147.69980513944563,
2023-02-20 15:30:30,-147.69980513944563,
2023-02-20 23:59:59,-147.69980513944563,c
2023-02-21 00:00:00,-153.34424953053872,
2023-02-21 10:00:00,-160.24711791951125,
2023-02-21 10:30:00,-180.98819470895597,
2023-02-21 12:00:00,-201.0431423669276,
2023-02-21 13:30:00,-194.629811376386,
2023-02-21 15:00:00,-201.49573852837034,
2023-02-21 15:30:30,-201.49573852837034,
2023-02-21 23:59:59,-213.4483858327069,c
2023-02-22 00:00:00,-201.30191626718744,
2023-02-22 10:00:00,-199.56457500672803,
2023-02-22 10:30:00,-218.90171100238047,
2023-02-22 12:00:00,-235.03969349590386,
2023-02-22 13:30:00,-204.7872236304102,
2023-02-22 15:00:00,-212.51188403000276,
2023-02-22 15:30:30,-212.51188403000276,
2023-02-22 23:59:59,-228.36007467149824,c
2023-02-23 00:00:00,-209.799427319968,
2023-02-23 10:00:00,-200.21416582936774,
2023-02-23 10:30:00,-193.39397911315933,
2023-02-23 12:00:00,-230.27443963498672,
2023-02-23 13:30:00,-207.2873007704635,
2023-02-23 15:00:00,-171.28102592217203,
2023-02-23 15:30:30,-171.28102592217203,
2023-02-23 23:59:59,-171.09081090265164,c
2023-02-24 00:00:00,-165.25383013013652,
2023-02-24 10:00:00,-201.06534300142135,
2023-02-24 10:30:00,-193.67122328059082,
2023-02-24 12:00:00,-154.2381900265529,
2023-02-24 13:30:00,-170.3246735103188,
2023-02-24 15:00:00,-160.94794389298534,
2023-02-24 15:30:30,-160.94794389298534,
2023-02-24 23:59:59,-169.65683490278195,w
2023-02-27 00:00:00,-162.46026272487774,
2023-02-27 10:00:00,-159.53761392824174,
2023-02-27 10:30:00,-160.9910313953896,
2023-02-27 12:00:00,-182.5712882497744,
2023-02-27 13:30:00,-185.65413993703635,
2023-02-27 15:00:00,-176.4445996081223,
2023-02-27 15:30:30,-176.4445996081223,
2023-02-27 23:59:59,-192.3174641558416,c
2023-02-28 00:00:00,-196.27286426066973,
2023-02-28 10:00:00,-287.2943090501446,
2023-02-28 10:30:00,-279.61223912905814,
2023-02-28 12:00:00,-286.0333042280037,
2023-02-28 13:30:00,-288.69113726308495,
2023-02-28 15:00:00,-302.7590385478942,
2023-02-28 15:30:30,-302.7590385478942,s
2023-02-28 23:59:59,-299.4915373454427,c
2023-03-01 00:00:00,-309.2053103043676,
2023-03-01 10:00:00,-318.7527303814957,
2023-03-01 10:30:00,-294.1708978628422,
2023-03-01 12:00:00,-275.76900630208945,
2023-03-01 13:30:00,-265.5093655270792,
2023-03-01 15:00:00,-261.0748884459829,
2023-03-01 15:30:30,-261.0748884459829,
2023-03-01 23:59:59,-251.18829039418375,c
2023-03-02 00:00:00,-237.01762098409762,
2023-03-02 10:00:00,-221.27870732273652,
2023-03-02 10:30:00,-218.8256190318604,
2023-03-02 12:00:00,-199.3346399278642,
2023-03-02 13:30:00,-152.6859130640625,
2023-03-02 15:00:00,-156.84096628468063,
2023-03-02 15:30:30,-156.84096628468063,
2023-03-02 23:59:59,-159.1318608282033,c
2023-03-03 00:00:00,-163.2361720601907,
2023-03-03 10:00:00,-119.92705709320114,
2023-03-03 10:30:00,-123.0749801944616,
2023-03-03 12:00:00,-93.21067287699549,
2023-03-03 13:30:00,-100.45698090491044,
2023-03-03 15:00:00,-98.12877584116802,
2023-03-03 15:30:30,-98.12877584116802,
2023-03-03 23:59:59,-107.90749270083904,w
2023-03-06 00:00:00,-134.27158778129308,
2023-03-06 10:00:00,-145.37651148411118,
2023-03-06 10:30:00,-144.90723605359858,
2023-03-06 12:00:00,-145.8817648969209,
2023-03-06 13:30:00,-173.5589769074631,
2023-03-06 15:00:00,-160.99098183460046,
