date,AS_MSCI_AS_DM_STAY_2022_Q1,meta
2022-01-26 01:00:00,210.7061921259101,
2022-01-26 02:30:00,210.82072656816126,
2022-01-26 03:00:00,210.03143999286476,
2022-01-26 18:30:00,159.53240414399625,
2022-01-26 20:00:00,306.501131992889,
2022-01-26 23:00:00,398.35166056778144,
2022-01-26 23:59:59,392.0280544254638,c
2022-01-27 00:00:00,385.4157857429109,
2022-01-27 01:00:00,390.2859056078323,
2022-01-27 02:30:00,389.46225779126144,
2022-01-27 03:00:00,386.02174326497334,
2022-01-27 18:30:00,416.13024251703973,
2022-01-27 20:00:00,408.0919862777373,
2022-01-27 23:00:00,347.1331314808467,
2022-01-27 23:59:59,317.3417740645673,c
2022-01-28 00:00:00,263.4565507007301,
2022-01-28 01:00:00,265.9459228022697,
2022-01-28 02:30:00,272.3081897738066,
2022-01-28 03:00:00,271.96428404600556,
2022-01-28 18:30:00,271.96428404600556,
2022-01-28 20:00:00,271.96428404600556,
2022-01-28 23:00:00,271.96428404600556,
2022-01-28 23:59:59,266.045353988653,w
2022-01-31 00:00:00,305.18094985437347,
2022-01-31 01:00:00,303.1429788187688,
2022-01-31 02:30:00,303.1429788187688,
2022-01-31 03:00:00,303.1429788187688,
2022-01-31 18:30:00,320.13484039620926,
2022-01-31 20:00:00,265.8203180519249,
2022-01-31 23:00:00,264.8815643123071,
2022-01-31 23:59:59,295.1137584114913,c
2022-02-01 00:00:00,281.7839100715628,
2022-02-01 01:00:00,278.57363404476564,
2022-02-01 02:30:00,278.57363404476564,
2022-02-01 03:00:00,278.57363404476564,
2022-02-01 18:30:00,277.9440204519342,
2022-02-01 20:00:00,242.8387313498406,
2022-02-01 23:00:00,240.65888561033717,
2022-02-01 23:59:59,238.01195758849644,c
2022-02-02 00:00:00,213.56272338404233,
2022-02-02 01:00:00,214.16037950411373,
2022-02-02 02:30:00,214.16037950411373,
2022-02-02 03:00:00,214.16037950411373,
2022-02-02 18:30:00,218.25734025853308,
2022-02-02 20:00:00,214.3491594740699,
2022-02-02 23:00:00,207.31883417542304,
2022-02-02 23:59:59,215.70842611510125,c
2022-02-03 00:00:00,218.81604902457366,
2022-02-03 01:00:00,220.49486865551808,
2022-02-03 02:30:00,221.65422911896712,
2022-02-03 03:00:00,221.4243998818656,
2022-02-03 18:30:00,184.8721886964031,
2022-02-03 20:00:00,185.7589477256097,
2022-02-03 23:00:00,180.8619312946139,
2022-02-03 23:59:59,149.40201095650082,c
2022-02-04 00:00:00,119.19308095973611,
2022-02-04 01:00:00,114.94088041364012,
2022-02-04 02:30:00,116.68268724958762,
2022-02-04 03:00:00,115.24307924296227,
2022-02-04 18:30:00,115.24307924296227,
2022-02-04 20:00:00,115.24307924296227,
2022-02-04 23:00:00,115.24307924296227,
2022-02-04 23:59:59,123.73645316619877,w
2022-02-07 00:00:00,104.7560464827111,
2022-02-07 01:00:00,103.33285613489898,
2022-02-07 02:30:00,102.3405465397318,
2022-02-07 03:00:00,99.63583863461099,
2022-02-07 18:30:00,105.63443840734362,
2022-02-07 20:00:00,52.108072210390674,
2022-02-07 23:00:00,57.029937162102215,
2022-02-07 23:59:59,60.42789862362406,c
2022-02-08 00:00:00,47.3301390316592,
2022-02-08 01:00:00,48.92790071654781,
2022-02-08 02:30:00,42.926125031861375,
2022-02-08 03:00:00,42.3485200962059,
2022-02-08 18:30:00,58.62436335142229,
2022-02-08 20:00:00,84.10299204978946,
2022-02-08 23:00:00,38.51070688347136,
2022-02-08 23:59:59,9.917598939868185,c
2022-02-09 00:00:00,-56.93260849114995,
