date,XLCCAP_2021_Q2,meta
2021-06-15 00:00:00,299.5989376326345,
2021-06-15 10:00:00,285.9571909068494,
2021-06-15 10:30:00,291.9078989928538,
2021-06-15 12:00:00,289.55168867903643,
2021-06-15 13:30:00,298.295153842736,
2021-06-15 15:00:00,278.518726336304,
2021-06-15 15:30:30,278.518726336304,
2021-06-15 23:59:59,285.1316241977362,c
2021-06-16 00:00:00,280.11222888966984,
2021-06-16 10:00:00,278.00152663116603,
2021-06-16 10:30:00,263.3904626806165,
2021-06-16 12:00:00,295.3919984826452,
2021-06-16 13:30:00,297.82129192485843,
2021-06-16 15:00:00,307.6538503993186,
2021-06-16 15:30:30,307.6538503993186,
2021-06-16 23:59:59,301.8477191173832,c
2021-06-17 00:00:00,302.63010561551874,
2021-06-17 10:00:00,274.747921163437,
2021-06-17 10:30:00,273.59384499061093,
2021-06-17 12:00:00,248.94400165662228,
2021-06-17 13:30:00,222.2123576649206,
2021-06-17 15:00:00,228.56743069398482,
2021-06-17 15:30:30,228.56743069398482,
2021-06-17 23:59:59,222.65678010876695,c
2021-06-18 00:00:00,228.3237048674588,
2021-06-18 10:00:00,214.3980946547237,
2021-06-18 10:30:00,201.1212647194913,
2021-06-18 12:00:00,210.19598588887658,
2021-06-18 13:30:00,210.04866503969782,
2021-06-18 15:00:00,219.76091179637535,
2021-06-18 15:30:30,219.76091179637535,q
2021-06-18 23:59:59,233.83002145223355,w
2021-06-21 00:00:00,232.18366547128477,
2021-06-21 10:00:00,268.42594121307604,
2021-06-21 10:30:00,269.0026726342806,
2021-06-21 12:00:00,257.7053754028039,
2021-06-21 13:30:00,268.4342344654418,
2021-06-21 15:00:00,265.909713610193,
2021-06-21 15:30:30,265.909713610193,
2021-06-21 23:59:59,257.44152319807256,c
2021-06-22 00:00:00,258.80766612739654,
2021-06-22 10:00:00,226.504360788837,
2021-06-22 10:30:00,226.2699617543343,
2021-06-22 12:00:00,200.9068643073452,
2021-06-22 13:30:00,196.50834385745583,
2021-06-22 15:00:00,170.7786948321811,
2021-06-22 15:30:30,170.7786948321811,
2021-06-22 23:59:59,164.14773914236088,c
2021-06-23 00:00:00,166.5249186577908,
2021-06-23 10:00:00,132.0832597923145,
2021-06-23 10:30:00,128.9085569316687,
2021-06-23 12:00:00,127.79814016466739,
2021-06-23 13:30:00,130.39836541652681,
2021-06-23 15:00:00,116.01024011687174,
2021-06-23 15:30:30,116.01024011687174,
2021-06-23 23:59:59,120.98780716603429,c
2021-06-24 00:00:00,118.08609801642163,
2021-06-24 10:00:00,112.57746178165934,
2021-06-24 10:30:00,120.57060180579417,
2021-06-24 12:00:00,109.39432151867939,
2021-06-24 13:30:00,119.8217540287786,
2021-06-24 15:00:00,122.59190253310169,
2021-06-24 15:30:30,122.59190253310169,
2021-06-24 23:59:59,124.00357709494361,c
2021-06-25 00:00:00,106.33008718445092,
2021-06-25 10:00:00,127.53089381000245,
2021-06-25 10:30:00,124.59373784577798,
2021-06-25 12:00:00,120.35124323500293,
2021-06-25 13:30:00,120.72538331881854,
2021-06-25 15:00:00,117.25693591152157,
2021-06-25 15:30:30,117.25693591152157,
2021-06-25 23:59:59,122.59913520820501,w
2021-06-28 00:00:00,114.79061859078419,
2021-06-28 10:00:00,101.84047746196828,
2021-06-28 10:30:00,102.3564590693045,
2021-06-28 12:00:00,115.89192708389372,
2021-06-28 13:30:00,96.98579323279712,
2021-06-28 15:00:00,42.21186668888958,
2021-06-28 15:30:30,42.21186668888958,
2021-06-28 23:59:59,-20.116997484661276,c
2021-06-29 00:00:00,-15.530381729219151,
2021-06-29 10:00:00,10.139451764003539,
2021-06-29 10:30:00,31.66046538522102,
2021-06-29 12:00:00,26.094202060468284,
2021-06-29 13:30:00,11.847256492311008,
2021-06-29 15:00:00,11.193214548738542,
2021-06-29 15:30:30,11.193214548738542,
2021-06-29 23:59:59,0.0,a
2021-06-30 00:00:00,-1.0831315097738283,
2021-06-30 10:00:00,24.587413783992183,
2021-06-30 10:30:00,24.330477884500006,
2021-06-30 12:00:00,34.88933084205556,
2021-06-30 13:30:00,27.629060382326365,
2021-06-30 15:00:00,48.276157778554854,
2021-06-30 15:30:30,48.276157778554854,
2021-06-30 23:59:59,60.810903334247065,e
2021-07-01 00:00:00,72.91307219732317,
2021-07-01 10:00:00,43.27276718293955,
2021-07-01 10:30:00,47.32335601139197,
2021-07-01 12:00:00,40.62116128689091,
2021-07-01 13:30:00,26.77024638026356,
2021-07-01 15:00:00,6.0682395955280555,
2021-07-01 15:30:30,6.0682395955280555,
2021-07-01 23:59:59,1.0125762544927284,c
2021-07-02 00:00:00,5.189282561765175,
2021-07-02 10:00:00,4.5411335999815705,
2021-07-02 10:30:00,16.504975686519135,
2021-07-02 12:00:00,26.37031854496589,
2021-07-02 13:30:00,30.050075747934194,
2021-07-02 15:00:00,35.75020813729867,
2021-07-02 15:30:30,35.75020813729867,
2021-07-02 23:59:59,27.807077561330942,w
2021-07-05 00:00:00,27.807077561330942,
2021-07-05 10:00:00,27.807077561330942,
2021-07-05 10:30:00,27.807077561330942,
2021-07-05 12:00:00,27.807077561330942,
2021-07-05 13:30:00,27.807077561330942,
2021-07-05 15:00:00,27.807077561330942,
2021-07-05 15:30:30,27.807077561330942,
2021-07-05 23:59:59,27.807077561330942,c
2021-07-06 00:00:00,17.049649622933792,
2021-07-06 10:00:00,16.085797332684635,
2021-07-06 10:30:00,12.924219692093978,
2021-07-06 12:00:00,18.595077982715033,
2021-07-06 13:30:00,8.930598374550954,
