date,EU_RBOT_2021_Q2,meta
2021-06-11 08:00:00,-106.11345595759968,
2021-06-11 10:30:00,-71.56930580453519,
2021-06-11 11:00:00,-53.49098107668493,
2021-06-11 23:59:59,-28.626911884891626,w
2021-06-14 00:00:00,-48.150019814377174,
2021-06-14 03:30:00,-45.307147793400475,
2021-06-14 04:00:00,-42.89487099010063,
2021-06-14 06:00:00,-98.66818748579817,
2021-06-14 08:00:00,-78.11252656748417,
2021-06-14 10:30:00,-115.12739971308241,
2021-06-14 11:00:00,-107.90946279154605,
2021-06-14 23:59:59,-112.3792701983815,c
2021-06-15 00:00:00,-136.46483066494386,
2021-06-15 03:30:00,-153.93962468131633,
2021-06-15 04:00:00,-153.48387706942066,
2021-06-15 06:00:00,-181.03807444007134,
2021-06-15 08:00:00,-239.57488785699263,
2021-06-15 10:30:00,-229.54641314567186,
2021-06-15 11:00:00,-205.74995329794888,
2021-06-15 23:59:59,-201.90153330462203,c
2021-06-16 00:00:00,-211.1168624078042,
2021-06-16 03:30:00,-250.28111519584456,
2021-06-16 04:00:00,-232.51469576661304,
2021-06-16 06:00:00,-234.8009112454405,
2021-06-16 08:00:00,-256.3291195149209,
2021-06-16 10:30:00,-256.2878041419664,
2021-06-16 11:00:00,-250.51993674819994,
2021-06-16 23:59:59,-259.80648746241866,c
2021-06-17 00:00:00,-230.01046571610289,
2021-06-17 03:30:00,-113.8429239567302,
2021-06-17 04:00:00,-139.65127947649052,
2021-06-17 06:00:00,-96.72391472419145,
2021-06-17 08:00:00,-78.84039884937988,
2021-06-17 10:30:00,-114.64802201688025,
2021-06-17 11:00:00,-143.46165073389705,
2021-06-17 23:59:59,-139.81835319221756,c
2021-06-18 00:00:00,-137.05009200701988,
2021-06-18 03:30:00,-229.77004003672596,
2021-06-18 04:00:00,-183.17200825977966,
2021-06-18 06:00:00,-211.4979247562802,
2021-06-18 08:00:00,-215.9957214422983,
2021-06-18 10:30:00,-207.33733834499776,
2021-06-18 11:00:00,-187.83790495575943,
