date,FIW_2022_Q3,meta
2022-08-19 00:00:00,247.24181063706783,
2022-08-19 10:00:00,268.42590253299477,
2022-08-19 10:30:00,255.3883495533164,
2022-08-19 12:00:00,247.36644717310537,
2022-08-19 13:30:00,247.2342103944843,
2022-08-19 15:00:00,243.48058171986486,
2022-08-19 15:30:30,243.48058171986486,
2022-08-19 23:59:59,241.9822865198994,w
2022-08-22 00:00:00,279.0861020130028,
2022-08-22 10:00:00,258.50027607463517,
2022-08-22 10:30:00,261.57779177014163,
2022-08-22 12:00:00,227.88642821646908,
2022-08-22 13:30:00,212.75923688383227,
2022-08-22 15:00:00,204.2599616204634,
2022-08-22 15:30:30,204.2599616204634,
2022-08-22 23:59:59,222.98225972879027,c
2022-08-23 00:00:00,194.37832023259398,
2022-08-23 10:00:00,190.69415383020396,
2022-08-23 10:30:00,190.3582689241689,
2022-08-23 12:00:00,172.2091536422895,
2022-08-23 13:30:00,161.9130815215235,
2022-08-23 15:00:00,152.97519329803026,
2022-08-23 15:30:30,152.97519329803026,
2022-08-23 23:59:59,139.42780195118257,c
2022-08-24 00:00:00,153.26871879558166,
2022-08-24 10:00:00,122.84295025997744,
2022-08-24 10:30:00,127.23304668219589,
2022-08-24 12:00:00,132.27306359032127,
2022-08-24 13:30:00,148.22225192498672,
2022-08-24 15:00:00,129.62714073268762,
2022-08-24 15:30:30,129.62714073268762,
2022-08-24 23:59:59,129.66412351179952,c
2022-08-25 00:00:00,116.09071177080114,
2022-08-25 10:00:00,142.12855679948188,
2022-08-25 10:30:00,120.0072941075673,
2022-08-25 12:00:00,112.00593232028405,
2022-08-25 13:30:00,102.90233590726712,
2022-08-25 15:00:00,106.24448467520051,
2022-08-25 15:30:30,106.24448467520051,
2022-08-25 23:59:59,106.99410227977569,c
2022-08-26 00:00:00,112.70944668977063,
2022-08-26 10:00:00,111.52410085598194,
2022-08-26 10:30:00,108.56597936236403,
2022-08-26 12:00:00,82.72344320340426,
2022-08-26 13:30:00,87.14202831557441,
2022-08-26 15:00:00,81.06721334614349,
2022-08-26 15:30:30,81.06721334614349,
2022-08-26 23:59:59,75.29591235732778,w
2022-08-29 00:00:00,75.24768991994642,
2022-08-29 10:00:00,57.98035999522381,
2022-08-29 10:30:00,31.2005736692513,
2022-08-29 12:00:00,31.574513510491215,
2022-08-29 13:30:00,18.39574771319758,
2022-08-29 15:00:00,11.808162654394437,
2022-08-29 15:30:30,11.808162654394437,
2022-08-29 23:59:59,6.236048464515534,c
2022-08-30 00:00:00,0.6701555283948437,
2022-08-30 10:00:00,72.86848039769939,
2022-08-30 10:30:00,80.71826655696759,
2022-08-30 12:00:00,92.73168891941577,
2022-08-30 13:30:00,112.62483722100706,
2022-08-30 15:00:00,121.28781367881675,
2022-08-30 15:30:30,121.28781367881675,
2022-08-30 23:59:59,121.88421662318206,c
2022-08-31 00:00:00,121.23705544821496,
2022-08-31 10:00:00,82.8101588409445,
2022-08-31 10:30:00,85.58502350892331,
2022-08-31 12:00:00,74.87434697660137,
2022-08-31 13:30:00,57.068088567710674,
2022-08-31 15:00:00,58.17282996911672,
2022-08-31 15:30:30,58.17282996911672,s
2022-08-31 23:59:59,69.01819483229974,c
2022-09-01 00:00:00,52.139399690449864,
2022-09-01 10:00:00,83.36892033051481,
2022-09-01 10:30:00,83.46839665484276,
2022-09-01 12:00:00,84.19672220256734,
2022-09-01 13:30:00,88.42118102643872,
2022-09-01 15:00:00,98.44679427033407,
2022-09-01 15:30:30,98.44679427033407,
2022-09-01 23:59:59,98.92322763602306,c
2022-09-02 00:00:00,78.54826358613082,
2022-09-02 10:00:00,78.51183249619817,
2022-09-02 10:30:00,41.80750186124624,
2022-09-02 12:00:00,45.45908956354697,
2022-09-02 13:30:00,77.83056209196002,
2022-09-02 15:00:00,81.86257214796115,
2022-09-02 15:30:30,81.86257214796115,
2022-09-02 23:59:59,78.68829104410497,w
2022-09-05 00:00:00,78.68829104410497,
2022-09-05 10:00:00,78.68829104410497,
2022-09-05 10:30:00,78.68829104410497,
2022-09-05 12:00:00,78.68829104410497,
2022-09-05 13:30:00,78.68829104410497,
2022-09-05 15:00:00,78.68829104410497,
2022-09-05 15:30:30,78.68829104410497,
2022-09-05 23:59:59,78.68829104410497,c
2022-09-06 00:00:00,71.52770583771871,
2022-09-06 10:00:00,97.49924813341204,
2022-09-06 10:30:00,92.07116240078994,
2022-09-06 12:00:00,87.13324918672379,
2022-09-06 13:30:00,109.09813693083106,
2022-09-06 15:00:00,108.86775917292744,
2022-09-06 15:30:30,108.86775917292744,
2022-09-06 23:59:59,99.33792352341698,c
2022-09-07 00:00:00,119.12618548852151,
2022-09-07 10:00:00,136.93874106720023,
2022-09-07 10:30:00,118.53751968370398,
2022-09-07 12:00:00,114.10921361050305,
2022-09-07 13:30:00,109.1794036753231,
2022-09-07 15:00:00,93.719946643811,
2022-09-07 15:30:30,93.719946643811,
2022-09-07 23:59:59,69.25183092889847,c
2022-09-08 00:00:00,43.81976953436924,
2022-09-08 10:00:00,31.965178600133186,
2022-09-08 10:30:00,36.21920491407991,
2022-09-08 12:00:00,56.20594820572251,
2022-09-08 13:30:00,53.76396495678,
2022-09-08 15:00:00,44.07440070369603,
2022-09-08 15:30:30,44.07440070369603,
2022-09-08 23:59:59,31.57190166839564,c
2022-09-09 00:00:00,13.897573238083169,
2022-09-09 10:00:00,19.00574282540856,
2022-09-09 10:30:00,-6.584667650783558,
2022-09-09 12:00:00,-17.061506297829965,
2022-09-09 13:30:00,-12.225132428593952,
