date,EU_MSCI_EM_MIG_2021_Q4,meta
2021-09-30 00:00:00,-2729.375643857913,
2021-09-30 03:30:00,-2789.034650731005,
2021-09-30 04:00:00,-2769.153111188798,
2021-09-30 06:00:00,-2845.5809380015908,
2021-09-30 08:00:00,-2830.3724563833903,
2021-09-30 10:30:00,-2637.0026903435064,
2021-09-30 11:00:00,-2637.0026903435064,
2021-09-30 23:59:59,-2668.7276487379786,c
2021-10-01 00:00:00,-2761.4834059802206,
2021-10-01 03:30:00,-2775.2313534987015,
2021-10-01 04:00:00,-2735.058330078158,
2021-10-01 06:00:00,-2627.3321987280206,
2021-10-01 08:00:00,-2595.8228306796827,
2021-10-01 10:30:00,-2482.2760717651736,
2021-10-01 11:00:00,-2482.2760717651736,
2021-10-01 23:59:59,-2504.6213090017,w
2021-10-04 00:00:00,-2508.1888381264007,
2021-10-04 03:30:00,-2523.9027371554494,
2021-10-04 04:00:00,-2466.5052214553843,
2021-10-04 06:00:00,-2367.059083528018,
2021-10-04 08:00:00,-2351.3121200084897,
2021-10-04 10:30:00,-2448.6280273735674,
2021-10-04 11:00:00,-2448.6280273735674,
2021-10-04 23:59:59,-2454.6759012558705,c
2021-10-05 00:00:00,-2526.026483749906,
2021-10-05 03:30:00,-2351.474299372263,
2021-10-05 04:00:00,-2412.9953394070426,
2021-10-05 06:00:00,-2466.574998872372,
2021-10-05 08:00:00,-2466.434376992741,
2021-10-05 10:30:00,-2499.1876403659253,
2021-10-05 11:00:00,-2499.1876403659253,
2021-10-05 23:59:59,-2436.8382556323677,c
2021-10-06 00:00:00,-2454.6732994199792,
2021-10-06 03:30:00,-2384.8872881272055,
2021-10-06 04:00:00,-2368.83953030034,
2021-10-06 06:00:00,-2258.681084558655,
2021-10-06 08:00:00,-2176.2421680215093,
2021-10-06 10:30:00,-1713.0109997146992,
2021-10-06 11:00:00,-1713.0109997146992,
2021-10-06 23:59:59,-1723.3295766687315,c
2021-10-07 00:00:00,-1826.7879569603729,
2021-10-07 03:30:00,-1749.2535749968756,
2021-10-07 04:00:00,-1671.4170507839335,
2021-10-07 06:00:00,-1711.967883599309,
2021-10-07 08:00:00,-1711.2302558558076,
2021-10-07 10:30:00,-1710.8146546457956,
2021-10-07 11:00:00,-1710.8146546457956,
2021-10-07 23:59:59,-1687.6542731198915,c
2021-10-08 00:00:00,-1701.9243945394264,
2021-10-08 03:30:00,-1648.098910837025,
2021-10-08 04:00:00,-1687.6938369356703,
2021-10-08 06:00:00,-1812.0374363526025,
2021-10-08 08:00:00,-1985.1302294334791,
2021-10-08 10:30:00,-1775.7913249677222,
2021-10-08 11:00:00,-1775.7913249677222,
2021-10-08 23:59:59,-1684.0867427649991,w
2021-10-11 00:00:00,-1687.654269552353,
2021-10-11 03:30:00,-1611.2157758545236,
2021-10-11 04:00:00,-1651.2435486649247,
2021-10-11 06:00:00,-1642.0858414172617,
2021-10-11 08:00:00,-1648.9211399771775,
2021-10-11 10:30:00,-1676.664157157904,
2021-10-11 11:00:00,-1676.664157157904,
2021-10-11 23:59:59,-1687.654269552355,c
2021-10-12 00:00:00,-1741.1663162250534,
2021-10-12 03:30:00,-1676.7420278840764,
2021-10-12 04:00:00,-1619.7653043762002,
2021-10-12 06:00:00,-1489.0529409176816,
2021-10-12 08:00:00,-1505.2082329678633,
2021-10-12 10:30:00,-1229.2933628273167,
2021-10-12 11:00:00,-1229.2933628273167,
2021-10-12 23:59:59,-1245.2795421236733,c
2021-10-13 00:00:00,-1398.6839685524228,
2021-10-13 03:30:00,-1292.7021027316696,
2021-10-13 04:00:00,-1171.9613747314088,
2021-10-13 06:00:00,-1236.0320617726793,
2021-10-13 08:00:00,-1304.4365029387955,
2021-10-13 10:30:00,-1377.047100193,
2021-10-13 11:00:00,-1377.047100193,
2021-10-13 23:59:59,-1366.576194067542,c
2021-10-14 00:00:00,-1480.7340223343163,
2021-10-14 03:30:00,-1269.5966010842621,
2021-10-14 04:00:00,-1308.831569942202,
2021-10-14 06:00:00,-1235.0401605185107,
2021-10-14 08:00:00,-1195.4205217749259,
2021-10-14 10:30:00,-1143.8677762241277,
2021-10-14 11:00:00,-1143.8677762241277,
2021-10-14 23:59:59,-1116.845777057144,c
2021-10-15 00:00:00,-1188.1964133860001,
2021-10-15 03:30:00,-1131.3811313725073,
2021-10-15 04:00:00,-1052.205666467089,
2021-10-15 06:00:00,-1021.3471037426316,
2021-10-15 08:00:00,-1010.7334352951675,
2021-10-15 10:30:00,-1020.4352065330804,
2021-10-15 11:00:00,-1020.4352065330804,
2021-10-15 23:59:59,-884.9562089883639,w
2021-10-18 00:00:00,-938.4691688257244,
2021-10-18 03:30:00,-857.389444222179,
2021-10-18 04:00:00,-750.5031527996925,
2021-10-18 06:00:00,-712.2048850799893,
2021-10-18 08:00:00,-773.1014027570236,
2021-10-18 10:30:00,-753.613886748315,
2021-10-18 11:00:00,-753.613886748315,
2021-10-18 23:59:59,-715.4984298696781,c
2021-10-19 00:00:00,-724.4136898418546,
2021-10-19 03:30:00,-693.8331484973387,
2021-10-19 04:00:00,-738.7564991887248,
2021-10-19 06:00:00,-739.7346066769533,
2021-10-19 08:00:00,-731.5136170676997,
2021-10-19 10:30:00,-738.8744931483379,
2021-10-19 11:00:00,-738.8744931483379,
2021-10-19 23:59:59,-706.5760238607836,c
2021-10-20 00:00:00,-706.5760238607836,
2021-10-20 03:30:00,-763.7337258965272,
2021-10-20 04:00:00,-821.7825549296049,
2021-10-20 06:00:00,-689.01022706609,
2021-10-20 08:00:00,-756.4807522620613,
2021-10-20 10:30:00,-723.7177713334167,
2021-10-20 11:00:00,-723.7177713334167,
2021-10-20 23:59:59,-688.7383578797144,c
2021-10-21 00:00:00,-751.1701888134703,
2021-10-21 03:30:00,-750.4645186222242,
2021-10-21 04:00:00,-669.5570663371636,
2021-10-21 06:00:00,-569.1385040897112,
2021-10-21 08:00:00,-576.5918365212892,
2021-10-21 10:30:00,-592.6333573189659,
2021-10-21 11:00:00,-592.6333573189659,
2021-10-21 23:59:59,-581.7123619932736,c
2021-10-22 00:00:00,-599.5453956063138,
2021-10-22 03:30:00,-568.137550561738,
2021-10-22 04:00:00,-473.9548143127631,
2021-10-22 06:00:00,-396.71982078610745,
2021-10-22 08:00:00,-463.5920978644044,
2021-10-22 10:30:00,-598.713242872238,
2021-10-22 11:00:00,-598.713242872238,
2021-10-22 23:59:59,-733.3279563898996,w
2021-10-25 00:00:00,-724.4067738549365,
2021-10-25 03:30:00,-553.7248034566328,
2021-10-25 04:00:00,-646.5535200983832,
2021-10-25 06:00:00,-654.9977349911369,
2021-10-25 08:00:00,-618.1776159363908,
2021-10-25 10:30:00,-596.8894896241818,
2021-10-25 11:00:00,-596.8894896241818,
2021-10-25 23:59:59,-546.0299810444558,c
2021-10-26 00:00:00,-546.0257558064586,
2021-10-26 03:30:00,-615.3043108584243,
2021-10-26 04:00:00,-522.1530759169927,
2021-10-26 06:00:00,-454.297322781149,
2021-10-26 08:00:00,-480.1132287829914,
2021-10-26 10:30:00,-454.79664912970657,
2021-10-26 11:00:00,-454.79664912970657,
2021-10-26 23:59:59,-421.1619450340768,c
2021-10-27 00:00:00,-438.9996322872739,
2021-10-27 03:30:00,-407.43225703210373,
2021-10-27 04:00:00,-272.3843696821659,
2021-10-27 06:00:00,-267.5741810889558,
2021-10-27 08:00:00,-308.1219652379823,
2021-10-27 10:30:00,-178.33665729378663,
2021-10-27 11:00:00,-178.33665729378663,
2021-10-27 23:59:59,-135.75894898293882,c
2021-10-28 00:00:00,-100.08199765728023,
2021-10-28 03:30:00,-96.97820876558762,
2021-10-28 04:00:00,-127.96940923785041,
2021-10-28 06:00:00,-293.34031924852025,
2021-10-28 08:00:00,-165.80475732037849,
2021-10-28 10:30:00,-49.31201367394715,
2021-10-28 11:00:00,-49.31201367394715,
2021-10-28 23:59:59,-144.67622289306019,c
2021-10-29 00:00:00,-144.67622289306019,
2021-10-29 03:30:00,-44.96960690014021,
2021-10-29 04:00:00,-25.718251174077523,
2021-10-29 06:00:00,566.165243515361,
2021-10-29 08:00:00,554.9757980189843,
2021-10-29 10:30:00,117.9430840167879,
2021-10-29 11:00:00,117.9430840167879,
2021-10-29 23:59:59,207.94545353553985,w
2021-11-01 00:00:00,207.94545353553985,
2021-11-01 03:30:00,207.94545353553985,
2021-11-01 04:00:00,207.94545353553985,
2021-11-01 06:00:00,207.94545353553985,
2021-11-01 08:00:00,207.94545353553985,
2021-11-01 10:30:00,207.94545353553985,
2021-11-01 11:00:00,207.94545353553985,
2021-11-01 23:59:59,207.94545353553985,c
2021-11-02 00:00:00,271.2365236637488,
2021-11-02 03:30:00,271.2365236637488,
2021-11-02 04:00:00,271.2365236637488,
2021-11-02 06:00:00,347.59773498157483,
2021-11-02 08:00:00,425.86088916605877,
2021-11-02 10:30:00,192.2375536999516,
2021-11-02 11:00:00,154.3339549209286,
2021-11-02 23:59:59,54.238568938464596,c
2021-11-03 00:00:00,415.9018268139498,
2021-11-03 03:30:00,415.9018268139498,
2021-11-03 04:00:00,415.9018268139498,
2021-11-03 06:00:00,-59.33633185235158,
2021-11-03 08:00:00,-65.80587996099894,
2021-11-03 10:30:00,19.78084455107819,
2021-11-03 11:00:00,145.8886893289946,
2021-11-03 23:59:59,-479.21473642787714,c
2021-11-04 00:00:00,-524.4226436623121,
2021-11-04 03:30:00,-524.4226436623121,
2021-11-04 04:00:00,-524.4226436623121,
2021-11-04 06:00:00,-110.10617530674062,
2021-11-04 08:00:00,334.00302440026826,
2021-11-04 10:30:00,244.32067621922943,
2021-11-04 11:00:00,206.67849259878494,
2021-11-04 23:59:59,307.40284945129497,c
2021-11-05 00:00:00,352.612756312039,
2021-11-05 03:30:00,352.612756312039,
2021-11-05 04:00:00,352.612756312039,
2021-11-05 06:00:00,492.2693806346815,
2021-11-05 08:00:00,309.91106542358284,
2021-11-05 10:30:00,450.8006479841424,
2021-11-05 11:00:00,439.2955916699939,
2021-11-05 23:59:59,298.3632571523158,w
2021-11-08 00:00:00,361.65850218731794,
2021-11-08 03:30:00,317.87535740806015,
2021-11-08 04:00:00,425.87131535630397,
2021-11-08 06:00:00,455.6240870172769,
2021-11-08 08:00:00,417.475737888637,
2021-11-08 10:30:00,350.03431665065,
2021-11-08 11:00:00,350.03431665065,
2021-11-08 23:59:59,397.82484948989804,c
2021-11-09 00:00:00,307.40944511325506,
2021-11-09 03:30:00,292.05507898642827,
2021-11-09 04:00:00,338.45043222159984,
2021-11-09 06:00:00,304.6765838325555,
2021-11-09 08:00:00,308.8899758400312,
2021-11-09 10:30:00,88.3694450552066,
2021-11-09 11:00:00,88.3694450552066,
2021-11-09 23:59:59,45.20341536915112,c
2021-11-10 00:00:00,-99.45750452080756,
2021-11-10 03:30:00,130.6516583552784,
2021-11-10 04:00:00,27.077806044384488,
2021-11-10 06:00:00,-109.54261018909529,
2021-11-10 08:00:00,-221.52311939808897,
2021-11-10 10:30:00,-201.57995228449363,
2021-11-10 11:00:00,-201.57995228449363,
2021-11-10 23:59:59,0.0,c
2021-11-11 00:00:00,0.0,
2021-11-11 03:30:00,0.0,
2021-11-11 04:00:00,0.0,
2021-11-11 06:00:00,0.0,
2021-11-11 08:00:00,0.0,
2021-11-11 10:30:00,0.0,
2021-11-11 11:00:00,0.0,
2021-11-11 23:59:59,0.0,a
2021-11-12 00:00:00,162.75,
2021-11-12 03:30:00,97.82975210644145,
2021-11-12 04:00:00,110.2964813201852,
2021-11-12 06:00:00,207.84156839934985,
2021-11-12 08:00:00,136.70012720356135,
2021-11-12 10:30:00,240.3954745765277,
2021-11-12 11:00:00,240.3954745765277,
2021-11-12 23:59:59,162.75000000000728,w
2021-11-15 00:00:00,108.50090351527797,
2021-11-15 03:30:00,315.45047974140107,
2021-11-15 04:00:00,275.82336695267077,
2021-11-15 06:00:00,478.53135467018365,
2021-11-15 08:00:00,351.1267586104386,
2021-11-15 10:30:00,317.2748323996457,
2021-11-15 11:00:00,317.2748323996457,
2021-11-15 23:59:59,361.66550575000474,c
2021-11-16 00:00:00,379.7508058484036,
2021-11-16 03:30:00,526.5244629387525,
2021-11-16 04:00:00,404.96778321544116,
2021-11-16 06:00:00,172.1375221621529,
2021-11-16 08:00:00,92.69179528712084,
2021-11-16 10:30:00,196.53572480423645,
2021-11-16 11:00:00,196.53572480423645,
2021-11-16 23:59:59,298.37645284088285,c
0,298.37645284088285,
0,298.37645284088285,
0,298.37645284088285,
0,298.37645284088285,
0,298.37645284088285,
0,298.37645284088285,
0,298.37645284088285,
0,298.37645284088285,
0,298.37645284088285,
0,298.37645284088285,
0,298.37645284088285,
0,298.37645284088285,
0,298.37645284088285,
0,298.37645284088285,
0,298.37645284088285,
0,298.37645284088285,
0,298.37645284088285,
0,298.37645284088285,
0,298.37645284088285,
0,298.37645284088285,
0,298.37645284088285,
0,298.37645284088285,
0,298.37645284088285,
0,298.37645284088285,
2021-11-17 00:00:00,307.41804761949606,
2021-11-17 03:30:00,193.58467188784562,
2021-11-17 04:00:00,351.14984158256266,
