date,PAR_MIGRATION_20210607,meta
2021-04-23 00:00:00,-422.0583959229495,
2021-04-23 10:00:00,-459.6386033362434,
2021-04-23 10:30:00,-456.4636865075308,
2021-04-23 12:00:00,-436.390896912416,
2021-04-23 13:30:00,-438.44851135112305,
2021-04-23 15:00:00,-441.039770570853,
2021-04-23 15:30:30,-441.039770570853,p
2021-04-23 23:59:59,-442.49249532545394,w
2021-04-26 00:00:00,-450.1308774015428,
2021-04-26 10:00:00,-418.3620889123352,
2021-04-26 10:30:00,-406.4247794889279,
2021-04-26 12:00:00,-435.03177280472954,
2021-04-26 13:30:00,-435.8780223567452,
2021-04-26 15:00:00,-446.39916353455357,
2021-04-26 15:30:30,-446.39916353455357,
2021-04-26 23:59:59,-451.90181661757435,c
2021-04-27 00:00:00,-463.12569902667707,
2021-04-27 10:00:00,-486.52408317192106,
2021-04-27 10:30:00,-481.0213201763343,
2021-04-27 12:00:00,-483.2829172933254,
2021-04-27 13:30:00,-485.74745589402204,
2021-04-27 15:00:00,-493.02138470391714,
2021-04-27 15:30:30,-493.02138470391714,
2021-04-27 23:59:59,-499.4487489703591,c
2021-04-28 00:00:00,-500.346423403451,
2021-04-28 10:00:00,-459.0258966434575,
2021-04-28 10:30:00,-465.2682392590445,
2021-04-28 12:00:00,-460.326796017274,
2021-04-28 13:30:00,-462.6585183798291,
2021-04-28 15:00:00,-466.7668241731381,
2021-04-28 15:30:30,-466.7668241731381,
2021-04-28 23:59:59,-471.59141357127754,c
2021-04-29 00:00:00,-482.9303135724246,
2021-04-29 10:00:00,-464.6345528827771,
2021-04-29 10:30:00,-450.40527245379917,
2021-04-29 12:00:00,-424.91951301621344,
2021-04-29 13:30:00,-406.6462334639406,
2021-04-29 15:00:00,-422.80877805343033,
2021-04-29 15:30:30,-422.80877805343033,
2021-04-29 23:59:59,-421.88149913782263,c
2021-04-30 00:00:00,-424.7225755095773,
2021-04-30 10:00:00,-424.6930837007031,
2021-04-30 10:30:00,-438.9031680185149,
2021-04-30 12:00:00,-404.98429458778423,
2021-04-30 13:30:00,-402.7243034185901,
2021-04-30 15:00:00,-391.46980106437695,
2021-04-30 15:30:30,-391.46980106437695,
2021-04-30 23:59:59,-414.58479533308065,w
2021-05-03 00:00:00,-433.1029238274181,
2021-05-03 10:00:00,-404.9562717694998,
2021-05-03 10:30:00,-404.5197918277079,
2021-05-03 12:00:00,-395.1078939205658,
2021-05-03 13:30:00,-376.9836049369626,
2021-05-03 15:00:00,-357.2656295446615,
2021-05-03 15:30:30,-357.2656295446615,
2021-05-03 23:59:59,-354.4461402606306,c
2021-05-04 00:00:00,-319.42617736319795,
2021-05-04 10:00:00,-302.21095151155845,
2021-05-04 10:30:00,-336.6232040736008,
2021-05-04 12:00:00,-292.0579850763308,
2021-05-04 13:30:00,-310.4467779092776,
2021-05-04 15:00:00,-313.7594810202779,
2021-05-04 15:30:30,-313.7594810202779,
2021-05-04 23:59:59,-334.4239441457999,c
2021-05-05 00:00:00,-380.7796018718096,
2021-05-05 10:00:00,-358.509830761264,
2021-05-05 10:30:00,-343.19407633292445,
2021-05-05 12:00:00,-356.73546814424265,
2021-05-05 13:30:00,-348.9262147620729,
2021-05-05 15:00:00,-345.0432003470804,
2021-05-05 15:30:30,-345.0432003470804,p
2021-05-05 23:59:59,-336.59324998532963,c
2021-05-06 00:00:00,-318.3818308426669,
2021-05-06 10:00:00,-315.27553065735697,
2021-05-06 10:30:00,-297.90523280195,
2021-05-06 12:00:00,-263.9851513159067,
2021-05-06 13:30:00,-261.71089131147767,
2021-05-06 15:00:00,-244.28894443543345,
2021-05-06 15:30:30,-244.28894443543345,
2021-05-06 23:59:59,-255.49243879489183,c
2021-05-07 00:00:00,-260.38026355707217,
2021-05-07 10:00:00,-233.3168416500527,
2021-05-07 10:30:00,-238.22002147641666,
2021-05-07 12:00:00,-239.97698479772941,
2021-05-07 13:30:00,-262.4018326469586,
2021-05-07 15:00:00,-261.76154179757066,
2021-05-07 15:30:30,-261.76154179757066,p
2021-05-07 23:59:59,-265.08340246193035,w
2021-05-10 00:00:00,-272.32608725185446,
2021-05-10 10:00:00,-282.7821133568379,
2021-05-10 10:30:00,-269.8682818320807,
2021-05-10 12:00:00,-249.7629812060633,
2021-05-10 13:30:00,-258.8440557593676,
2021-05-10 15:00:00,-246.54682319941855,
2021-05-10 15:30:30,-246.54682319941855,
2021-05-10 23:59:59,-229.60414439386912,c
2021-05-11 00:00:00,-214.62141715500252,
2021-05-11 10:00:00,-244.51880586807025,
2021-05-11 10:30:00,-206.39209313969133,
2021-05-11 12:00:00,-213.76159617665942,
2021-05-11 13:30:00,-212.16165025052658,
2021-05-11 15:00:00,-185.62779802960662,
2021-05-11 15:30:30,-185.62779802960662,
2021-05-11 23:59:59,-186.71235917258483,c
2021-05-12 00:00:00,-200.66748571143208,
2021-05-12 10:00:00,-196.30996599934448,
2021-05-12 10:30:00,-196.17093108745559,
2021-05-12 12:00:00,-157.37403694138956,
2021-05-12 13:30:00,-174.91908981418922,
2021-05-12 15:00:00,-154.52951332388642,
2021-05-12 15:30:30,-154.52951332388642,
2021-05-12 23:59:59,-156.05270168143883,c
2021-05-13 00:00:00,-174.84593280207542,
2021-05-13 10:00:00,-209.54000211578042,
2021-05-13 10:30:00,-190.9293890053705,
2021-05-13 12:00:00,-197.69411376816385,
2021-05-13 13:30:00,-206.65645547191284,
2021-05-13 15:00:00,-218.09720254923698,
2021-05-13 15:30:30,-218.09720254923698,u
2021-05-13 23:59:59,-242.0719163640294,c
2021-05-14 00:00:00,-244.49871500007887,
2021-05-14 10:00:00,-259.263461637605,
2021-05-14 10:30:00,-250.62209419059312,
2021-05-14 12:00:00,-240.84470500138218,
2021-05-14 13:30:00,-226.884661097755,
2021-05-14 15:00:00,-237.50668075382782,
2021-05-14 15:30:30,-237.50668075382782,
2021-05-14 23:59:59,-228.4496119927106,w
2021-05-17 00:00:00,-226.3036505887977,
2021-05-17 10:00:00,-182.67985862334052,
2021-05-17 10:30:00,-179.85793074013168,
2021-05-17 12:00:00,-164.3356207086072,
2021-05-17 13:30:00,-175.1127085303804,
2021-05-17 15:00:00,-191.32883172695438,
2021-05-17 15:30:30,-191.32883172695438,
2021-05-17 23:59:59,-200.7692440798571,c
2021-05-18 00:00:00,-191.99926477644192,
2021-05-18 10:00:00,-183.60578492883158,
2021-05-18 10:30:00,-162.7713162976681,
2021-05-18 12:00:00,-159.61802539834326,
2021-05-18 13:30:00,-163.38777771943413,
2021-05-18 15:00:00,-154.8469294417607,
2021-05-18 15:30:30,-154.8469294417607,
2021-05-18 23:59:59,-148.4397887712154,c
2021-05-19 00:00:00,-116.08945972351559,
2021-05-19 10:00:00,-106.45168838634144,
2021-05-19 10:30:00,-93.37576044065932,
2021-05-19 12:00:00,-64.34075339126423,
2021-05-19 13:30:00,-61.362238701397466,
2021-05-19 15:00:00,-59.74172088214533,
2021-05-19 15:30:30,-59.74172088214533,
2021-05-19 23:59:59,-62.821241876534316,c
2021-05-20 00:00:00,-79.3094139218218,
2021-05-20 10:00:00,-47.74191892186713,
2021-05-20 10:30:00,-45.066061651111106,
2021-05-20 12:00:00,-42.927314705444324,
2021-05-20 13:30:00,-46.2124903719452,
2021-05-20 15:00:00,-40.48918274331621,
2021-05-20 15:30:30,-40.48918274331621,
2021-05-20 23:59:59,-37.027573547299106,c
2021-05-21 00:00:00,-63.257647785385025,
2021-05-21 10:00:00,-70.00086293227383,
2021-05-21 10:30:00,-59.088987920188906,
2021-05-21 12:00:00,-44.945276713072616,
2021-05-21 13:30:00,-51.62880029909513,
2021-05-21 15:00:00,-50.885534975825436,
2021-05-21 15:30:30,-50.885534975825436,
2021-05-21 23:59:59,-54.282709946546795,w
2021-05-24 00:00:00,-55.01569657455178,
2021-05-24 10:00:00,-63.75727182450397,
2021-05-24 10:30:00,-55.0402439497023,
2021-05-24 12:00:00,-60.98945232947978,
2021-05-24 13:30:00,-63.13652117446593,
2021-05-24 15:00:00,-55.47188345832197,
2021-05-24 15:30:30,-55.47188345832197,
2021-05-24 23:59:59,-51.928163471137744,c
2021-05-25 00:00:00,-53.53304767797478,
2021-05-25 10:00:00,-45.80837795537028,
2021-05-25 10:30:00,-58.31573805209359,
2021-05-25 12:00:00,-70.47842428291736,
2021-05-25 13:30:00,-59.55716293102635,
2021-05-25 15:00:00,-62.58652329430329,
2021-05-25 15:30:30,-62.58652329430329,
2021-05-25 23:59:59,-73.02785208614857,c
2021-05-26 00:00:00,-83.7451805181768,
2021-05-26 10:00:00,-72.70933802742792,
2021-05-26 10:30:00,-85.26287297640849,
2021-05-26 12:00:00,-79.8775135771329,
2021-05-26 13:30:00,-72.67035951253995,
2021-05-26 15:00:00,-64.08678821055645,
2021-05-26 15:30:30,-64.08678821055645,
2021-05-26 23:59:59,-74.84386085149717,c
2021-05-27 00:00:00,-93.01245211672651,
2021-05-27 10:00:00,-112.78518079960108,
2021-05-27 10:30:00,-97.9142193717181,
2021-05-27 12:00:00,-59.67166294130499,
2021-05-27 13:30:00,-60.00435656157683,
2021-05-27 15:00:00,-63.35597196164434,
2021-05-27 15:30:30,-63.35597196164434,m
2021-05-27 23:59:59,-56.41852700522929,c
2021-05-28 00:00:00,-59.238979626023166,
2021-05-28 10:00:00,-23.286747725028853,
2021-05-28 10:30:00,-16.365704175844115,
2021-05-28 12:00:00,-27.92743644412343,
2021-05-28 13:30:00,-37.99221313109726,
2021-05-28 15:00:00,-36.92520305854443,
2021-05-28 15:30:30,-36.92520305854443,
2021-05-28 23:59:59,-39.17960559542368,w
2021-05-31 00:00:00,-39.17960559542368,
2021-05-31 10:00:00,-39.17960559542368,
2021-05-31 10:30:00,-39.17960559542368,
2021-05-31 12:00:00,-39.17960559542368,
2021-05-31 13:30:00,-39.17960559542368,
2021-05-31 15:00:00,-39.17960559542368,
2021-05-31 15:30:30,-39.17960559542368,
2021-05-31 23:59:59,-39.17960559542368,c
2021-06-01 00:00:00,-39.269248567615726,
2021-06-01 10:00:00,-40.393045305169785,
2021-06-01 10:30:00,-49.105609362154865,
2021-06-01 12:00:00,-38.17987943716256,
2021-06-01 13:30:00,-14.422362286790928,
2021-06-01 15:00:00,-19.94868989968208,
2021-06-01 15:30:30,-19.94868989968208,
2021-06-01 23:59:59,-17.06391862222759,c
2021-06-02 00:00:00,-11.990863503130413,
2021-06-02 10:00:00,20.732570012884565,
2021-06-02 10:30:00,20.116382536850494,
2021-06-02 12:00:00,27.12038453011924,
2021-06-02 13:30:00,16.974293519159517,
2021-06-02 15:00:00,17.710899642118108,
2021-06-02 15:30:30,17.710899642118108,
2021-06-02 23:59:59,7.269760180145369,c
2021-06-03 00:00:00,16.85673518257064,
2021-06-03 10:00:00,25.9004926379569,
2021-06-03 10:30:00,30.70994671254041,
2021-06-03 12:00:00,9.692627634225744,
2021-06-03 13:30:00,6.377386728464613,
2021-06-03 15:00:00,4.274323476968164,
2021-06-03 15:30:30,4.274323476968164,
2021-06-03 23:59:59,9.155763449707848,c
2021-06-04 00:00:00,-3.96728862159938,
2021-06-04 10:00:00,-9.845726838185044,
2021-06-04 10:30:00,-15.241212077623999,
2021-06-04 12:00:00,-5.778640794267147,
2021-06-04 13:30:00,-4.662626606236274,
2021-06-04 15:00:00,2.3820076283267326,
2021-06-04 15:30:30,2.3820076283267326,
2021-06-04 23:59:59,0.0,a
2021-06-07 00:00:00,-1.9486402980851096,
2021-06-07 10:00:00,-11.436096919702322,
2021-06-07 10:30:00,-12.216715213240152,
2021-06-07 12:00:00,1.4958674021798115,
2021-06-07 13:30:00,0.3657369864227462,
2021-06-07 15:00:00,5.083372870857262,
2021-06-07 15:30:30,5.083372870857262,
2021-06-07 23:59:59,1.0388225806451317,c
2021-06-08 00:00:00,-9.772208700766953,
2021-06-08 10:00:00,13.721632415074849,
2021-06-08 10:30:00,8.266434801441847,
2021-06-08 12:00:00,18.387321705058287,
2021-06-08 13:30:00,17.196134915544064,
2021-06-08 15:00:00,1.9963285477065256,
2021-06-08 15:30:30,1.9963285477065256,
2021-06-08 23:59:59,7.9292281370194635,c
2021-06-09 00:00:00,-1.3405488171225102,
2021-06-09 10:00:00,11.859904587787256,
2021-06-09 10:30:00,15.448335421134503,
2021-06-09 12:00:00,-10.372138269119857,
2021-06-09 13:30:00,-17.903013843131163,
2021-06-09 15:00:00,-30.96157901552669,
2021-06-09 15:30:30,-30.96157901552669,
2021-06-09 23:59:59,-22.420417378533784,c
2021-06-10 00:00:00,-33.21571548803263,
2021-06-10 10:00:00,-20.402107801532797,
2021-06-10 10:30:00,-30.86967317669712,
2021-06-10 12:00:00,-5.295813076760852,
2021-06-10 13:30:00,3.3824530170115565,
2021-06-10 15:00:00,4.210300262596518,
2021-06-10 15:30:30,4.210300262596518,
2021-06-10 23:59:59,6.245475742410092,c
2021-06-11 00:00:00,-2.657215728712345,
2021-06-11 10:00:00,-27.70279855579392,
2021-06-11 10:30:00,-9.924408760705404,
2021-06-11 12:00:00,5.303324285287374,
2021-06-11 13:30:00,2.680464411437896,
2021-06-11 15:00:00,1.0259710284251753,
