date,AS_JETS_2022_Q3,meta
2022-08-05 00:00:00,173.5708604563897,
2022-08-05 01:00:00,169.54290222955024,
2022-08-05 02:30:00,175.68939343149486,
2022-08-05 03:00:00,172.58656062855698,
2022-08-05 18:30:00,172.58656062855698,
2022-08-05 20:00:00,172.58656062855698,
2022-08-05 23:00:00,172.58656062855698,
2022-08-05 23:59:59,156.65496728433936,w
2022-08-08 00:00:00,73.0311551003424,
2022-08-08 01:00:00,58.269274381111245,
2022-08-08 02:30:00,84.80830329678338,
2022-08-08 03:00:00,94.1290916784219,
2022-08-08 18:30:00,94.1290916784219,
2022-08-08 20:00:00,94.1290916784219,
2022-08-08 23:00:00,48.74501667817003,
2022-08-08 23:59:59,34.173184184249294,c
2022-08-09 00:00:00,30.904406769529487,
2022-08-09 01:00:00,33.118748790406244,
2022-08-09 02:30:00,56.95403326514861,
2022-08-09 03:00:00,56.95403326514861,
2022-08-09 18:30:00,56.95403326514861,
2022-08-09 20:00:00,56.95403326514861,
2022-08-09 23:00:00,39.05954971481697,
2022-08-09 23:59:59,-10.261592762607506,c
2022-08-10 00:00:00,-9.549839242848975,
2022-08-10 01:00:00,-13.973330363096466,
2022-08-10 02:30:00,30.218432668169953,
2022-08-10 03:00:00,20.1024878180433,
2022-08-10 18:30:00,20.1024878180433,
2022-08-10 20:00:00,20.1024878180433,
2022-08-10 23:00:00,-4.096136089261563,
2022-08-10 23:59:59,-3.9725053936035692,c
2022-08-11 00:00:00,-13.367042271884202,
2022-08-11 01:00:00,-13.367042271884202,
2022-08-11 02:30:00,-62.580174122447715,
2022-08-11 03:00:00,-25.488805231289007,
2022-08-11 18:30:00,-25.488805231289007,
2022-08-11 20:00:00,-25.488805231289007,
2022-08-11 23:00:00,121.64592406426254,
2022-08-11 23:59:59,133.6616419635393,c
2022-08-12 00:00:00,111.51903312807735,
2022-08-12 01:00:00,108.59622500167552,
2022-08-12 02:30:00,113.60220553654926,
2022-08-12 03:00:00,121.105793425294,
2022-08-12 18:30:00,121.105793425294,
2022-08-12 20:00:00,121.105793425294,
2022-08-12 23:00:00,121.105793425294,
2022-08-12 23:59:59,128.3342512133322,w
2022-08-15 00:00:00,127.79586171448045,
2022-08-15 01:00:00,110.11607496143824,
2022-08-15 02:30:00,103.45503703511167,
2022-08-15 03:00:00,103.35518537242024,
2022-08-15 18:30:00,103.35518537242024,
2022-08-15 20:00:00,103.35518537242024,
2022-08-15 23:00:00,-47.848619745060205,
2022-08-15 23:59:59,-66.52268932894731,c
2022-08-16 00:00:00,-89.6285018620556,
2022-08-16 01:00:00,-87.28552568329269,
2022-08-16 02:30:00,-69.10073200686475,
2022-08-16 03:00:00,-90.18621657399854,
2022-08-16 18:30:00,-90.18621657399854,
2022-08-16 20:00:00,-90.18621657399854,
2022-08-16 23:00:00,-153.30952287477157,
2022-08-16 23:59:59,-99.85902889345925,c
2022-08-17 00:00:00,-89.17701313271755,
2022-08-17 01:00:00,-79.40528792619807,
2022-08-17 02:30:00,-79.87443737737067,
2022-08-17 03:00:00,-76.44455735472638,
2022-08-17 18:30:00,-76.44455735472638,
2022-08-17 20:00:00,-76.44455735472638,
2022-08-17 23:00:00,-81.5705367851715,
2022-08-17 23:59:59,-99.47179502013569,c
2022-08-18 00:00:00,-86.64642915166405,
2022-08-18 01:00:00,-78.20822628680071,
2022-08-18 02:30:00,-74.05905811979574,
2022-08-18 03:00:00,-67.96985040783966,
2022-08-18 18:30:00,-67.96985040783966,
2022-08-18 20:00:00,-67.96985040783966,
