date,XBI_WW_2021_Q1,meta
2021-02-19 00:00:00,-56.42932008000156,
2021-02-19 10:00:00,-58.132900851769136,
2021-02-19 10:30:00,-51.30244363386265,
2021-02-19 12:00:00,-32.16719038609125,
2021-02-19 13:30:00,-45.42405992130773,
2021-02-19 15:00:00,-53.905693678741386,
2021-02-19 15:30:30,-53.905693678741386,
2021-02-19 23:59:59,-46.340387035556944,w
2021-02-22 00:00:00,-26.877613805568842,
2021-02-22 10:00:00,-65.00242897784068,
2021-02-22 10:30:00,-54.903813531637184,
2021-02-22 12:00:00,-26.349240151367837,
2021-02-22 13:30:00,-28.26663039377968,
2021-02-22 15:00:00,-22.334584569507,
2021-02-22 15:30:30,-22.334584569507,
2021-02-22 23:59:59,-45.61097181455358,c
2021-02-23 00:00:00,-40.22150115532361,
2021-02-23 10:00:00,-131.28280661416207,
2021-02-23 10:30:00,-129.56034196536032,
2021-02-23 12:00:00,-112.4911787040875,
2021-02-23 13:30:00,-120.29401054847804,
2021-02-23 15:00:00,-146.7170884656082,
2021-02-23 15:30:30,-146.7170884656082,
2021-02-23 23:59:59,-148.80789282975834,c
2021-02-24 00:00:00,-104.11041003401868,
2021-02-24 10:00:00,-101.80703973998865,
2021-02-24 10:30:00,-89.16598485565879,
2021-02-24 12:00:00,-69.74534890437269,
2021-02-24 13:30:00,-53.97311931580305,
2021-02-24 15:00:00,-59.30602596880493,
2021-02-24 15:30:30,-59.30602596880493,
2021-02-24 23:59:59,-82.55453288068765,c
2021-02-25 00:00:00,-62.132367159380806,
2021-02-25 10:00:00,-84.83957309523731,
2021-02-25 10:30:00,-65.1333838492273,
2021-02-25 12:00:00,-56.336840743026585,
2021-02-25 13:30:00,-54.34637650037865,
2021-02-25 15:00:00,-45.3344100355888,
2021-02-25 15:30:30,-45.3344100355888,
2021-02-25 23:59:59,-52.35322106754114,c
2021-02-26 00:00:00,-55.29369852803376,
2021-02-26 10:00:00,-39.22028515735707,
2021-02-26 10:30:00,-93.7062629145205,
2021-02-26 12:00:00,-103.06099902978897,
2021-02-26 13:30:00,-87.92918418559918,
2021-02-26 15:00:00,-96.1236317306421,
2021-02-26 15:30:30,-96.1236317306421,s
2021-02-26 23:59:59,-89.58608751566118,w
2021-03-01 00:00:00,-191.6712721433826,
2021-03-01 10:00:00,-164.03427951598854,
2021-03-01 10:30:00,-170.20176299328176,
2021-03-01 12:00:00,-196.0891986846027,
2021-03-01 13:30:00,-204.26079706841617,
2021-03-01 15:00:00,-228.46245135552783,
2021-03-01 15:30:30,-228.46245135552783,
2021-03-01 23:59:59,-233.47235799815138,c
2021-03-02 00:00:00,-187.01928987797328,
2021-03-02 10:00:00,-188.18252424657834,
