date,MSCI_US_STAY_HEDGED_2021_Q2,meta
2021-04-27 15:00:00,100.03263015046696,
2021-04-27 15:30:30,100.03263015046696,
2021-04-27 23:59:59,96.51277509053637,c
2021-04-28 00:00:00,82.67762529470554,
2021-04-28 10:00:00,78.35745959604469,
2021-04-28 10:30:00,85.94879450567475,
2021-04-28 12:00:00,91.74090875481545,
2021-04-28 13:30:00,90.39166167418409,
2021-04-28 15:00:00,94.07434092882397,
2021-04-28 15:30:30,94.07434092882397,
2021-04-28 23:59:59,95.59603837022473,c
2021-04-29 00:00:00,81.55425874852438,
2021-04-29 10:00:00,88.08933117926767,
2021-04-29 10:30:00,83.21987231635023,
2021-04-29 12:00:00,66.87901741425026,
2021-04-29 13:30:00,69.97578351696325,
2021-04-29 15:00:00,68.3177872804506,
2021-04-29 15:30:30,68.3177872804506,
2021-04-29 23:59:59,70.38704483851564,c
2021-04-30 00:00:00,60.719169844194425,
2021-04-30 10:00:00,64.62584664072199,
2021-04-30 10:30:00,67.85056191015144,
2021-04-30 12:00:00,69.72991855794749,
2021-04-30 13:30:00,68.77212935626994,
2021-04-30 15:00:00,63.49815289233038,
2021-04-30 15:30:30,63.49815289233038,
2021-04-30 23:59:59,67.53720634591673,w
2021-05-03 00:00:00,70.1121933596786,
2021-05-03 10:00:00,60.038128963673785,
2021-05-03 10:30:00,66.3844688073541,
2021-05-03 12:00:00,61.55373465964499,
2021-05-03 13:30:00,61.80006183539888,
2021-05-03 15:00:00,57.81928740621265,
2021-05-03 15:30:30,57.81928740621265,
2021-05-03 23:59:59,54.864927926514156,c
2021-05-04 00:00:00,48.645460887417244,
2021-05-04 10:00:00,37.07575931530425,
2021-05-04 10:30:00,41.66585770641825,
2021-05-04 12:00:00,24.14422168339479,
2021-05-04 13:30:00,28.192770143314874,
2021-05-04 15:00:00,28.787505445775537,
2021-05-04 15:30:30,28.787505445775537,
2021-05-04 23:59:59,35.268221999525394,c
2021-05-05 00:00:00,41.03442812133471,
2021-05-05 10:00:00,26.982119355624377,
2021-05-05 10:30:00,27.18496304202972,
2021-05-05 12:00:00,27.776819234133086,
2021-05-05 13:30:00,25.233169763833075,
2021-05-05 15:00:00,19.782854824134006,
2021-05-05 15:30:30,19.782854824134006,
2021-05-05 23:59:59,18.710457912990137,c
2021-05-06 00:00:00,-2.8580138711191694,
2021-05-06 10:00:00,-6.831176882966702,
2021-05-06 10:30:00,-9.523455778279413,
2021-05-06 12:00:00,-4.1330833070668405,
2021-05-06 13:30:00,-6.9707606422173285,
2021-05-06 15:00:00,-11.41339563856718,
2021-05-06 15:30:30,-11.41339563856718,
2021-05-06 23:59:59,-2.7279347634388387,c
2021-05-07 00:00:00,10.055637199827174,
2021-05-07 10:00:00,11.778236292700399,
2021-05-07 10:30:00,10.672130671221225,
2021-05-07 12:00:00,10.536885713006882,
2021-05-07 13:30:00,2.906607912948175,
2021-05-07 15:00:00,1.11953828369235,
2021-05-07 15:30:30,1.11953828369235,
2021-05-07 23:59:59,2.7641599942381845,w
2021-05-10 00:00:00,6.433630823690919,
2021-05-10 10:00:00,-7.05377406750199,
2021-05-10 10:30:00,-5.368329681164596,
2021-05-10 12:00:00,-10.297448565205286,
2021-05-10 13:30:00,-9.271073573176068,
2021-05-10 15:00:00,-10.128310889332738,
2021-05-10 15:30:30,-10.128310889332738,
2021-05-10 23:59:59,-13.519295691448747,c
2021-05-11 00:00:00,-22.597608845168452,
2021-05-11 10:00:00,-6.589742016978676,
2021-05-11 10:30:00,-10.248587507410889,
2021-05-11 12:00:00,4.918641716763432,
2021-05-11 13:30:00,5.435862811698371,
2021-05-11 15:00:00,0.15376110515148866,
2021-05-11 15:30:30,0.15376110515148866,
2021-05-11 23:59:59,0.0,a
2021-05-12 00:00:00,-6.244243409826595,
2021-05-12 10:00:00,-2.5794892998864043,
2021-05-12 10:30:00,-4.950615120863745,
2021-05-12 12:00:00,-12.883157156708307,
2021-05-12 13:30:00,-3.570591228599369,
2021-05-12 15:00:00,-5.6983449444334155,
2021-05-12 15:30:30,-5.6983449444334155,
2021-05-12 23:59:59,-8.560397805212574,c
2021-05-13 00:00:00,-8.508048025867538,
2021-05-13 10:00:00,-6.975053118529445,
2021-05-13 10:30:00,-3.6161913552998612,
2021-05-13 12:00:00,-19.632311343678225,
2021-05-13 13:30:00,-21.28832686516239,
2021-05-13 15:00:00,-20.954356126827747,
2021-05-13 15:30:30,-20.954356126827747,u
2021-05-13 23:59:59,-19.030117812133767,c
2021-05-14 00:00:00,-13.31813704219951,
2021-05-14 10:00:00,-0.5448145610045003,
2021-05-14 10:30:00,9.582356426771526,
2021-05-14 12:00:00,6.066328726648749,
2021-05-14 13:30:00,4.89150402412406,
2021-05-14 15:00:00,8.497543997927323,
2021-05-14 15:30:30,8.497543997927323,
2021-05-14 23:59:59,7.894591272765183,w
0,7.894591272765183,
0,7.894591272765183,
0,7.894591272765183,
0,7.894591272765183,
0,7.894591272765183,
0,7.894591272765183,
0,7.894591272765183,
0,7.894591272765183,
0,7.894591272765183,
0,7.894591272765183,
0,7.894591272765183,
0,7.894591272765183,
0,7.894591272765183,
0,7.894591272765183,
0,7.894591272765183,
0,7.894591272765183,
0,7.894591272765183,
0,7.894591272765183,
0,7.894591272765183,
0,7.894591272765183,
0,7.894591272765183,
0,7.894591272765183,
0,7.894591272765183,
0,7.894591272765183,
0,7.894591272765183,
0,7.894591272765183,
0,7.894591272765183,
0,7.894591272765183,
0,7.894591272765183,
0,7.894591272765183,
0,7.894591272765183,
0,7.894591272765183,
2021-05-17 00:00:00,2.307372880718617,
2021-05-17 10:00:00,5.177625232685614,
2021-05-17 10:30:00,-1.4228500300654332,
2021-05-17 12:00:00,0.5748448994122555,
2021-05-17 13:30:00,0.4776836930478794,
2021-05-17 15:00:00,6.0032196643519455,
2021-05-17 15:30:30,6.0032196643519455,
2021-05-17 23:59:59,8.4113219339024,c
2021-05-18 00:00:00,24.434898560932538,
2021-05-18 10:00:00,29.130554520997975,
2021-05-18 10:30:00,34.672538009947516,
2021-05-18 12:00:00,28.91424649615351,
2021-05-18 13:30:00,29.362284824720632,
2021-05-18 15:00:00,26.640415932070027,
2021-05-18 15:30:30,26.640415932070027,
2021-05-18 23:59:59,23.56242101224359,c
2021-05-19 00:00:00,9.491887223800745,
2021-05-19 10:00:00,13.853449762280434,
2021-05-19 10:30:00,17.910267750624143,
2021-05-19 12:00:00,13.00975050739953,
2021-05-19 13:30:00,19.91732893728181,
2021-05-19 15:00:00,14.282752444635435,
2021-05-19 15:30:30,14.282752444635435,
2021-05-19 23:59:59,15.123144158917285,c
2021-05-20 00:00:00,11.782518425889634,
2021-05-20 10:00:00,28.237805759443972,
2021-05-20 10:30:00,30.768442582965577,
2021-05-20 12:00:00,32.31958144444661,
2021-05-20 13:30:00,34.8066774718867,
2021-05-20 15:00:00,31.705904193227866,
2021-05-20 15:30:30,31.705904193227866,
2021-05-20 23:59:59,33.27390526766726,c
2021-05-21 00:00:00,42.49983832736484,
2021-05-21 10:00:00,41.360281349955244,
2021-05-21 10:30:00,36.866002752728605,
2021-05-21 12:00:00,31.883365963259166,
2021-05-21 13:30:00,33.47542887576731,
2021-05-21 15:00:00,32.664773349509346,
2021-05-21 15:30:30,32.664773349509346,
2021-05-21 23:59:59,32.12618923725336,w
2021-05-24 00:00:00,26.190836168383612,
2021-05-24 10:00:00,35.10807692933315,
2021-05-24 10:30:00,30.010585180647695,
2021-05-24 12:00:00,29.830790244815148,
2021-05-24 13:30:00,32.06670768538049,
2021-05-24 15:00:00,32.17559381842773,
2021-05-24 15:30:30,32.17559381842773,
2021-05-24 23:59:59,33.21584540282265,c
2021-05-25 00:00:00,35.69835166895098,
2021-05-25 10:00:00,37.05099235215562,
2021-05-25 10:30:00,43.97157423709075,
2021-05-25 12:00:00,47.77637018356222,
2021-05-25 13:30:00,45.350240831024394,
2021-05-25 15:00:00,43.222386492137616,
2021-05-25 15:30:30,43.222386492137616,
2021-05-25 23:59:59,42.254643883924246,c
2021-05-26 00:00:00,43.8730066768901,
2021-05-26 10:00:00,51.989950295996664,
2021-05-26 10:30:00,51.63963656519263,
2021-05-26 12:00:00,52.661150203663624,
2021-05-26 13:30:00,54.00878824220922,
2021-05-26 15:00:00,57.13917343764069,
2021-05-26 15:30:30,57.13917343764069,
2021-05-26 23:59:59,56.27971367880559,c
2021-05-27 00:00:00,68.15661531468561,
2021-05-27 10:00:00,59.53103949084618,
2021-05-27 10:30:00,60.945283294288174,
2021-05-27 12:00:00,61.07944128661654,
2021-05-27 13:30:00,67.15028042230256,
2021-05-27 15:00:00,65.32060266947474,
2021-05-27 15:30:30,65.32060266947474,
2021-05-27 23:59:59,58.43615378398147,e
2021-05-28 00:00:00,64.81602828562666,
2021-05-28 10:00:00,70.81704537844394,
2021-05-28 10:30:00,71.55121933046678,
2021-05-28 12:00:00,78.56071027582152,
2021-05-28 13:30:00,79.43258217014488,
2021-05-28 15:00:00,79.30133537533845,
2021-05-28 15:30:30,79.30133537533845,
2021-05-28 23:59:59,79.64564721136185,w
2021-05-31 00:00:00,79.64564721136185,
2021-05-31 10:00:00,79.64564721136185,
2021-05-31 10:30:00,79.64564721136185,
2021-05-31 12:00:00,79.64564721136185,
2021-05-31 13:30:00,79.64564721136185,
2021-05-31 15:00:00,79.64564721136185,
2021-05-31 15:30:30,79.64564721136185,
2021-05-31 23:59:59,79.64564721136185,c
2021-06-01 00:00:00,84.41554296005006,
2021-06-01 10:00:00,80.89591584844675,
2021-06-01 10:30:00,73.69386185604185,
2021-06-01 12:00:00,81.04771866544945,
2021-06-01 13:30:00,84.76339288295628,
2021-06-01 15:00:00,81.1088519319128,
2021-06-01 15:30:30,81.1088519319128,
2021-06-01 23:59:59,83.5864752298528,c
2021-06-02 00:00:00,80.30891641647486,
2021-06-02 10:00:00,77.73551561749355,
2021-06-02 10:30:00,76.48027258885168,
2021-06-02 12:00:00,78.68694458910227,
2021-06-02 13:30:00,76.82297726865909,
2021-06-02 15:00:00,76.57482526956676,
2021-06-02 15:30:30,76.57482526956676,
2021-06-02 23:59:59,77.32062729875827,c
2021-06-03 00:00:00,68.3828060441997,
2021-06-03 10:00:00,69.0427585779828,
2021-06-03 10:30:00,72.82796594399895,
2021-06-03 12:00:00,68.2882321316813,
2021-06-03 13:30:00,67.58993724352058,
2021-06-03 15:00:00,60.262294254488666,
2021-06-03 15:30:30,60.262294254488666,
2021-06-03 23:59:59,58.145433742599494,c
2021-06-04 00:00:00,70.65466848524841,
2021-06-04 10:00:00,71.4381998991247,
2021-06-04 10:30:00,71.38602572325817,
2021-06-04 12:00:00,71.11543349706267,
2021-06-04 13:30:00,73.2850007690962,
2021-06-04 15:00:00,74.60135210133626,
2021-06-04 15:30:30,74.60135210133626,
2021-06-04 23:59:59,78.47120440273534,w
2021-06-07 00:00:00,72.8136635840151,
2021-06-07 10:00:00,80.01106849024416,
2021-06-07 10:30:00,84.39937354979202,
2021-06-07 12:00:00,70.95070263694015,
2021-06-07 13:30:00,59.900265914616284,
2021-06-07 15:00:00,61.845316012859826,
2021-06-07 15:30:30,61.845316012859826,
2021-06-07 23:59:59,59.80154964300834,c
2021-06-08 00:00:00,56.704184318326384,
2021-06-08 10:00:00,50.702024574516145,
2021-06-08 10:30:00,49.416169233347546,
2021-06-08 12:00:00,42.625006446266866,
2021-06-08 13:30:00,45.62804363469536,
2021-06-08 15:00:00,43.231115622706966,
2021-06-08 15:30:30,43.231115622706966,
2021-06-08 23:59:59,41.30763126963211,c
2021-06-09 00:00:00,34.747002307389266,
2021-06-09 10:00:00,38.26853959800121,
2021-06-09 10:30:00,38.913957675698725,
2021-06-09 12:00:00,38.073766890433944,
2021-06-09 13:30:00,45.40514838621448,
2021-06-09 15:00:00,43.38164511760817,
2021-06-09 15:30:30,43.38164511760817,
2021-06-09 23:59:59,40.32458891279896,c
2021-06-10 00:00:00,46.82963890724386,
2021-06-10 10:00:00,41.65653990433543,
2021-06-10 10:30:00,40.427163186622806,
2021-06-10 12:00:00,36.07743890681718,
2021-06-10 13:30:00,40.3476942245419,
2021-06-10 15:00:00,47.60307506471088,
2021-06-10 15:30:30,47.60307506471088,
2021-06-10 23:59:59,43.492210802338604,c
2021-06-11 00:00:00,48.84794438760389,
2021-06-11 10:00:00,49.38364367230611,
2021-06-11 10:30:00,54.264716863494755,
2021-06-11 12:00:00,53.337350456116155,
2021-06-11 13:30:00,56.52671662663806,
2021-06-11 15:00:00,61.18274856052699,
2021-06-11 15:30:30,61.18274856052699,
2021-06-11 23:59:59,62.725483514456414,w
2021-06-14 00:00:00,63.340941869724475,
2021-06-14 10:00:00,56.65569696595071,
2021-06-14 10:30:00,58.84189984801628,
2021-06-14 12:00:00,59.742161354909854,
2021-06-14 13:30:00,60.50338886110046,
2021-06-14 15:00:00,60.873584634623285,
2021-06-14 15:30:30,60.873584634623285,
2021-06-14 23:59:59,58.5434373455937,c
2021-06-15 00:00:00,54.039045523275036,
2021-06-15 10:00:00,51.37928401818658,
2021-06-15 10:30:00,47.59220951061684,
2021-06-15 12:00:00,48.97975533637077,
2021-06-15 13:30:00,51.75944725167278,
2021-06-15 15:00:00,52.45879217251013,
2021-06-15 15:30:30,52.45879217251013,
2021-06-15 23:59:59,51.34285320387369,c
2021-06-16 00:00:00,49.54284788996597,
2021-06-16 10:00:00,52.09401937022051,
2021-06-16 10:30:00,50.2397418875704,
2021-06-16 12:00:00,45.31112546953648,
2021-06-16 13:30:00,46.410939875150234,
2021-06-16 15:00:00,41.24988878695808,
2021-06-16 15:30:30,41.24988878695808,
2021-06-16 23:59:59,47.55332847185673,c
2021-06-17 00:00:00,49.92111710415293,
2021-06-17 10:00:00,53.51166111519797,
2021-06-17 10:30:00,58.81225726359503,
2021-06-17 12:00:00,57.939675452602955,
2021-06-17 13:30:00,59.02043584785929,
2021-06-17 15:00:00,55.82503814269569,
2021-06-17 15:30:30,55.82503814269569,
2021-06-17 23:59:59,56.52218106573662,c
