date,MSCI_ESG_2023_Q1,meta
2023-02-02 00:00:00,-125.74548455084141,
2023-02-02 10:00:00,-122.32798891338689,
2023-02-02 10:30:00,-109.05817954690929,
2023-02-02 12:00:00,-87.66368953609162,
2023-02-02 13:30:00,-113.09510149584548,
2023-02-02 15:00:00,-126.87036696328278,
2023-02-02 15:30:30,-126.87036696328278,
2023-02-02 23:59:59,-139.35253896191944,c
2023-02-03 00:00:00,-146.61732749694625,
2023-02-03 10:00:00,-198.1482521730079,
2023-02-03 10:30:00,-231.65051038384559,
2023-02-03 12:00:00,-224.28607488801936,
2023-02-03 13:30:00,-190.70399927258018,
2023-02-03 15:00:00,-178.08150843110388,
2023-02-03 15:30:30,-178.08150843110388,
2023-02-03 23:59:59,-157.33427927716502,w
2023-02-06 00:00:00,-156.68176001177244,
2023-02-06 10:00:00,-107.70302226237277,
2023-02-06 10:30:00,-95.81422392347986,
2023-02-06 12:00:00,-121.58394289608782,
2023-02-06 13:30:00,-117.67566160529805,
2023-02-06 15:00:00,-102.71173511395955,
2023-02-06 15:30:30,-102.71173511395955,
2023-02-06 23:59:59,-85.2394507278209,c
2023-02-07 00:00:00,-89.66684965502327,
2023-02-07 10:00:00,-134.91145434589157,
2023-02-07 10:30:00,-147.25478443335282,
2023-02-07 12:00:00,-160.21597997240588,
2023-02-07 13:30:00,-158.8676368150234,
2023-02-07 15:00:00,-145.64304735822407,
2023-02-07 15:30:30,-145.64304735822407,
2023-02-07 23:59:59,-133.5761738630722,c
2023-02-08 00:00:00,-94.77945775165426,
2023-02-08 10:00:00,-144.61699115643228,
2023-02-08 10:30:00,-155.61151677075327,
2023-02-08 12:00:00,-132.41229144391946,
2023-02-08 13:30:00,-154.46174116617385,
2023-02-08 15:00:00,-150.37539550957285,
2023-02-08 15:30:30,-150.37539550957285,
2023-02-08 23:59:59,-149.04789079874035,c
2023-02-09 00:00:00,-153.50205070709376,
2023-02-09 10:00:00,-147.8484054880953,
2023-02-09 10:30:00,-172.13622261520118,
2023-02-09 12:00:00,-195.02630519168292,
2023-02-09 13:30:00,-211.4659031298495,
2023-02-09 15:00:00,-217.03904429486806,
2023-02-09 15:30:30,-217.03904429486806,
2023-02-09 23:59:59,-213.51140096980907,c
2023-02-10 00:00:00,-213.0346469718188,
2023-02-10 10:00:00,-211.03123602812047,
2023-02-10 10:30:00,-181.794642648518,
2023-02-10 12:00:00,-201.7134291589491,
2023-02-10 13:30:00,-211.71095761989818,
2023-02-10 15:00:00,-199.01358051144462,
2023-02-10 15:30:30,-199.01358051144462,
2023-02-10 23:59:59,-197.16604246852216,w
2023-02-13 00:00:00,-176.07923414671882,
2023-02-13 10:00:00,-174.60507260691475,
2023-02-13 10:30:00,-152.38919387219448,
2023-02-13 12:00:00,-157.89123600042285,
2023-02-13 13:30:00,-159.45800067230084,
2023-02-13 15:00:00,-164.88560525029538,
2023-02-13 15:30:30,-164.88560525029538,
2023-02-13 23:59:59,-146.9782048294892,c
2023-02-14 00:00:00,-82.75938745436542,
2023-02-14 10:00:00,0.3133487712520946,
2023-02-14 10:30:00,-6.805219006805146,
2023-02-14 12:00:00,-46.35197315803998,
2023-02-14 13:30:00,-19.720164714942257,
2023-02-14 15:00:00,-7.718461191775532,
2023-02-14 15:30:30,-7.718461191775532,
2023-02-14 23:59:59,-5.813247771965507,c
2023-02-15 00:00:00,-6.168460277987833,
2023-02-15 10:00:00,22.029113604979102,
2023-02-15 10:30:00,13.196616345688653,
2023-02-15 12:00:00,21.7695516962317,
2023-02-15 13:30:00,40.86691856978723,
2023-02-15 15:00:00,54.89951259436384,
2023-02-15 15:30:30,54.89951259436384,
2023-02-15 23:59:59,52.705348881065675,c
2023-02-16 00:00:00,7.235057095072989,
2023-02-16 10:00:00,-29.448700086962617,
2023-02-16 10:30:00,-24.57288072046731,
2023-02-16 12:00:00,6.567428748950078,
2023-02-16 13:30:00,20.02536950597323,
2023-02-16 15:00:00,0.9827207957209794,
2023-02-16 15:30:30,0.9827207957209794,
2023-02-16 23:59:59,0.0,a
2023-02-17 00:00:00,43.92197753704386,
2023-02-17 10:00:00,51.75796439419173,
2023-02-17 10:30:00,70.62851438589541,
2023-02-17 12:00:00,84.8669825517909,
2023-02-17 13:30:00,107.70064781535848,
2023-02-17 15:00:00,107.57033751571726,
2023-02-17 15:30:30,107.57033751571726,
2023-02-17 23:59:59,108.50395286543244,w
2023-02-20 00:00:00,108.50395286543244,
2023-02-20 10:00:00,108.50395286543244,
2023-02-20 10:30:00,108.50395286543244,
2023-02-20 12:00:00,108.50395286543244,
2023-02-20 13:30:00,108.50395286543244,
2023-02-20 15:00:00,108.50395286543244,
2023-02-20 15:30:30,108.50395286543244,
2023-02-20 23:59:59,108.50395286543244,c
2023-02-21 00:00:00,96.82437794988255,
2023-02-21 10:00:00,96.32629192625518,
2023-02-21 10:30:00,123.72874870599344,
2023-02-21 12:00:00,119.87225914693454,
2023-02-21 13:30:00,109.88344088864824,
2023-02-21 15:00:00,115.64342186438307,
2023-02-21 15:30:30,115.64342186438307,
2023-02-21 23:59:59,116.70555646101775,c
0,116.70555646101775,
0,116.70555646101775,
0,116.70555646101775,
0,116.70555646101775,
0,116.70555646101775,
0,116.70555646101775,
0,116.70555646101775,
0,116.70555646101775,
0,116.70555646101775,
0,116.70555646101775,
0,116.70555646101775,
0,116.70555646101775,
0,116.70555646101775,
0,116.70555646101775,
0,116.70555646101775,
0,116.70555646101775,
0,116.70555646101775,
0,116.70555646101775,
0,116.70555646101775,
0,116.70555646101775,
0,116.70555646101775,
0,116.70555646101775,
0,116.70555646101775,
0,116.70555646101775,
2023-02-22 00:00:00,105.61007294305182,
2023-02-22 10:00:00,118.95766457814034,
2023-02-22 10:30:00,120.08892952285305,
2023-02-22 12:00:00,100.84480064477702,
2023-02-22 13:30:00,93.37693723636585,
2023-02-22 15:00:00,73.66699569414595,
2023-02-22 15:30:30,73.66699569414595,
2023-02-22 23:59:59,48.36623535661329,c
2023-02-23 00:00:00,36.65047001761786,
2023-02-23 10:00:00,59.24774617621688,
2023-02-23 10:30:00,76.65824002680847,
2023-02-23 12:00:00,84.55628826851171,
2023-02-23 13:30:00,95.30505316265317,
2023-02-23 15:00:00,89.12784846101476,
2023-02-23 15:30:30,89.12784846101476,
2023-02-23 23:59:59,99.0038034150275,c
2023-02-24 00:00:00,80.09472865058524,
2023-02-24 10:00:00,103.31052197644703,
2023-02-24 10:30:00,98.18204182967338,
2023-02-24 12:00:00,96.51342182425606,
2023-02-24 13:30:00,116.7528969567652,
2023-02-24 15:00:00,98.51307117947954,
2023-02-24 15:30:30,98.51307117947954,
2023-02-24 23:59:59,89.02256521977142,w
2023-02-27 00:00:00,95.17541814979495,
2023-02-27 10:00:00,156.87928502859086,
2023-02-27 10:30:00,160.71649163919847,
2023-02-27 12:00:00,129.28768612711474,
2023-02-27 13:30:00,134.4704964410207,
2023-02-27 15:00:00,129.71692542190476,
2023-02-27 15:30:30,129.71692542190476,
2023-02-27 23:59:59,103.45710730720566,c
2023-02-28 00:00:00,103.14581899846553,
2023-02-28 10:00:00,55.66918526530026,
2023-02-28 10:30:00,49.823585278109476,
2023-02-28 12:00:00,77.66309025292549,
2023-02-28 13:30:00,93.71207999910075,
2023-02-28 15:00:00,61.53355489685919,
2023-02-28 15:30:30,61.53355489685919,
2023-02-28 23:59:59,44.21596399891632,e
2023-03-01 00:00:00,38.92999244917701,
2023-03-01 10:00:00,7.36557602581297,
2023-03-01 10:30:00,25.577873690130218,
2023-03-01 12:00:00,12.350923835218055,
2023-03-01 13:30:00,9.363358726367096,
2023-03-01 15:00:00,20.220027268454487,
2023-03-01 15:30:30,20.220027268454487,
2023-03-01 23:59:59,37.87447835449848,c
2023-03-02 00:00:00,27.910279196319607,
2023-03-02 10:00:00,27.385595199405998,
2023-03-02 10:30:00,29.347416098677513,
2023-03-02 12:00:00,62.23773222244836,
2023-03-02 13:30:00,60.81739747126585,
2023-03-02 15:00:00,87.27177503949542,
2023-03-02 15:30:30,87.27177503949542,
2023-03-02 23:59:59,80.74707595437349,c
2023-03-03 00:00:00,89.6796221714144,
2023-03-03 10:00:00,86.9470163629885,
2023-03-03 10:30:00,125.0835240966212,
2023-03-03 12:00:00,137.00299679848922,
2023-03-03 13:30:00,152.6699659220326,
2023-03-03 15:00:00,154.0522736075609,
2023-03-03 15:30:30,154.0522736075609,
2023-03-03 23:59:59,157.59626311769034,w
2023-03-06 00:00:00,132.23332396913338,
2023-03-06 10:00:00,150.62716456429052,
2023-03-06 10:30:00,147.10447306623746,
2023-03-06 12:00:00,150.20496506896916,
2023-03-06 13:30:00,147.13420095470474,
2023-03-06 15:00:00,160.27872451395478,
2023-03-06 15:30:30,160.27872451395478,
2023-03-06 23:59:59,173.5586785477144,c
2023-03-07 00:00:00,193.1208747953724,
2023-03-07 10:00:00,214.3555517546697,
2023-03-07 10:30:00,189.52012762083496,
2023-03-07 12:00:00,169.244235644936,
2023-03-07 13:30:00,188.1228305585728,
2023-03-07 15:00:00,185.79883533942302,
2023-03-07 15:30:30,185.79883533942302,
2023-03-07 23:59:59,192.2534874982498,c
2023-03-08 00:00:00,195.36550779151457,
2023-03-08 10:00:00,199.4707890963441,
2023-03-08 10:30:00,212.56434896111614,
2023-03-08 12:00:00,254.7493531303253,
2023-03-08 13:30:00,225.90049438015967,
2023-03-08 15:00:00,231.32845396440052,
2023-03-08 15:30:30,231.32845396440052,
2023-03-08 23:59:59,240.40967834108687,c
2023-03-09 00:00:00,230.60161510968146,
2023-03-09 10:00:00,227.54155484431885,
2023-03-09 10:30:00,221.0352847133595,
2023-03-09 12:00:00,245.53516512531223,
2023-03-09 13:30:00,257.4145879632533,
2023-03-09 15:00:00,230.3553866575853,
2023-03-09 15:30:30,230.3553866575853,
2023-03-09 23:59:59,258.5957289168132,c
2023-03-10 00:00:00,276.530563101252,
2023-03-10 10:00:00,235.67245996963493,
2023-03-10 10:30:00,227.83323347164742,
2023-03-10 12:00:00,236.18318818029866,
2023-03-10 13:30:00,230.21833621235464,
2023-03-10 15:00:00,233.1782473186131,
2023-03-10 15:30:30,233.1782473186131,
2023-03-10 23:59:59,233.50613831748024,w
2023-03-13 00:00:00,233.50613831748024,
2023-03-13 10:00:00,233.50613831748024,
2023-03-13 10:30:00,233.50613831748024,
2023-03-13 12:00:00,233.50613831748024,
2023-03-13 13:30:00,233.50613831748024,
2023-03-13 15:00:00,233.50613831748024,
2023-03-13 15:30:30,233.50613831748024,
2023-03-13 23:59:59,233.50613831748024,c
2023-03-14 00:00:00,233.50613831748024,
2023-03-14 10:00:00,233.50613831748024,
2023-03-14 10:30:00,233.50613831748024,
2023-03-14 12:00:00,233.50613831748024,
2023-03-14 13:30:00,233.50613831748024,
2023-03-14 15:00:00,233.50613831748024,
2023-03-14 15:30:30,233.50613831748024,
2023-03-14 23:59:59,233.50613831748024,c
2023-03-15 00:00:00,233.50613831748024,
2023-03-15 10:00:00,233.50613831748024,
2023-03-15 10:30:00,233.50613831748024,
2023-03-15 12:00:00,233.50613831748024,
2023-03-15 13:30:00,233.50613831748024,
2023-03-15 15:00:00,233.50613831748024,
2023-03-15 15:30:30,233.50613831748024,
2023-03-15 23:59:59,233.50613831748024,c
2023-03-16 00:00:00,233.50613831748024,
2023-03-16 10:00:00,233.50613831748024,
2023-03-16 10:30:00,233.50613831748024,
2023-03-16 12:00:00,233.50613831748024,
2023-03-16 13:30:00,233.50613831748024,
2023-03-16 15:00:00,233.50613831748024,
2023-03-16 15:30:30,233.50613831748024,
2023-03-16 23:59:59,233.50613831748024,c
2023-03-17 00:00:00,233.50613831748024,
2023-03-17 10:00:00,233.50613831748024,
2023-03-17 10:30:00,233.50613831748024,
2023-03-17 12:00:00,233.50613831748024,
2023-03-17 13:30:00,233.50613831748024,
2023-03-17 15:00:00,233.50613831748024,
2023-03-17 15:30:30,233.50613831748024,
2023-03-17 23:59:59,233.50613831748024,w
2023-03-20 00:00:00,233.50613831748024,
2023-03-20 10:00:00,233.50613831748024,
2023-03-20 10:30:00,233.50613831748024,
2023-03-20 12:00:00,233.50613831748024,
2023-03-20 13:30:00,233.50613831748024,
2023-03-20 15:00:00,233.50613831748024,
2023-03-20 15:30:30,233.50613831748024,
2023-03-20 23:59:59,233.50613831748024,c
2023-03-21 00:00:00,233.50613831748024,
2023-03-21 10:00:00,233.50613831748024,
2023-03-21 10:30:00,233.50613831748024,
2023-03-21 12:00:00,233.50613831748024,
2023-03-21 13:30:00,233.50613831748024,
2023-03-21 15:00:00,233.50613831748024,
2023-03-21 15:30:30,233.50613831748024,
2023-03-21 23:59:59,233.50613831748024,c
