date,QCLN_2022_Q3,meta
2022-09-09 10:00:00,-92.11087554169893,
2022-09-09 10:30:00,-93.0209575614844,
2022-09-09 12:00:00,-20.82641660894626,
2022-09-09 13:30:00,1.6572890284880373,
2022-09-09 15:00:00,12.190944162440076,
2022-09-09 15:30:30,12.190944162440076,
2022-09-09 23:59:59,0.0,a
2022-09-12 00:00:00,-78.89055300638913,
2022-09-12 10:00:00,-37.0521267867847,
2022-09-12 10:30:00,-13.329435328258398,
2022-09-12 12:00:00,-43.893160065023466,
2022-09-12 13:30:00,-22.851854377698146,
2022-09-12 15:00:00,-17.777891569800886,
2022-09-12 15:30:30,-17.777891569800886,
2022-09-12 23:59:59,-40.78735876187338,c
2022-09-13 00:00:00,-53.47467668630347,
2022-09-13 10:00:00,65.89938418750978,
2022-09-13 10:30:00,57.29678079133316,
2022-09-13 12:00:00,-49.69002548299471,
2022-09-13 13:30:00,19.551173507940263,
2022-09-13 15:00:00,-3.6509712619752293,
2022-09-13 15:30:30,-3.6509712619752293,
2022-09-13 23:59:59,-2.850126489135505,c
2022-09-14 00:00:00,11.543347974767755,
2022-09-14 10:00:00,202.48952825832237,
2022-09-14 10:30:00,113.44218278203351,
2022-09-14 12:00:00,117.59679722743647,
2022-09-14 13:30:00,151.9652998312066,
2022-09-14 15:00:00,145.4310808302513,
2022-09-14 15:30:30,145.4310808302513,
2022-09-14 23:59:59,144.99046147698584,c
2022-09-15 00:00:00,178.3738413590118,
2022-09-15 10:00:00,103.84274123246831,
2022-09-15 10:30:00,96.43424831519525,
2022-09-15 12:00:00,131.76413580969654,
2022-09-15 13:30:00,158.2666734000561,
2022-09-15 15:00:00,148.21359831210538,
2022-09-15 15:30:30,148.21359831210538,
2022-09-15 23:59:59,122.58523441627449,c
2022-09-16 00:00:00,112.71092405703348,
2022-09-16 10:00:00,272.25340397933155,
2022-09-16 10:30:00,259.58259810430536,
2022-09-16 12:00:00,310.6159347500274,
2022-09-16 13:30:00,358.0970053538762,
2022-09-16 15:00:00,309.38140899119065,
2022-09-16 15:30:30,309.38140899119065,
2022-09-16 23:59:59,315.32597250949954,e
2022-09-19 00:00:00,329.36966125018324,
2022-09-19 10:00:00,224.33253505601368,
2022-09-19 10:30:00,214.50043150380344,
2022-09-19 12:00:00,98.4939250774346,
2022-09-19 13:30:00,74.15934449466312,
2022-09-19 15:00:00,83.63049011215935,
2022-09-19 15:30:30,83.63049011215935,
2022-09-19 23:59:59,86.38168881405494,c
2022-09-20 00:00:00,93.02550257282343,
2022-09-20 10:00:00,150.1719524449722,
2022-09-20 10:30:00,73.44470211716452,
2022-09-20 12:00:00,51.857643918125575,
2022-09-20 13:30:00,0.3442461197131763,
2022-09-20 15:00:00,-33.55668016607282,
2022-09-20 15:30:30,-33.55668016607282,
2022-09-20 23:59:59,-65.83231294851745,c
2022-09-21 00:00:00,-22.685615617878994,
2022-09-21 10:00:00,82.31953206520183,
2022-09-21 10:30:00,157.7500263209776,
2022-09-21 12:00:00,226.98301732711928,
2022-09-21 13:30:00,219.60927381587527,
2022-09-21 15:00:00,240.84130975140772,
2022-09-21 15:30:30,240.84130975140772,
2022-09-21 23:59:59,245.5779694734236,c
2022-09-22 00:00:00,216.1928483496509,
2022-09-22 10:00:00,112.45462382110452,
2022-09-22 10:30:00,183.98076013140843,
2022-09-22 12:00:00,123.39463484364813,
2022-09-22 13:30:00,104.59829899590648,
2022-09-22 15:00:00,94.91368939808314,
2022-09-22 15:30:30,94.91368939808314,
2022-09-22 23:59:59,82.31654879270076,c
2022-09-23 00:00:00,103.22196001116191,
2022-09-23 10:00:00,-9.877317837440245,
2022-09-23 10:30:00,26.556443143899457,
2022-09-23 12:00:00,117.34009889457718,
2022-09-23 13:30:00,129.822807354565,
2022-09-23 15:00:00,109.57261201617808,
2022-09-23 15:30:30,109.57261201617808,
2022-09-23 23:59:59,146.95693752609486,w
2022-09-26 00:00:00,102.5849569299375,
2022-09-26 10:00:00,139.5433097041613,
2022-09-26 10:30:00,159.8911908130384,
2022-09-26 12:00:00,163.72717743558155,
2022-09-26 13:30:00,142.2000515787251,
2022-09-26 15:00:00,146.85425871059607,
2022-09-26 15:30:30,146.85425871059607,
2022-09-26 23:59:59,160.2475534957967,c
2022-09-27 00:00:00,208.56163839880725,
2022-09-27 10:00:00,242.1337846482047,
2022-09-27 10:30:00,239.38119768622892,
2022-09-27 12:00:00,212.14304980198415,
2022-09-27 13:30:00,236.9416801100208,
2022-09-27 15:00:00,266.28124523070056,
2022-09-27 15:30:30,266.28124523070056,
2022-09-27 23:59:59,261.0817954541873,c
2022-09-28 00:00:00,335.9906838191876,
2022-09-28 10:00:00,358.7989164032144,
2022-09-28 10:30:00,333.47215571771636,
2022-09-28 12:00:00,321.589665848631,
2022-09-28 13:30:00,293.62782550876756,
2022-09-28 15:00:00,328.28326155818223,
2022-09-28 15:30:30,328.28326155818223,
2022-09-28 23:59:59,338.36409367698553,c
2022-09-29 00:00:00,433.23841378674166,
2022-09-29 10:00:00,385.9189833186368,
2022-09-29 10:30:00,335.63033720373807,
2022-09-29 12:00:00,380.1598860162665,
2022-09-29 13:30:00,341.3097626660389,
2022-09-29 15:00:00,331.45901490974865,
2022-09-29 15:30:30,331.45901490974865,
2022-09-29 23:59:59,314.68601705331736,c
2022-09-30 00:00:00,332.8241111995424,
2022-09-30 10:00:00,298.27292148442433,
2022-09-30 10:30:00,344.8891102216232,
2022-09-30 12:00:00,312.1362010985385,
2022-09-30 13:30:00,322.29456132898036,
2022-09-30 15:00:00,315.7378159238968,
2022-09-30 15:30:30,315.7378159238968,
2022-09-30 23:59:59,305.1806521701828,w
