date,MSCI_US_AD_2021_Q1,meta
2021-01-04 00:00:00,-3172.663987335437,
2021-01-04 10:00:00,-3396.4759207739003,
2021-01-04 10:30:00,-3367.903576838767,
2021-01-04 12:00:00,-3484.784968618623,
2021-01-04 13:30:00,-3480.649521921867,
2021-01-04 15:00:00,-3516.593343734283,
2021-01-04 15:30:30,-3516.593343734283,
2021-01-04 23:59:59,-3544.4362235539134,c
2021-01-05 00:00:00,-3661.208759166657,
2021-01-05 10:00:00,-3492.4143823655727,
2021-01-05 10:30:00,-3491.2514195917133,
2021-01-05 12:00:00,-3467.247923295927,
2021-01-05 13:30:00,-3432.435742942929,
2021-01-05 15:00:00,-3476.5123077286403,
2021-01-05 15:30:30,-3476.5123077286403,
2021-01-05 23:59:59,-3343.8086163300213,c
2021-01-06 00:00:00,-3226.927243583032,
2021-01-06 10:00:00,-3255.3710581678256,
2021-01-06 10:30:00,-3211.7064230946194,
2021-01-06 12:00:00,-3176.487078757767,
2021-01-06 13:30:00,-3110.317434835052,
2021-01-06 15:00:00,-3263.644309401291,
2021-01-06 15:30:30,-3263.644309401291,
2021-01-06 23:59:59,-3287.239110334468,c
2021-01-07 00:00:00,-2629.848443580322,
2021-01-07 10:00:00,-2540.9529174588583,
2021-01-07 10:30:00,-2593.012300199136,
2021-01-07 12:00:00,-2441.876424109222,
2021-01-07 13:30:00,-2455.464462434314,
2021-01-07 15:00:00,-2444.7050687934957,
2021-01-07 15:30:30,-2444.7050687934957,
2021-01-07 23:59:59,-2307.8567217856025,c
2021-01-08 00:00:00,-1936.2397218849437,
2021-01-08 10:00:00,-1933.3026789575406,
2021-01-08 10:30:00,-1958.6732468200416,
2021-01-08 12:00:00,-1839.5439208322905,
2021-01-08 13:30:00,-1893.0751759204468,
2021-01-08 15:00:00,-1832.8354492188328,
2021-01-08 15:30:30,-1832.8354492188328,
2021-01-08 23:59:59,-1813.70586447798,w
2021-01-11 00:00:00,-2181.063631980489,
2021-01-11 10:00:00,-1985.0714222963852,
2021-01-11 10:30:00,-1891.6242064684566,
2021-01-11 12:00:00,-1869.232560214441,
2021-01-11 13:30:00,-1838.3390303074339,
2021-01-11 15:00:00,-1824.4558638580766,
2021-01-11 15:30:30,-1824.4558638580766,
2021-01-11 23:59:59,-1826.5376649208838,c
2021-01-12 00:00:00,-1230.1684928720078,
2021-01-12 10:00:00,-1174.5372667531037,
2021-01-12 10:30:00,-1368.7734813451216,
2021-01-12 12:00:00,-1260.0497247693102,
2021-01-12 13:30:00,-1261.5390760000064,
2021-01-12 15:00:00,-986.7806612654695,
2021-01-12 15:30:30,-986.7806612654695,
2021-01-12 23:59:59,-788.3441994374862,c
2021-01-13 00:00:00,-487.34564443401723,
2021-01-13 10:00:00,-735.7841268798411,
2021-01-13 10:30:00,-543.8586771740538,
2021-01-13 12:00:00,-363.88709741096045,
2021-01-13 13:30:00,-152.48675491610356,
2021-01-13 15:00:00,-242.89760485464376,
2021-01-13 15:30:30,-242.89760485464376,
2021-01-13 23:59:59,-397.8750946716855,c
2021-01-14 00:00:00,-532.8313996165307,
2021-01-14 10:00:00,-462.7970740068904,
2021-01-14 10:30:00,-264.57681697634143,
2021-01-14 12:00:00,-387.2744739948321,
2021-01-14 13:30:00,-517.6081873662715,
2021-01-14 15:00:00,-371.7937668907707,
2021-01-14 15:30:30,-371.7937668907707,
2021-01-14 23:59:59,-367.2772639365103,c
2021-01-15 00:00:00,-526.2274116343033,
2021-01-15 10:00:00,-820.7282979487154,
2021-01-15 10:30:00,-1064.3513492158327,
2021-01-15 12:00:00,-975.7230802479507,
2021-01-15 13:30:00,-775.3214194105858,
2021-01-15 15:00:00,-853.9200372265368,
2021-01-15 15:30:30,-853.9200372265368,
2021-01-15 23:59:59,-981.6849278598856,w
2021-01-18 00:00:00,-981.6849278598856,
2021-01-18 10:00:00,-981.6849278598856,
2021-01-18 10:30:00,-981.6849278598856,
2021-01-18 12:00:00,-981.6849278598856,
2021-01-18 13:30:00,-981.6849278598856,
2021-01-18 15:00:00,-981.6849278598856,
2021-01-18 15:30:30,-981.6849278598856,
2021-01-18 23:59:59,-981.6849278598856,c
2021-01-19 00:00:00,-673.9945582479941,
2021-01-19 10:00:00,-686.1681892291363,
2021-01-19 10:30:00,-560.7313898242228,
2021-01-19 12:00:00,-589.9448982909025,
2021-01-19 13:30:00,-386.43186741683894,
2021-01-19 15:00:00,-363.27677649744146,
2021-01-19 15:30:30,-363.27677649744146,s
2021-01-19 23:59:59,-441.9483807319666,c
2021-01-20 00:00:00,-444.7370352627031,
2021-01-20 10:00:00,-699.5529121392983,
2021-01-20 10:30:00,-745.1099208479309,
2021-01-20 12:00:00,-889.6472282539517,
2021-01-20 13:30:00,-941.6096603724591,
2021-01-20 15:00:00,-853.409356450733,
2021-01-20 15:30:30,-853.409356450733,
2021-01-20 23:59:59,-923.6456552089139,c
2021-01-21 00:00:00,-1046.1819780448177,
2021-01-21 10:00:00,-1132.7435754925991,
2021-01-21 10:30:00,-961.6813735505875,
2021-01-21 12:00:00,-792.7728180353934,
2021-01-21 13:30:00,-580.8221104466847,
2021-01-21 15:00:00,-507.47846813633896,
2021-01-21 15:30:30,-507.47846813633896,
2021-01-21 23:59:59,-522.615012119315,c
2021-01-22 00:00:00,-652.9204712774381,
2021-01-22 10:00:00,-389.62177319338025,
2021-01-22 10:30:00,-534.5923496836485,
2021-01-22 12:00:00,-520.6121229049431,
2021-01-22 13:30:00,-455.49255074021494,
2021-01-22 15:00:00,-361.91542244001084,
2021-01-22 15:30:30,-361.91542244001084,
2021-01-22 23:59:59,-264.0923548528235,w
2021-01-25 00:00:00,-225.04615071403532,
2021-01-25 10:00:00,61.54141944438288,
2021-01-25 10:30:00,45.239414956409746,
2021-01-25 12:00:00,-346.93469530162747,
2021-01-25 13:30:00,-473.09399912108165,
2021-01-25 15:00:00,-450.0182404739862,
2021-01-25 15:30:30,-450.0182404739862,
2021-01-25 23:59:59,-471.33808490956017,c
2021-01-26 00:00:00,-300.7077364762863,
2021-01-26 10:00:00,-140.98562766442592,
2021-01-26 10:30:00,-35.27794937724775,
2021-01-26 12:00:00,125.54502328348644,
