date,CAD_MISC_2021_Q1,meta
2021-02-19 00:00:00,92.5581420385297,
2021-02-19 10:00:00,159.19338325087665,
2021-02-19 10:30:00,223.35168113581676,
2021-02-19 12:00:00,221.41322510229475,
2021-02-19 13:30:00,264.5807386513152,
2021-02-19 15:00:00,267.31044256120913,
2021-02-19 15:30:30,267.31044256120913,
2021-02-19 23:59:59,256.0294901307989,w
2021-02-22 00:00:00,167.63287838448377,
2021-02-22 10:00:00,80.24274996627173,
2021-02-22 10:30:00,75.74618581714276,
2021-02-22 12:00:00,41.09838325983401,
2021-02-22 13:30:00,-19.883135832989865,
2021-02-22 15:00:00,-64.25443601535335,
2021-02-22 15:30:30,-64.25443601535335,
2021-02-22 23:59:59,-55.6647859874447,c
2021-02-23 00:00:00,14.019238492634031,
2021-02-23 10:00:00,175.43782875835495,
2021-02-23 10:30:00,64.67721155217623,
2021-02-23 12:00:00,85.89850102342098,
2021-02-23 13:30:00,114.40000256480926,
2021-02-23 15:00:00,80.94016140200074,
2021-02-23 15:30:30,80.94016140200074,
2021-02-23 23:59:59,105.78524428739911,c
2021-02-24 00:00:00,189.82417670355426,
2021-02-24 10:00:00,196.60152832109452,
2021-02-24 10:30:00,113.46795982050753,
2021-02-24 12:00:00,22.274409480565737,
2021-02-24 13:30:00,-1.5088148487266153,
2021-02-24 15:00:00,-5.9941429301325115,
2021-02-24 15:30:30,-5.9941429301325115,
2021-02-24 23:59:59,58.670538169211795,c
2021-02-25 00:00:00,162.79705869772988,
2021-02-25 10:00:00,66.89052807376902,
2021-02-25 10:30:00,168.588816869551,
2021-02-25 12:00:00,234.91869883248364,
2021-02-25 13:30:00,311.89614187337065,
2021-02-25 15:00:00,303.7036685266103,
2021-02-25 15:30:30,303.7036685266103,
2021-02-25 23:59:59,262.04939619425386,c
2021-02-26 00:00:00,298.2853922653612,
2021-02-26 10:00:00,409.002799866179,
2021-02-26 10:30:00,514.058904406992,
2021-02-26 12:00:00,489.70998772524854,
2021-02-26 13:30:00,462.70381771866596,
2021-02-26 15:00:00,518.6397038589475,
2021-02-26 15:30:30,518.6397038589475,s
2021-02-26 23:59:59,493.1110596617764,w
2021-03-01 00:00:00,407.57358738754647,
2021-03-01 10:00:00,411.7237556459868,
2021-03-01 10:30:00,422.8363563628527,
2021-03-01 12:00:00,472.1139218474573,
2021-03-01 13:30:00,508.1942247437655,
2021-03-01 15:00:00,493.0727884795024,
2021-03-01 15:30:30,493.0727884795024,
2021-03-01 23:59:59,488.63946915834003,c
2021-03-02 00:00:00,454.50978395238144,
2021-03-02 10:00:00,390.3995423477463,
2021-03-02 10:30:00,354.7038383384388,
2021-03-02 12:00:00,255.90698208810318,
2021-03-02 13:30:00,205.33556547939952,
2021-03-02 15:00:00,161.41045614617724,
2021-03-02 15:30:30,161.41045614617724,
2021-03-02 23:59:59,210.05769692803733,c
2021-03-03 00:00:00,343.6891786587548,
2021-03-03 10:00:00,458.2512612930059,
2021-03-03 10:30:00,449.82013749430826,
2021-03-03 12:00:00,340.0441359095639,
2021-03-03 13:30:00,352.2892252325546,
2021-03-03 15:00:00,364.47511018611294,
2021-03-03 15:30:30,364.47511018611294,
2021-03-03 23:59:59,351.2312803340046,c
2021-03-04 00:00:00,358.6083506782961,
2021-03-04 10:00:00,364.3964691431629,
2021-03-04 10:30:00,314.55414424995615,
2021-03-04 12:00:00,217.72227758973895,
2021-03-04 13:30:00,344.9267960944617,
2021-03-04 15:00:00,307.9324575392202,
2021-03-04 15:30:30,307.9324575392202,
2021-03-04 23:59:59,326.73213483546897,c
2021-03-05 00:00:00,312.4228706766662,
2021-03-05 10:00:00,380.7893112911297,
2021-03-05 10:30:00,326.61969205391506,
2021-03-05 12:00:00,363.36121807343807,
2021-03-05 13:30:00,286.28833307390414,
2021-03-05 15:00:00,235.5891139260657,
2021-03-05 15:30:30,235.5891139260657,
2021-03-05 23:59:59,222.38419198548036,w
2021-03-08 00:00:00,222.31173791841138,
2021-03-08 10:00:00,239.12466158445386,
2021-03-08 10:30:00,190.74277294893363,
2021-03-08 12:00:00,275.1009216076436,
2021-03-08 13:30:00,236.41159207763303,
2021-03-08 15:00:00,209.1765402699839,
2021-03-08 15:30:30,209.1765402699839,
2021-03-08 23:59:59,262.4046390871572,c
2021-03-09 00:00:00,75.9175242177298,
2021-03-09 10:00:00,22.07211763786654,
2021-03-09 10:30:00,61.68809085407702,
2021-03-09 12:00:00,146.1433236382618,
2021-03-09 13:30:00,109.00664811031675,
2021-03-09 15:00:00,78.22265434861401,
2021-03-09 15:30:30,78.22265434861401,
2021-03-09 23:59:59,105.91895428212956,c
2021-03-10 00:00:00,65.57197080057449,
2021-03-10 10:00:00,141.94889803144906,
2021-03-10 10:30:00,143.75374091058256,
2021-03-10 12:00:00,96.64659183790172,
2021-03-10 13:30:00,57.83765137956652,
2021-03-10 15:00:00,69.42622084479444,
2021-03-10 15:30:30,69.42622084479444,
2021-03-10 23:59:59,83.88569059256224,c
2021-03-11 00:00:00,34.825420880677484,
2021-03-11 10:00:00,62.03031464107153,
2021-03-11 10:30:00,61.80609043888944,
2021-03-11 12:00:00,33.18831500075066,
2021-03-11 13:30:00,10.464466751498549,
2021-03-11 15:00:00,-1.8721352539159852,
2021-03-11 15:30:30,-1.8721352539159852,
2021-03-11 23:59:59,23.15399909349071,c
2021-03-12 00:00:00,126.91464561276007,
2021-03-12 10:00:00,74.85221413601357,
2021-03-12 10:30:00,106.06600585535307,
2021-03-12 12:00:00,-11.200988761111148,
2021-03-12 13:30:00,-18.654895199728344,
