date,AS_GUNR_2022_Q2,meta
2022-05-20 00:00:00,430.20539583372033,
2022-05-20 01:00:00,414.4854254161967,
2022-05-20 02:30:00,424.22028752676783,
2022-05-20 03:00:00,424.1159137180034,
2022-05-20 18:30:00,424.1159137180034,
2022-05-20 20:00:00,424.1159137180034,
2022-05-20 23:00:00,424.1159137180034,
2022-05-20 23:59:59,427.1538139429035,w
2022-05-23 00:00:00,378.8614482038306,
2022-05-23 01:00:00,375.22648531768596,
2022-05-23 02:30:00,384.74387832872344,
2022-05-23 03:00:00,384.34709937532307,
2022-05-23 18:30:00,393.6235745944234,
2022-05-23 20:00:00,371.7549957589981,
2022-05-23 23:00:00,413.8121806730978,
2022-05-23 23:59:59,409.9182828881146,c
2022-05-24 00:00:00,406.7876987802206,
2022-05-24 01:00:00,410.53949913544875,
2022-05-24 02:30:00,388.3889480205594,
2022-05-24 03:00:00,387.38068961797535,
2022-05-24 18:30:00,391.31222681119357,
2022-05-24 20:00:00,380.1428170906181,
2022-05-24 23:00:00,293.7310299863045,
2022-05-24 23:59:59,270.166268497474,c
2022-05-25 00:00:00,292.4743904161071,
2022-05-25 01:00:00,301.16443743703894,
2022-05-25 02:30:00,317.08975214303405,
2022-05-25 03:00:00,317.73420886423855,
2022-05-25 18:30:00,318.54999883136816,
2022-05-25 20:00:00,316.44861641388525,
2022-05-25 23:00:00,285.69885982127425,
2022-05-25 23:59:59,303.7121920330235,c
2022-05-26 00:00:00,315.96941863149436,
2022-05-26 01:00:00,332.67732042792204,
2022-05-26 02:30:00,316.11331794589,
2022-05-26 03:00:00,316.25513698777695,
2022-05-26 18:30:00,323.29239485638686,
2022-05-26 20:00:00,311.70046734122843,
2022-05-26 23:00:00,381.76508822278606,
2022-05-26 23:59:59,395.49790573370274,c
2022-05-27 00:00:00,399.609294557599,
2022-05-27 01:00:00,420.5969752125359,
2022-05-27 02:30:00,400.0121617102161,
2022-05-27 03:00:00,400.29640559118366,
2022-05-27 18:30:00,400.29640559118366,
2022-05-27 20:00:00,400.29640559118366,
2022-05-27 23:00:00,400.29640559118366,
2022-05-27 23:59:59,403.19964092626446,w
2022-05-30 00:00:00,218.37744678186573,
2022-05-30 01:00:00,217.3763869587533,
2022-05-30 02:30:00,232.565073019068,
2022-05-30 03:00:00,232.39039504388643,
2022-05-30 18:30:00,233.7434128675759,
2022-05-30 20:00:00,225.2308267629419,
2022-05-30 23:00:00,288.5483795233654,
2022-05-30 23:59:59,292.8303152945407,c
2022-05-31 00:00:00,285.64484667401825,
2022-05-31 01:00:00,306.70065350072605,
2022-05-31 02:30:00,258.2895396590086,
2022-05-31 03:00:00,258.005720953779,
2022-05-31 18:30:00,257.6436279182037,
2022-05-31 20:00:00,248.46304392844718,
2022-05-31 23:00:00,167.54458421817435,
2022-05-31 23:59:59,142.46181993583514,c
2022-06-01 00:00:00,128.7685460780183,
2022-06-01 01:00:00,120.28766272881512,
2022-06-01 02:30:00,106.16001497704247,
2022-06-01 03:00:00,106.24767638198887,
2022-06-01 18:30:00,121.0371791267919,
2022-06-01 20:00:00,116.40758718889447,
2022-06-01 23:00:00,144.82117535680823,
2022-06-01 23:59:59,163.57185836777626,c
2022-06-02 00:00:00,129.62990113674687,
2022-06-02 01:00:00,140.60397968369602,
2022-06-02 02:30:00,154.78130428563009,
2022-06-02 03:00:00,155.0462603921219,
2022-06-02 18:30:00,155.0462603921219,
2022-06-02 20:00:00,155.0462603921219,
2022-06-02 23:00:00,155.0462603921219,
2022-06-02 23:59:59,159.60845911166734,c
2022-06-03 00:00:00,159.60845911166734,
2022-06-03 01:00:00,159.60845911166734,
2022-06-03 02:30:00,159.60845911166734,
2022-06-03 03:00:00,159.60845911166734,
2022-06-03 18:30:00,159.60845911166734,
2022-06-03 20:00:00,159.60845911166734,
2022-06-03 23:00:00,159.60845911166734,
2022-06-03 23:59:59,159.60845911166734,w
2022-06-06 00:00:00,111.77677966502165,
2022-06-06 01:00:00,116.9664180199261,
2022-06-06 02:30:00,102.1587468565242,
2022-06-06 03:00:00,101.97079223086075,
2022-06-06 18:30:00,102.44064302118159,
2022-06-06 20:00:00,109.67945911224797,
2022-06-06 23:00:00,104.84260489558983,
2022-06-06 23:59:59,117.33669763305033,c
2022-06-07 00:00:00,135.56282652810864,
2022-06-07 01:00:00,132.21573902373916,
2022-06-07 02:30:00,108.61570562160523,
2022-06-07 03:00:00,109.2852910256297,
2022-06-07 18:30:00,108.62422941297655,
2022-06-07 20:00:00,96.80878176372471,
2022-06-07 23:00:00,64.19730972353409,
2022-06-07 23:59:59,32.71944492233138,c
2022-06-08 00:00:00,52.435930139664606,
2022-06-08 01:00:00,66.0576898156894,
2022-06-08 02:30:00,64.95867542390147,
2022-06-08 03:00:00,64.58831517752787,
2022-06-08 18:30:00,66.6846358542166,
2022-06-08 20:00:00,72.9453075734275,
2022-06-08 23:00:00,43.62298540273332,
2022-06-08 23:59:59,10.118308649973642,c
2022-06-09 00:00:00,38.26019732338045,
2022-06-09 01:00:00,-1.686900006311589,
2022-06-09 02:30:00,-30.124126407394897,
2022-06-09 03:00:00,-30.097721764709377,
2022-06-09 18:30:00,-29.446164174658406,
2022-06-09 20:00:00,-32.58748232696871,
2022-06-09 23:00:00,-45.38822765687087,
2022-06-09 23:59:59,-15.180279199527376,c
2022-06-10 00:00:00,-16.896218828315114,
2022-06-10 01:00:00,-8.677795278674466,
2022-06-10 02:30:00,-7.7060517561269535,
2022-06-10 03:00:00,-7.382968915900165,
2022-06-10 18:30:00,-7.382968915900165,
