date,AS_MSCI_DM_SC_2023_Q1,meta
2022-12-29 00:00:00,-792.613459492764,
2022-12-29 01:00:00,-785.1974461951925,
2022-12-29 02:30:00,-782.1746770870582,
2022-12-29 03:00:00,-785.734753355706,
2022-12-29 18:30:00,-781.2235170427533,
2022-12-29 20:00:00,-765.0240301905628,
2022-12-29 23:00:00,-726.6548371778338,
2022-12-29 23:59:59,-727.8177327475198,c
2022-12-30 00:00:00,-738.7436331388163,
2022-12-30 01:00:00,-739.9063989729979,
2022-12-30 02:30:00,-734.0587114152652,
2022-12-30 03:00:00,-733.0032813853206,
2022-12-30 18:30:00,-733.0032813853206,
2022-12-30 20:00:00,-733.0032813853206,
2022-12-30 23:00:00,-733.0032813853206,
2022-12-30 23:59:59,-736.5673642442641,w
2023-01-02 00:00:00,-736.5673642442641,
2023-01-02 01:00:00,-736.5673642442641,
2023-01-02 02:30:00,-736.5673642442641,
2023-01-02 03:00:00,-736.5673642442641,
2023-01-02 18:30:00,-707.6737381222538,
2023-01-02 20:00:00,-696.5902965619936,
2023-01-02 23:00:00,-774.6162830491924,
2023-01-02 23:59:59,-774.6162830491924,c
2023-01-03 00:00:00,-773.5449757066068,
2023-01-03 01:00:00,-776.0418197720071,
2023-01-03 02:30:00,-738.1791640362986,
2023-01-03 03:00:00,-746.2064628304475,
2023-01-03 18:30:00,-737.9394907161748,
2023-01-03 20:00:00,-719.698361765024,
2023-01-03 23:00:00,-712.112223926101,
2023-01-03 23:59:59,-713.5898070396746,c
2023-01-04 00:00:00,-733.8386306298422,
2023-01-04 01:00:00,-746.5090523423665,
2023-01-04 02:30:00,-742.5881765763618,
2023-01-04 03:00:00,-738.2560498986286,
2023-01-04 18:30:00,-714.7427398445834,
2023-01-04 20:00:00,-711.2525940021656,
2023-01-04 23:00:00,-642.162974208502,
2023-01-04 23:59:59,-647.1788817709154,c
2023-01-05 00:00:00,-670.4711870724789,
2023-01-05 01:00:00,-678.3748178461773,
2023-01-05 02:30:00,-671.8675437925097,
2023-01-05 03:00:00,-670.9642809603765,
2023-01-05 18:30:00,-671.6885827587765,
2023-01-05 20:00:00,-627.3820321904674,
2023-01-05 23:00:00,-572.1926422522326,
2023-01-05 23:59:59,-570.1557832548968,c
2023-01-06 00:00:00,-573.9513469188533,
2023-01-06 01:00:00,-549.9984529427678,
2023-01-06 02:30:00,-559.6404858808216,
2023-01-06 03:00:00,-574.1852987126265,
2023-01-06 18:30:00,-574.1852987126265,
2023-01-06 20:00:00,-574.1852987126265,
2023-01-06 23:00:00,-574.1852987126265,
2023-01-06 23:59:59,-556.6573134766157,w
2023-01-09 00:00:00,-580.2446386921453,
2023-01-09 01:00:00,-572.6224932135598,
2023-01-09 02:30:00,-558.3301634651815,
2023-01-09 03:00:00,-563.9580327325469,
2023-01-09 18:30:00,-568.1343295053115,
2023-01-09 20:00:00,-574.204764061709,
2023-01-09 23:00:00,-616.0061320649287,
2023-01-09 23:59:59,-609.0178263363179,c
2023-01-10 00:00:00,-594.5395875514005,
2023-01-10 01:00:00,-588.7398985801566,
2023-01-10 02:30:00,-575.0748702177889,
2023-01-10 03:00:00,-581.521316704448,
2023-01-10 18:30:00,-570.9530491779863,
2023-01-10 20:00:00,-580.5131195584173,
2023-01-10 23:00:00,-508.4656401781175,
2023-01-10 23:59:59,-506.5842320500021,c
2023-01-11 00:00:00,-520.0591909953895,
2023-01-11 01:00:00,-495.94482346319955,
2023-01-11 02:30:00,-487.52975092771715,
2023-01-11 03:00:00,-492.2480507126865,
2023-01-11 18:30:00,-498.1689980211749,
2023-01-11 20:00:00,-505.93061864608745,
2023-01-11 23:00:00,-495.76078313949273,
2023-01-11 23:59:59,-492.05278795801775,c
2023-01-12 00:00:00,-518.0611569540152,
2023-01-12 01:00:00,-525.351275136578,
2023-01-12 02:30:00,-530.125688068456,
2023-01-12 03:00:00,-535.7532887680245,
