date,VIG_TRANS_HEDGED_2021_Q3,meta
2021-08-06 00:00:00,-35.07531657080992,
2021-08-06 10:00:00,-39.10505347862414,
2021-08-06 10:30:00,-41.277840257148185,
2021-08-06 12:00:00,-40.260991984388326,
2021-08-06 13:30:00,-39.27129630555885,
2021-08-06 15:00:00,-40.666018401023464,
2021-08-06 15:30:30,-40.666018401023464,
2021-08-06 23:59:59,-43.78956337868448,w
2021-08-09 00:00:00,-38.41553339700582,
2021-08-09 10:00:00,-48.747019460641425,
2021-08-09 10:30:00,-48.542653978486655,
2021-08-09 12:00:00,-48.874654447162555,
2021-08-09 13:30:00,-44.23849702867244,
2021-08-09 15:00:00,-45.14611550107763,
2021-08-09 15:30:30,-45.14611550107763,
2021-08-09 23:59:59,-44.63918149413381,c
2021-08-10 00:00:00,-46.68160228715625,
2021-08-10 10:00:00,-53.898257421650726,
2021-08-10 10:30:00,-58.08129306841158,
2021-08-10 12:00:00,-57.47718001376667,
2021-08-10 13:30:00,-57.34106545574652,
2021-08-10 15:00:00,-52.48607029842675,
2021-08-10 15:30:30,-52.48607029842675,
2021-08-10 23:59:59,-57.3747754401722,c
2021-08-11 00:00:00,-53.46739540317688,
2021-08-11 10:00:00,-70.1594541586795,
2021-08-11 10:30:00,-66.84729523355554,
2021-08-11 12:00:00,-60.40696648810854,
2021-08-11 13:30:00,-57.40822360679081,
2021-08-11 15:00:00,-60.57192323937849,
2021-08-11 15:30:30,-60.57192323937849,
2021-08-11 23:59:59,-57.81078066946452,c
2021-08-12 00:00:00,-49.34266622044032,
2021-08-12 10:00:00,-53.535756078849786,
2021-08-12 10:30:00,-55.39772380529132,
2021-08-12 12:00:00,-49.93969403249419,
2021-08-12 13:30:00,-49.66417277125802,
2021-08-12 15:00:00,-48.141763007221,
2021-08-12 15:30:30,-48.141763007221,
2021-08-12 23:59:59,-45.73183182919223,c
2021-08-13 00:00:00,-56.15835651473161,
2021-08-13 10:00:00,-49.22644627172346,
2021-08-13 10:30:00,-46.92163019938653,
2021-08-13 12:00:00,-42.99645106113286,
2021-08-13 13:30:00,-39.18868185237805,
2021-08-13 15:00:00,-43.02993615956949,
2021-08-13 15:30:30,-43.02993615956949,
2021-08-13 23:59:59,-44.883052738172665,w
2021-08-16 00:00:00,-35.18008920241516,
2021-08-16 10:00:00,-41.9356885671714,
2021-08-16 10:30:00,-49.62843483015405,
2021-08-16 12:00:00,-54.365915537027874,
2021-08-16 13:30:00,-52.75823965488752,
2021-08-16 15:00:00,-52.259853636278564,
2021-08-16 15:30:30,-52.259853636278564,
2021-08-16 23:59:59,-52.59638976536216,c
2021-08-17 00:00:00,-52.20089639944035,
2021-08-17 10:00:00,-65.28850875690154,
2021-08-17 10:30:00,-70.93253280915272,
2021-08-17 12:00:00,-66.0371005931261,
