date,MSCI_US_MIG_HEDGED_2020_Q4,meta
2020-10-06 00:00:00,162.8353578231593,
2020-10-06 10:00:00,132.19740419637623,
2020-10-06 10:30:00,141.72198436087575,
2020-10-06 12:00:00,139.7976663987768,
2020-10-06 13:30:00,146.46288824337563,
2020-10-06 15:00:00,159.00478878449104,
2020-10-06 15:30:30,159.00478878449104,
2020-10-06 23:59:59,160.88535749225474,c
2020-10-07 00:00:00,199.75252498586934,
2020-10-07 10:00:00,170.3248540040766,
2020-10-07 10:30:00,173.4540551621091,
2020-10-07 12:00:00,205.54520228194446,
2020-10-07 13:30:00,216.53743856303703,
2020-10-07 15:00:00,225.45269945000126,
2020-10-07 15:30:30,225.45269945000126,
2020-10-07 23:59:59,245.12580841050323,c
2020-10-08 00:00:00,257.83888415885946,
2020-10-08 10:00:00,209.15118906196784,
2020-10-08 10:30:00,218.29423805588596,
2020-10-08 12:00:00,238.46004472747376,
2020-10-08 13:30:00,232.51203472470712,
2020-10-08 15:00:00,231.17369045300444,
2020-10-08 15:30:30,231.17369045300444,
2020-10-08 23:59:59,225.35026460183047,c
2020-10-09 00:00:00,230.62441183838786,
2020-10-09 10:00:00,251.72781393200017,
2020-10-09 10:30:00,282.14058041570223,
2020-10-09 12:00:00,281.15173930316763,
2020-10-09 13:30:00,312.7712875717961,
2020-10-09 15:00:00,313.37107461233535,
2020-10-09 15:30:30,313.37107461233535,
2020-10-09 23:59:59,312.622754377137,w
2020-10-12 00:00:00,330.9883165097909,
2020-10-12 10:00:00,249.32829298483585,
2020-10-12 10:30:00,223.2776467834547,
2020-10-12 12:00:00,210.9926814727266,
2020-10-12 13:30:00,222.66942424798248,
2020-10-12 15:00:00,203.5550918944004,
2020-10-12 15:30:30,203.5550918944004,
2020-10-12 23:59:59,213.21345140969476,c
2020-10-13 00:00:00,219.63159356370335,
2020-10-13 10:00:00,236.8970055262219,
2020-10-13 10:30:00,222.05000970992825,
2020-10-13 12:00:00,229.50949582957975,
2020-10-13 13:30:00,222.26172648876621,
2020-10-13 15:00:00,213.0191896986908,
2020-10-13 15:30:30,213.0191896986908,
2020-10-13 23:59:59,221.14643156109736,c
2020-10-14 00:00:00,226.67999199911327,
2020-10-14 10:00:00,221.92331550338184,
2020-10-14 10:30:00,242.64454335152635,
2020-10-14 12:00:00,241.13574233893513,
2020-10-14 13:30:00,233.16297578423547,
2020-10-14 15:00:00,252.6277535917655,
2020-10-14 15:30:30,252.6277535917655,
2020-10-14 23:59:59,238.72207478513127,c
2020-10-15 00:00:00,263.626300930553,
2020-10-15 10:00:00,297.2057746808047,
2020-10-15 10:30:00,302.08956595731723,
2020-10-15 12:00:00,275.5277111082232,
2020-10-15 13:30:00,268.9050443635711,
2020-10-15 15:00:00,289.7097005446189,
2020-10-15 15:30:30,289.7097005446189,
2020-10-15 23:59:59,293.15955365444273,c
2020-10-16 00:00:00,302.3775835458949,
2020-10-16 10:00:00,296.49136242915046,
2020-10-16 10:30:00,316.0805364854801,
2020-10-16 12:00:00,279.2655506578721,
2020-10-16 13:30:00,300.39071123194736,
2020-10-16 15:00:00,309.7843585320358,
2020-10-16 15:30:30,309.7843585320358,
2020-10-16 23:59:59,297.042507925399,w
2020-10-19 00:00:00,301.92522215985497,
2020-10-19 10:00:00,330.7581062565744,
2020-10-19 10:30:00,325.27337940055935,
2020-10-19 12:00:00,294.283524485531,
2020-10-19 13:30:00,302.5061470785184,
2020-10-19 15:00:00,295.39334430030664,
2020-10-19 15:30:30,295.39334430030664,s
2020-10-19 23:59:59,294.2387015773592,c
2020-10-20 00:00:00,269.74788430338805,
2020-10-20 10:00:00,264.1208283668005,
2020-10-20 10:30:00,261.32876628182515,
2020-10-20 12:00:00,283.7426887273526,
2020-10-20 13:30:00,244.70165470887497,
2020-10-20 15:00:00,253.22960247042562,
2020-10-20 15:30:30,253.22960247042562,
2020-10-20 23:59:59,253.9301722081064,c
2020-10-21 00:00:00,274.3442226298519,
2020-10-21 10:00:00,243.55090201690706,
2020-10-21 10:30:00,236.13002166924042,
2020-10-21 12:00:00,184.48858919418416,
2020-10-21 13:30:00,172.6028067702194,
2020-10-21 15:00:00,150.74540475086786,
2020-10-21 15:30:30,150.74540475086786,
2020-10-21 23:59:59,118.77085824948489,c
2020-10-22 00:00:00,121.73100566271063,
2020-10-22 10:00:00,142.4512503419516,
2020-10-22 10:30:00,118.58440972165323,
2020-10-22 12:00:00,120.73883597467471,
2020-10-22 13:30:00,146.04574450706667,
2020-10-22 15:00:00,137.16297407820235,
2020-10-22 15:30:30,137.16297407820235,
2020-10-22 23:59:59,128.72810749043464,c
2020-10-23 00:00:00,145.7783955324324,
2020-10-23 10:00:00,146.61852760243977,
2020-10-23 10:30:00,180.26568759753542,
2020-10-23 12:00:00,160.96484478514088,
2020-10-23 13:30:00,165.35955598428228,
2020-10-23 15:00:00,168.98961277959535,
2020-10-23 15:30:30,168.98961277959535,
2020-10-23 23:59:59,167.79144293624387,w
2020-10-26 00:00:00,143.2764985224191,
2020-10-26 10:00:00,181.94221278025185,
2020-10-26 10:30:00,171.38066276944795,
2020-10-26 12:00:00,184.4642700187773,
2020-10-26 13:30:00,179.62765737863623,
2020-10-26 15:00:00,195.99352134906002,
2020-10-26 15:30:30,195.99352134906002,
2020-10-26 23:59:59,200.70523635768103,c
2020-10-27 00:00:00,193.37670664248486,
2020-10-27 10:00:00,241.6911195343568,
2020-10-27 10:30:00,234.9377305124603,
2020-10-27 12:00:00,236.08897119453633,
2020-10-27 13:30:00,226.13829484835918,
