date,AS_MSCI_EM_MINVOL_2022_Q4,meta
2022-10-07 00:00:00,-60.68012345866282,
2022-10-07 01:00:00,-66.93833840827665,
2022-10-07 02:30:00,-66.18501271163495,
2022-10-07 03:00:00,-68.41533371075275,
2022-10-07 18:30:00,-68.41533371075275,
2022-10-07 20:00:00,-68.41533371075275,
2022-10-07 23:00:00,-68.41533371075275,
2022-10-07 23:59:59,-76.50261415911064,w
2022-10-10 00:00:00,-55.7136344979308,
2022-10-10 01:00:00,-45.22260796974024,
2022-10-10 02:30:00,-52.12270655830707,
2022-10-10 03:00:00,-54.104860140369965,
2022-10-10 18:30:00,-54.104860140369965,
2022-10-10 20:00:00,-54.104860140369965,
2022-10-10 23:00:00,-57.60631088431728,
2022-10-10 23:59:59,-37.34945296915885,c
2022-10-11 00:00:00,-46.07449450502372,
2022-10-11 01:00:00,-53.27597333046833,
2022-10-11 02:30:00,-51.59645974485102,
2022-10-11 03:00:00,-47.72019726723647,
2022-10-11 18:30:00,-47.72019726723647,
2022-10-11 20:00:00,-47.72019726723647,
2022-10-11 23:00:00,-12.776423175829223,
2022-10-11 23:59:59,7.600468106409608,c
2022-10-12 00:00:00,11.874901731476712,
2022-10-12 01:00:00,-13.105024713901003,
2022-10-12 02:30:00,5.093501209083115,
2022-10-12 03:00:00,13.310359737834915,
2022-10-12 18:30:00,13.310359737834915,
2022-10-12 20:00:00,13.310359737834915,
2022-10-12 23:00:00,-0.348724693965778,
2022-10-12 23:59:59,14.103167699464393,c
2022-10-13 00:00:00,10.949601140458071,
2022-10-13 01:00:00,11.932695610438714,
2022-10-13 02:30:00,-1.0163528494886123,
2022-10-13 03:00:00,-5.120163709573717,
2022-10-13 18:30:00,-5.120163709573717,
2022-10-13 20:00:00,-5.120163709573717,
2022-10-13 23:00:00,-29.169757518231563,
2022-10-13 23:59:59,-27.136424279470702,c
2022-10-14 00:00:00,-19.34895069029153,
2022-10-14 01:00:00,-27.06627058315007,
2022-10-14 02:30:00,-23.278431584343707,
2022-10-14 03:00:00,-27.36103862983964,
2022-10-14 18:30:00,-27.36103862983964,
2022-10-14 20:00:00,-27.36103862983964,
2022-10-14 23:00:00,-27.36103862983964,
2022-10-14 23:59:59,-33.20842536724831,w
2022-10-17 00:00:00,-13.484287327366474,
2022-10-17 01:00:00,-13.553632028761967,
2022-10-17 02:30:00,-21.828570822735855,
2022-10-17 03:00:00,-23.487127133014837,
2022-10-17 18:30:00,-23.487127133014837,
2022-10-17 20:00:00,-23.487127133014837,
2022-10-17 23:00:00,-28.073929830911766,
2022-10-17 23:59:59,-26.971947888867362,c
2022-10-18 00:00:00,-30.80012611750135,
2022-10-18 01:00:00,-32.11623929216603,
2022-10-18 02:30:00,-36.751404205071594,
2022-10-18 03:00:00,-52.448996908928166,
2022-10-18 18:30:00,-52.448996908928166,
2022-10-18 20:00:00,-52.448996908928166,
2022-10-18 23:00:00,-26.3621763239953,
2022-10-18 23:59:59,-34.73570696324532,c
2022-10-19 00:00:00,-39.04565058911339,
2022-10-19 01:00:00,-49.499671999952625,
2022-10-19 02:30:00,-58.65549437735808,
2022-10-19 03:00:00,-65.72300568681203,
2022-10-19 18:30:00,-65.72300568681203,
2022-10-19 20:00:00,-65.72300568681203,
2022-10-19 23:00:00,-70.22181390609148,
2022-10-19 23:59:59,-65.23656968362775,c
2022-10-20 00:00:00,-60.74565147220801,
2022-10-20 01:00:00,-33.89370721876912,
2022-10-20 02:30:00,-31.489863264630912,
2022-10-20 03:00:00,-20.98749355437485,
2022-10-20 18:30:00,-20.98749355437485,
2022-10-20 20:00:00,-20.98749355437485,
2022-10-20 23:00:00,7.851222433609109,
2022-10-20 23:59:59,36.953958935959236,c
2022-10-21 00:00:00,28.15955271416351,
2022-10-21 01:00:00,21.963483624146647,
2022-10-21 02:30:00,23.66404404797413,
2022-10-21 03:00:00,26.99256189944026,
2022-10-21 18:30:00,26.99256189944026,
2022-10-21 20:00:00,26.99256189944026,
2022-10-21 23:00:00,26.99256189944026,
2022-10-21 23:59:59,24.99531003789889,w
2022-10-24 00:00:00,13.288613098438873,
2022-10-24 01:00:00,15.501131029885983,
2022-10-24 02:30:00,22.3660452450531,
2022-10-24 03:00:00,21.191959289341867,
2022-10-24 18:30:00,21.191959289341867,
2022-10-24 20:00:00,21.191959289341867,
2022-10-24 23:00:00,-2.777351086391718,
2022-10-24 23:59:59,20.279498628260626,c
2022-10-25 00:00:00,21.311534054636468,
2022-10-25 01:00:00,44.99767085165786,
2022-10-25 02:30:00,53.693769754805544,
2022-10-25 03:00:00,49.17917845311695,
2022-10-25 18:30:00,49.17917845311695,
2022-10-25 20:00:00,49.17917845311695,
2022-10-25 23:00:00,39.15315981295498,
2022-10-25 23:59:59,44.29984765841891,c
2022-10-26 00:00:00,38.764890616384946,
2022-10-26 01:00:00,33.27367119522205,
2022-10-26 02:30:00,42.04793838383284,
2022-10-26 03:00:00,47.24025103350232,
2022-10-26 18:30:00,47.24025103350232,
2022-10-26 20:00:00,47.24025103350232,
2022-10-26 23:00:00,36.65285687509822,
2022-10-26 23:59:59,28.735604918397257,c
2022-10-27 00:00:00,33.48419327820284,
2022-10-27 01:00:00,39.77623096777006,
2022-10-27 02:30:00,39.92330941194996,
2022-10-27 03:00:00,40.00786867249826,
2022-10-27 18:30:00,40.00786867249826,
2022-10-27 20:00:00,40.00786867249826,
2022-10-27 23:00:00,48.58838063064741,
2022-10-27 23:59:59,54.35289758120962,c
2022-10-28 00:00:00,59.503127333513476,
2022-10-28 01:00:00,69.91067364825813,
2022-10-28 02:30:00,70.59860768581984,
2022-10-28 03:00:00,67.50011693999022,
2022-10-28 18:30:00,67.50011693999022,
2022-10-28 20:00:00,67.50011693999022,
2022-10-28 23:00:00,67.50011693999022,
2022-10-28 23:59:59,74.76031007347319,w
2022-10-31 00:00:00,75.94078931948661,
2022-10-31 01:00:00,80.95300893963395,
2022-10-31 02:30:00,80.95300893963395,
2022-10-31 03:00:00,81.95200005041079,
2022-10-31 18:30:00,81.95200005041079,
2022-10-31 20:00:00,81.95200005041079,
2022-10-31 23:00:00,30.37240350852062,
2022-10-31 23:59:59,41.18003091036098,c
2022-11-01 00:00:00,55.29266050868773,
2022-11-01 01:00:00,52.28182628126251,
2022-11-01 02:30:00,52.28182628126251,
2022-11-01 03:00:00,51.11892796955999,
2022-11-01 18:30:00,51.11892796955999,
2022-11-01 20:00:00,51.11892796955999,
2022-11-01 23:00:00,4.564997304634744,
2022-11-01 23:59:59,2.2497945351469752,c
2022-11-02 00:00:00,4.42102199116016,
2022-11-02 01:00:00,0.6244003389647332,
2022-11-02 02:30:00,-5.3512653800653425,
2022-11-02 03:00:00,-20.565442241027085,
2022-11-02 18:30:00,-20.565442241027085,
