date,SML_HEDGED_2021_Q4,meta
2021-10-29 00:00:00,-18.620022968470664,
2021-10-29 10:00:00,-66.58314892287058,
2021-10-29 10:30:00,-45.76837724824986,
2021-10-29 12:00:00,-62.7194301591814,
2021-10-29 13:30:00,-67.21903894312294,
2021-10-29 15:00:00,-80.953180480355,
2021-10-29 15:30:30,-80.953180480355,
2021-10-29 23:59:59,-99.65497076639053,w
2021-11-01 00:00:00,-110.77270695577454,
2021-11-01 10:00:00,-140.42398357347827,
2021-11-01 10:30:00,-156.89533912353613,
2021-11-01 12:00:00,-110.21925783641643,
2021-11-01 13:30:00,-114.17356077237139,
2021-11-01 15:00:00,-107.477150054498,
2021-11-01 15:30:30,-107.477150054498,
2021-11-01 23:59:59,-112.96801933648374,c
2021-11-02 00:00:00,14.0078458988379,
2021-11-02 10:00:00,-106.06402805578432,
2021-11-02 10:30:00,-105.04423476614602,
2021-11-02 12:00:00,-101.99711452771987,
2021-11-02 13:30:00,-65.97594496083917,
2021-11-02 15:00:00,-68.5839491110707,
2021-11-02 15:30:30,-68.5839491110707,
2021-11-02 23:59:59,-66.85133683205663,c
2021-11-03 00:00:00,-74.51439738769085,
2021-11-03 10:00:00,-112.42943186944433,
2021-11-03 10:30:00,-107.04644592678335,
2021-11-03 12:00:00,-113.07763856840097,
2021-11-03 13:30:00,-111.0577860332188,
2021-11-03 15:00:00,-129.20341342088307,
2021-11-03 15:30:30,-129.20341342088307,
2021-11-03 23:59:59,-110.18275041949937,c
2021-11-04 00:00:00,-152.84719860769962,
2021-11-04 10:00:00,-103.49495126364991,
2021-11-04 10:30:00,-99.73313827034008,
2021-11-04 12:00:00,-128.04638508322034,
2021-11-04 13:30:00,-148.41566100332818,
2021-11-04 15:00:00,-173.0891071200208,
2021-11-04 15:30:30,-173.0891071200208,
2021-11-04 23:59:59,-178.27517106169762,c
2021-11-05 00:00:00,-185.12819867792848,
2021-11-05 10:00:00,-126.59814190356371,
2021-11-05 10:30:00,-112.75733697431167,
2021-11-05 12:00:00,-89.08780324210414,
2021-11-05 13:30:00,-89.94185341799016,
2021-11-05 15:00:00,-113.6069567834819,
2021-11-05 15:30:30,-113.6069567834819,
2021-11-05 23:59:59,-120.59679986000606,w
2021-11-08 00:00:00,-139.66377110106566,
2021-11-08 10:00:00,-149.87538020177203,
2021-11-08 10:30:00,-154.5924945833915,
2021-11-08 12:00:00,-134.2119909403815,
2021-11-08 13:30:00,-119.19917168255506,
2021-11-08 15:00:00,-115.70330801331602,
2021-11-08 15:30:30,-115.70330801331602,
2021-11-08 23:59:59,-92.81259230697145,c
2021-11-09 00:00:00,-118.22536907545134,
2021-11-09 10:00:00,-150.29082157119024,
2021-11-09 10:30:00,-190.52671474520662,
2021-11-09 12:00:00,-166.55891647300461,
2021-11-09 13:30:00,-185.4895913574636,
2021-11-09 15:00:00,-192.03108120863715,
2021-11-09 15:30:30,-192.03108120863715,
2021-11-09 23:59:59,-181.40300730809258,c
2021-11-10 00:00:00,-187.25719815973048,
2021-11-10 10:00:00,-135.76252261878778,
2021-11-10 10:30:00,-137.62458298416266,
2021-11-10 12:00:00,-152.29473310125763,
2021-11-10 13:30:00,-146.28221210515903,
2021-11-10 15:00:00,-112.86523251975188,
2021-11-10 15:30:30,-112.86523251975188,
2021-11-10 23:59:59,-111.66393552785667,c
2021-11-11 00:00:00,-126.46544311598484,
2021-11-11 10:00:00,-34.97852853216153,
2021-11-11 10:30:00,-22.614910446776435,
2021-11-11 12:00:00,37.14177938366072,
2021-11-11 13:30:00,78.41429535435276,
2021-11-11 15:00:00,46.64254134515454,
2021-11-11 15:30:30,46.64254134515454,
2021-11-11 23:59:59,65.3930006787918,c
2021-11-12 00:00:00,31.0052067481206,
2021-11-12 10:00:00,32.03267774175697,
2021-11-12 10:30:00,74.6296853608444,
2021-11-12 12:00:00,57.91196507783678,
2021-11-12 13:30:00,99.0838598801513,
2021-11-12 15:00:00,51.89581188763253,
2021-11-12 15:30:30,51.89581188763253,s
2021-11-12 23:59:59,31.40227310501109,w
2021-11-15 00:00:00,62.80696080832507,
2021-11-15 10:00:00,23.65826890726646,
2021-11-15 10:30:00,23.96854398827452,
2021-11-15 12:00:00,56.27603619848139,
2021-11-15 13:30:00,65.90548912921759,
2021-11-15 15:00:00,95.47236664361316,
2021-11-15 15:30:30,95.47236664361316,
2021-11-15 23:59:59,95.41031623927097,c
2021-11-16 00:00:00,107.68622488698298,
2021-11-16 10:00:00,56.997697794066426,
2021-11-16 10:30:00,48.147483270115515,
2021-11-16 12:00:00,36.801506808400916,
2021-11-16 13:30:00,39.08595007242786,
2021-11-16 15:00:00,51.845782134140165,
2021-11-16 15:30:30,51.845782134140165,
2021-11-16 23:59:59,62.791280829509844,c
2021-11-17 00:00:00,28.66320843873234,
2021-11-17 10:00:00,60.66548748977789,
2021-11-17 10:30:00,108.90208541589243,
2021-11-17 12:00:00,109.94879277045368,
2021-11-17 13:30:00,126.92557723247211,
2021-11-17 15:00:00,86.90127227205238,
2021-11-17 15:30:30,86.90127227205238,
2021-11-17 23:59:59,94.89769744588057,c
2021-11-18 00:00:00,64.73746067095232,
2021-11-18 10:00:00,46.46548158200915,
2021-11-18 10:30:00,21.333697265818046,
2021-11-18 12:00:00,10.452820258464897,
2021-11-18 13:30:00,29.40673113969615,
2021-11-18 15:00:00,20.317504053228333,
2021-11-18 15:30:30,20.317504053228333,
2021-11-18 23:59:59,24.19097618878118,c
2021-11-19 00:00:00,-6.376257581326627,
