date,FCTR_2022_K,meta
2022-04-18 00:00:00,-181.98775374832695,
2022-04-18 10:00:00,-121.78487259520955,
2022-04-18 10:30:00,-155.0942353229656,
2022-04-18 12:00:00,-95.58206160022229,
2022-04-18 13:30:00,-94.76838117941219,
2022-04-18 15:00:00,-126.67488185893868,
2022-04-18 15:30:30,-126.67488185893868,
2022-04-18 23:59:59,-120.19603136115285,c
2022-04-19 00:00:00,-114.4959838321561,
2022-04-19 10:00:00,-166.11528531057664,
2022-04-19 10:30:00,-177.45920098319502,
2022-04-19 12:00:00,-257.6945011321288,
2022-04-19 13:30:00,-255.32980998835103,
2022-04-19 15:00:00,-230.91572323702212,
2022-04-19 15:30:30,-230.91572323702212,
2022-04-19 23:59:59,-230.509287186461,c
2022-04-20 00:00:00,-222.1341615130043,
2022-04-20 10:00:00,-65.19686882185968,
2022-04-20 10:30:00,-66.35243886902857,
2022-04-20 12:00:00,-41.229083833041784,
2022-04-20 13:30:00,-65.42396120707566,
2022-04-20 15:00:00,-38.586568361765885,
2022-04-20 15:30:30,-38.586568361765885,
2022-04-20 23:59:59,-24.69167335770635,c
2022-04-21 00:00:00,-92.16750213661967,
2022-04-21 10:00:00,-29.783846355682996,
2022-04-21 10:30:00,-29.31260683418448,
2022-04-21 12:00:00,87.1633214402286,
2022-04-21 13:30:00,72.73792852761169,
2022-04-21 15:00:00,153.12414650953104,
2022-04-21 15:30:30,153.12414650953104,
2022-04-21 23:59:59,136.09244935583519,c
2022-04-22 00:00:00,112.44965158069105,
2022-04-22 10:00:00,40.18660806091535,
2022-04-22 10:30:00,83.73878434720939,
2022-04-22 12:00:00,118.88390492625172,
2022-04-22 13:30:00,157.0336325086546,
2022-04-22 15:00:00,140.44175667879676,
2022-04-22 15:30:30,140.44175667879676,
2022-04-22 23:59:59,118.67783623242619,w
2022-04-25 00:00:00,155.55565468154595,
2022-04-25 10:00:00,88.44340199989281,
2022-04-25 10:30:00,12.720577470157757,
2022-04-25 12:00:00,33.080322516117405,
2022-04-25 13:30:00,12.728694907782355,
2022-04-25 15:00:00,25.72005838328156,
2022-04-25 15:30:30,25.72005838328156,
2022-04-25 23:59:59,32.10552065261935,c
2022-04-26 00:00:00,48.693473769812655,
2022-04-26 10:00:00,149.99952815636087,
2022-04-26 10:30:00,146.16362879760598,
2022-04-26 12:00:00,194.99619416245812,
2022-04-26 13:30:00,170.70402271011847,
2022-04-26 15:00:00,140.79160454366527,
2022-04-26 15:30:30,140.79160454366527,
2022-04-26 23:59:59,176.86829995532136,c
2022-04-27 00:00:00,184.93610233573378,
2022-04-27 10:00:00,146.0045187088152,
2022-04-27 10:30:00,242.74415983819287,
2022-04-27 12:00:00,228.28152202393497,
2022-04-27 13:30:00,211.11418188666673,
2022-04-27 15:00:00,201.83923216247658,
2022-04-27 15:30:30,201.83923216247658,
2022-04-27 23:59:59,206.0549029686302,c
2022-04-28 00:00:00,159.72890531988782,
2022-04-28 10:00:00,208.19698646178395,
2022-04-28 10:30:00,253.71874769947027,
2022-04-28 12:00:00,265.6892519509518,
2022-04-28 13:30:00,153.9521890021247,
2022-04-28 15:00:00,101.42501640002712,
2022-04-28 15:30:30,101.42501640002712,
2022-04-28 23:59:59,117.67328530488527,c
2022-04-29 00:00:00,109.22425727000365,
