date,EU_ICLN_2023_Q1,meta
2023-01-06 11:00:00,308.60570383681716,
2023-01-06 23:59:59,369.42823676021635,w
2023-01-09 00:00:00,357.4061369642186,
2023-01-09 03:30:00,315.3073730916385,
2023-01-09 04:00:00,305.1060202155704,
2023-01-09 06:00:00,322.0873552956882,
2023-01-09 08:00:00,288.40655304021857,
2023-01-09 10:30:00,260.95869146050336,
2023-01-09 11:00:00,280.82389795856943,
2023-01-09 23:59:59,334.778055638606,c
2023-01-10 00:00:00,331.25092658186077,
2023-01-10 03:30:00,318.3752530944348,
2023-01-10 04:00:00,392.71305516044686,
2023-01-10 06:00:00,359.26894842235924,
2023-01-10 08:00:00,385.29405504432907,
2023-01-10 10:30:00,385.31255689117734,
2023-01-10 11:00:00,422.73644141554814,
2023-01-10 23:59:59,409.89600883069033,c
2023-01-11 00:00:00,275.9288414546854,
2023-01-11 03:30:00,240.95657417508937,
2023-01-11 04:00:00,245.39973240127802,
2023-01-11 06:00:00,204.39150772776156,
2023-01-11 08:00:00,175.54803042602362,
2023-01-11 10:30:00,38.90894252993439,
2023-01-11 11:00:00,47.91591763847373,
2023-01-11 23:59:59,67.52863992779385,c
2023-01-12 00:00:00,36.94189678252587,
2023-01-12 03:30:00,101.43268096806969,
2023-01-12 04:00:00,77.56515573627894,
2023-01-12 06:00:00,69.59291111325365,
2023-01-12 08:00:00,21.5499413220341,
2023-01-12 10:30:00,-20.17119463038489,
2023-01-12 11:00:00,-64.35848450914636,
2023-01-12 23:59:59,-42.48210528832715,c
2023-01-13 00:00:00,15.192381284700787,
2023-01-13 03:30:00,-0.8935742768508135,
2023-01-13 04:00:00,-35.625339797546076,
2023-01-13 06:00:00,-10.486761176100117,
2023-01-13 08:00:00,13.150020526430126,
2023-01-13 10:30:00,-12.016322130964909,
2023-01-13 11:00:00,15.221574357177815,
2023-01-13 23:59:59,0.0,a
2023-01-16 00:00:00,33.78319665059644,
2023-01-16 03:30:00,47.56064235669601,
2023-01-16 04:00:00,47.25158682466645,
2023-01-16 06:00:00,5.5405297734751,
2023-01-16 08:00:00,-9.805187546876368,
2023-01-16 10:30:00,-31.054448588123705,
2023-01-16 11:00:00,-45.2215682390015,
2023-01-16 23:59:59,-55.89736410498972,c
2023-01-17 00:00:00,-14.881208185473042,
2023-01-17 03:30:00,14.576510688714734,
2023-01-17 04:00:00,44.657369382078286,
2023-01-17 06:00:00,138.30333877224894,
2023-01-17 08:00:00,28.396623615861245,
2023-01-17 10:30:00,-8.534887817803792,
2023-01-17 11:00:00,2.81808865597759,
2023-01-17 23:59:59,-16.04480363636867,c
2023-01-18 00:00:00,53.92569486368211,
2023-01-18 03:30:00,93.59071278145802,
2023-01-18 04:00:00,98.6278305596552,
2023-01-18 06:00:00,51.29460720924544,
2023-01-18 08:00:00,24.56563876249129,
2023-01-18 10:30:00,95.48764861033123,
2023-01-18 11:00:00,108.59698124742863,
2023-01-18 23:59:59,110.48980113862763,c
0,110.48980113862763,
0,110.48980113862763,
0,110.48980113862763,
0,110.48980113862763,
0,110.48980113862763,
0,110.48980113862763,
0,110.48980113862763,
0,110.48980113862763,
0,110.48980113862763,
0,110.48980113862763,
0,110.48980113862763,
0,110.48980113862763,
0,110.48980113862763,
0,110.48980113862763,
0,110.48980113862763,
0,110.48980113862763,
0,110.48980113862763,
0,110.48980113862763,
0,110.48980113862763,
0,110.48980113862763,
0,110.48980113862763,
0,110.48980113862763,
0,110.48980113862763,
0,110.48980113862763,
0,110.48980113862763,
0,110.48980113862763,
0,110.48980113862763,
0,110.48980113862763,
0,110.48980113862763,
0,110.48980113862763,
0,110.48980113862763,
0,110.48980113862763,
0,110.48980113862763,
0,110.48980113862763,
0,110.48980113862763,
0,110.48980113862763,
0,110.48980113862763,
0,110.48980113862763,
0,110.48980113862763,
0,110.48980113862763,
2023-01-19 00:00:00,197.7037615202098,
2023-01-19 03:30:00,273.88989857745673,
2023-01-19 04:00:00,346.6018399934055,
2023-01-19 06:00:00,299.22383881456335,
2023-01-19 08:00:00,332.9143846666666,
2023-01-19 10:30:00,319.1439519389305,
2023-01-19 11:00:00,375.0521492553162,
2023-01-19 23:59:59,365.90121762795934,c
2023-01-20 00:00:00,496.18664882391477,
2023-01-20 03:30:00,480.6784965501329,
2023-01-20 04:00:00,437.90078308796,
2023-01-20 06:00:00,416.2129782418133,
2023-01-20 08:00:00,445.88625145186234,
2023-01-20 10:30:00,463.346707726826,
2023-01-20 11:00:00,431.515294542055,
2023-01-20 23:59:59,424.89859915905436,e
2023-01-23 00:00:00,350.4869648855374,
2023-01-23 03:30:00,356.4260329897352,
2023-01-23 04:00:00,335.7786972606409,
2023-01-23 06:00:00,345.091063266892,
2023-01-23 08:00:00,410.87546516727616,
2023-01-23 10:30:00,433.04325118280576,
2023-01-23 11:00:00,420.4107337229343,
2023-01-23 23:59:59,392.6581137691692,c
2023-01-24 00:00:00,386.0856163729559,
2023-01-24 03:30:00,428.6587144582463,
2023-01-24 04:00:00,431.6687579394884,
2023-01-24 06:00:00,461.4585233711741,
2023-01-24 08:00:00,418.3154036523092,
2023-01-24 10:30:00,418.74980000174764,
2023-01-24 11:00:00,437.63506615748884,
2023-01-24 23:59:59,425.82108277631505,c
2023-01-25 00:00:00,435.638171223316,
2023-01-25 03:30:00,439.36125524148065,
2023-01-25 04:00:00,462.1696168024764,
2023-01-25 06:00:00,520.1340213298326,
2023-01-25 08:00:00,536.5956555111688,
2023-01-25 10:30:00,505.378613276288,
2023-01-25 11:00:00,531.3795038917642,
2023-01-25 23:59:59,534.742667670318,c
2023-01-26 00:00:00,481.4357830819372,
2023-01-26 03:30:00,477.29266818979613,
2023-01-26 04:00:00,473.0434723422677,
2023-01-26 06:00:00,447.2404669329426,
