date,AS_FTSE_AS_EM_AW_ADDSDELS_2021_Q4,meta
2021-10-08 00:00:00,161.9950210685201,
2021-10-08 01:00:00,177.22546731224998,
2021-10-08 02:30:00,159.11918196466286,
2021-10-08 03:00:00,145.18743661700154,
2021-10-08 18:30:00,145.18743661700154,
2021-10-08 20:00:00,145.18743661700154,
2021-10-08 23:00:00,145.18743661700154,
2021-10-08 23:59:59,87.41249222352035,w
2021-10-11 00:00:00,131.69413706342482,
2021-10-11 01:00:00,131.69413706342482,
2021-10-11 02:30:00,100.57680495870746,
2021-10-11 03:00:00,106.34152741974317,
2021-10-11 18:30:00,106.34152741974317,
2021-10-11 20:00:00,106.34152741974317,
2021-10-11 23:00:00,207.15222599644216,
2021-10-11 23:59:59,186.7341600881972,c
2021-10-12 00:00:00,136.88665431598554,
2021-10-12 01:00:00,138.5234542250746,
2021-10-12 02:30:00,65.45676587011037,
2021-10-12 03:00:00,56.09941512909124,
2021-10-12 18:30:00,56.09941512909124,
2021-10-12 20:00:00,56.09941512909124,
2021-10-12 23:00:00,64.17374164464313,
2021-10-12 23:59:59,37.90161792071409,c
2021-10-13 00:00:00,29.829481153502115,
2021-10-13 01:00:00,45.56365682335654,
2021-10-13 02:30:00,45.56365682335654,
2021-10-13 03:00:00,45.56365682335654,
2021-10-13 18:30:00,45.56365682335654,
2021-10-13 20:00:00,45.56365682335654,
2021-10-13 23:00:00,51.477172174024744,
2021-10-13 23:59:59,57.99086263225139,c
2021-10-14 00:00:00,46.241739239363355,
2021-10-14 01:00:00,45.41604375596755,
2021-10-14 02:30:00,45.41604375596755,
2021-10-14 03:00:00,45.41604375596755,
2021-10-14 18:30:00,45.41604375596755,
2021-10-14 20:00:00,45.41604375596755,
2021-10-14 23:00:00,2.0097571214108285,
2021-10-14 23:59:59,26.118159507782963,c
2021-10-15 00:00:00,43.09833414569131,
2021-10-15 01:00:00,41.774034261602694,
2021-10-15 02:30:00,-4.861526229304545,
2021-10-15 03:00:00,-21.089857319666635,
2021-10-15 18:30:00,-21.089857319666635,
2021-10-15 20:00:00,-21.089857319666635,
2021-10-15 23:00:00,-21.089857319666635,
2021-10-15 23:59:59,-28.00651449455419,w
2021-10-18 00:00:00,-139.55814536015387,
2021-10-18 01:00:00,-138.22170716353182,
2021-10-18 02:30:00,-160.41907278571395,
2021-10-18 03:00:00,-164.86040779576052,
2021-10-18 18:30:00,-164.86040779576052,
2021-10-18 20:00:00,-164.86040779576052,
2021-10-18 23:00:00,-68.65945319186864,
2021-10-18 23:59:59,-83.26156606503118,c
2021-10-19 00:00:00,-100.37651268604428,
2021-10-19 01:00:00,-96.59146543910067,
2021-10-19 02:30:00,-56.56269940425739,
2021-10-19 03:00:00,-63.169866438514404,
2021-10-19 18:30:00,-63.169866438514404,
2021-10-19 20:00:00,-63.169866438514404,
2021-10-19 23:00:00,-22.247941703667834,
2021-10-19 23:59:59,16.198140136281097,c
2021-10-20 00:00:00,32.698832556359974,
2021-10-20 01:00:00,22.047704887570347,
2021-10-20 02:30:00,25.963876745920572,
2021-10-20 03:00:00,16.73391754480778,
2021-10-20 18:30:00,16.73391754480778,
2021-10-20 20:00:00,16.73391754480778,
2021-10-20 23:00:00,172.34438862645663,
2021-10-20 23:59:59,137.11581569429495,c
2021-10-21 00:00:00,111.49941892842865,
2021-10-21 01:00:00,115.52405383692239,
2021-10-21 02:30:00,75.60877606849637,
2021-10-21 03:00:00,83.47531356047229,
2021-10-21 18:30:00,83.47531356047229,
2021-10-21 20:00:00,83.47531356047229,
2021-10-21 23:00:00,117.49890526621157,
2021-10-21 23:59:59,132.24904292644516,c
2021-10-22 00:00:00,161.18663452612662,
2021-10-22 01:00:00,161.18663452612458,
2021-10-22 02:30:00,154.1986355212074,
2021-10-22 03:00:00,145.25462670869854,
2021-10-22 18:30:00,145.25462670869854,
2021-10-22 20:00:00,145.25462670869854,
2021-10-22 23:00:00,145.25462670869854,
2021-10-22 23:59:59,131.76899526671923,w
2021-10-25 00:00:00,85.33502050674751,
2021-10-25 01:00:00,93.26243735022051,
2021-10-25 02:30:00,64.78944281398934,
