date,AS_FTSE_DM_SC_2023_Q1,meta
2023-01-06 00:00:00,-142.98554522622146,
2023-01-06 01:00:00,-139.99668157303165,
2023-01-06 02:30:00,-141.2231839736786,
2023-01-06 03:00:00,-141.28604621369402,
2023-01-06 18:30:00,-141.28604621369402,
2023-01-06 20:00:00,-141.28604621369402,
2023-01-06 23:00:00,-141.28604621369402,
2023-01-06 23:59:59,-142.17122286183292,w
2023-01-09 00:00:00,-132.44100169957005,
2023-01-09 01:00:00,-132.97014066934253,
2023-01-09 02:30:00,-130.7159077685268,
2023-01-09 03:00:00,-129.63678298392006,
2023-01-09 18:30:00,-130.05633044923377,
2023-01-09 20:00:00,-135.50196438166176,
2023-01-09 23:00:00,-138.65652374759668,
2023-01-09 23:59:59,-137.06111186731664,c
2023-01-10 00:00:00,-134.87462384301284,
2023-01-10 01:00:00,-132.30370790826373,
2023-01-10 02:30:00,-132.24616347581616,
2023-01-10 03:00:00,-132.40198566384197,
2023-01-10 18:30:00,-121.29223328414082,
2023-01-10 20:00:00,-114.89194981358037,
2023-01-10 23:00:00,-99.19334541369858,
2023-01-10 23:59:59,-93.82605685451699,c
2023-01-11 00:00:00,-95.24676586328167,
2023-01-11 01:00:00,-98.41878676725219,
2023-01-11 02:30:00,-95.99393911683728,
2023-01-11 03:00:00,-95.63846153939085,
2023-01-11 18:30:00,-100.75686096282766,
2023-01-11 20:00:00,-127.30321869802378,
2023-01-11 23:00:00,-132.33912386350642,
2023-01-11 23:59:59,-130.68750181638563,c
2023-01-12 00:00:00,-140.02742264134804,
2023-01-12 01:00:00,-147.4608899850473,
2023-01-12 02:30:00,-147.08785471014016,
2023-01-12 03:00:00,-146.8833724311919,
2023-01-12 18:30:00,-133.45342046578628,
2023-01-12 20:00:00,-139.6119794201603,
2023-01-12 23:00:00,-156.6266244214354,
2023-01-12 23:59:59,-163.46735529927219,c
2023-01-13 00:00:00,-159.16013243283498,
2023-01-13 01:00:00,-159.78596685492437,
2023-01-13 02:30:00,-158.91451756802712,
2023-01-13 03:00:00,-159.30877193553567,
2023-01-13 18:30:00,-159.30877193553567,
2023-01-13 20:00:00,-159.30877193553567,
2023-01-13 23:00:00,-159.30877193553567,
2023-01-13 23:59:59,-159.16192621263735,w
2023-01-16 00:00:00,-169.6228976995028,
2023-01-16 01:00:00,-167.69917563212402,
2023-01-16 02:30:00,-169.10427714803075,
2023-01-16 03:00:00,-169.20584867404807,
2023-01-16 18:30:00,-165.4525951310053,
2023-01-16 20:00:00,-159.2327933803591,
2023-01-16 23:00:00,-166.03823950038736,
2023-01-16 23:59:59,-172.81193889217025,c
2023-01-17 00:00:00,-171.9459100204515,
2023-01-17 01:00:00,-175.4671038847539,
2023-01-17 02:30:00,-175.3822182485535,
2023-01-17 03:00:00,-175.05778757300845,
2023-01-17 18:30:00,-169.443828319079,
2023-01-17 20:00:00,-165.018541843908,
2023-01-17 23:00:00,-165.1622022685582,
2023-01-17 23:59:59,-175.31806992215502,c
2023-01-18 00:00:00,-174.34562587355583,
2023-01-18 01:00:00,-182.1377138832945,
2023-01-18 02:30:00,-185.75189293249173,
2023-01-18 03:00:00,-184.84127772127,
2023-01-18 18:30:00,-187.73620957577486,
2023-01-18 20:00:00,-180.3001689178244,
2023-01-18 23:00:00,-152.86515035672676,
2023-01-18 23:59:59,-161.19339363560834,c
2023-01-19 00:00:00,-159.6430935306763,
