date,SPX500_HEDGED_2021_Q4,meta
2021-11-12 12:00:00,12.980646725713427,
2021-11-12 13:30:00,14.051881378057715,
2021-11-12 15:00:00,17.396955267621365,
2021-11-12 15:30:30,17.396955267621365,s
2021-11-12 23:59:59,15.010942218528953,w
2021-11-15 00:00:00,10.92828543449997,
2021-11-15 10:00:00,7.887499469221439,
2021-11-15 10:30:00,3.4150446418198612,
2021-11-15 12:00:00,12.627247209881034,
2021-11-15 13:30:00,9.381724407902823,
2021-11-15 15:00:00,16.507658098376396,
2021-11-15 15:30:30,16.507658098376396,
2021-11-15 23:59:59,21.3230793876578,c
2021-11-16 00:00:00,13.951276228945744,
2021-11-16 10:00:00,17.197344612856966,
2021-11-16 10:30:00,17.275151523476268,
2021-11-16 12:00:00,15.350673020001352,
2021-11-16 13:30:00,11.262137421744228,
2021-11-16 15:00:00,16.34022222842725,
2021-11-16 15:30:30,16.34022222842725,
2021-11-16 23:59:59,24.536555209218704,c
2021-11-17 00:00:00,23.193470808006737,
2021-11-17 10:00:00,16.69629639478012,
2021-11-17 10:30:00,15.566737363259563,
2021-11-17 12:00:00,21.400162446314653,
2021-11-17 13:30:00,29.75585554065873,
2021-11-17 15:00:00,35.70963947465668,
2021-11-17 15:30:30,35.70963947465668,
2021-11-17 23:59:59,40.941297495319475,c
2021-11-18 00:00:00,31.852420198795926,
2021-11-18 10:00:00,18.542256903654618,
2021-11-18 10:30:00,23.533806128051367,
2021-11-18 12:00:00,24.237038088436236,
2021-11-18 13:30:00,21.8045853278374,
2021-11-18 15:00:00,19.82642091918376,
2021-11-18 15:30:30,19.82642091918376,
2021-11-18 23:59:59,24.531552682810002,c
2021-11-19 00:00:00,43.12836691476002,
2021-11-19 10:00:00,45.133497421193454,
2021-11-19 10:30:00,43.82783810155274,
2021-11-19 12:00:00,35.09999066999205,
2021-11-19 13:30:00,32.408993828495625,
2021-11-19 15:00:00,43.55404168277596,
2021-11-19 15:30:30,43.55404168277596,
2021-11-19 23:59:59,39.46315230176128,w
2021-11-22 00:00:00,20.9092965686732,
2021-11-22 10:00:00,22.330815988768222,
2021-11-22 10:30:00,20.975638588614345,
2021-11-22 12:00:00,14.592382947413967,
2021-11-22 13:30:00,5.765233571650185,
2021-11-22 15:00:00,10.698798846472414,
2021-11-22 15:30:30,10.698798846472414,u
2021-11-22 23:59:59,16.397251594553552,c
2021-11-23 00:00:00,12.699556937392629,
2021-11-23 10:00:00,4.775232357188486,
2021-11-23 10:30:00,1.4410654331035744,
2021-11-23 12:00:00,-2.8897153622066867,
2021-11-23 13:30:00,-9.600998368723822,
2021-11-23 15:00:00,-14.033839702706814,
2021-11-23 15:30:30,-14.033839702706814,
2021-11-23 23:59:59,-16.217848306217718,c
2021-11-24 00:00:00,-16.270913384998778,
2021-11-24 10:00:00,-28.762128050999195,
2021-11-24 10:30:00,-20.543571797359277,
2021-11-24 12:00:00,-19.267867616252488,
2021-11-24 13:30:00,-19.243856283539287,
2021-11-24 15:00:00,-18.48179244351229,
2021-11-24 15:30:30,-18.48179244351229,
2021-11-24 23:59:59,-18.348626564364906,c
2021-11-25 00:00:00,-18.348626564364906,
2021-11-25 10:00:00,-18.348626564364906,
2021-11-25 10:30:00,-18.348626564364906,
2021-11-25 12:00:00,-18.348626564364906,
2021-11-25 13:30:00,-18.348626564364906,
2021-11-25 15:00:00,-18.348626564364906,
2021-11-25 15:30:30,-18.348626564364906,
2021-11-25 23:59:59,-18.348626564364906,c
2021-11-26 00:00:00,1.7212643210005467,
2021-11-26 10:00:00,32.38247338832815,
2021-11-26 10:30:00,25.399852761686702,
2021-11-26 12:00:00,23.369755769265225,
2021-11-26 13:30:00,23.369755769265225,
2021-11-26 15:00:00,23.369755769265225,
