date,EU_FTSEUK_MCX_2022_Q1,meta
2022-02-09 00:00:00,-2096.869501048035,
2022-02-09 03:30:00,-2091.475401778941,
2022-02-09 04:00:00,-2114.988929803611,
2022-02-09 06:00:00,-2089.164805211099,
2022-02-09 08:00:00,-2096.304025373266,
2022-02-09 10:30:00,-2116.035518835627,
2022-02-09 11:00:00,-2083.630106481234,
2022-02-09 23:59:59,-2128.8485886808894,c
2022-02-10 00:00:00,-2155.274059135105,
2022-02-10 03:30:00,-2208.2918340412643,
2022-02-10 04:00:00,-2166.152476503191,
2022-02-10 06:00:00,-2207.057450332859,
2022-02-10 08:00:00,-2218.5308415945124,
2022-02-10 10:30:00,-2187.348733849737,
2022-02-10 11:00:00,-2192.904213022175,
2022-02-10 23:59:59,-2196.61864644495,c
2022-02-11 00:00:00,-2196.61864644495,
2022-02-11 03:30:00,-2196.61864644495,
2022-02-11 04:00:00,-2196.61864644495,
2022-02-11 06:00:00,-2196.61864644495,
2022-02-11 08:00:00,-2196.61864644495,
2022-02-11 10:30:00,-2196.61864644495,
2022-02-11 11:00:00,-2196.61864644495,
2022-02-11 23:59:59,-2196.61864644495,w
2022-02-14 00:00:00,-2102.5981009800153,
2022-02-14 03:30:00,-2123.732799836633,
2022-02-14 04:00:00,-2119.7365643919475,
2022-02-14 06:00:00,-2116.7553609139723,
2022-02-14 08:00:00,-2162.2826841016586,
2022-02-14 10:30:00,-2176.4679061058046,
2022-02-14 11:00:00,-2184.697826775233,
2022-02-14 23:59:59,-2172.1814004633006,c
2022-02-15 00:00:00,-2210.018651876687,
2022-02-15 03:30:00,-2269.213229227792,
2022-02-15 04:00:00,-2299.656122186837,
2022-02-15 06:00:00,-2307.114984949303,
2022-02-15 08:00:00,-2323.2757511578693,
2022-02-15 10:30:00,-2358.102910537741,
2022-02-15 11:00:00,-2349.564246901289,
2022-02-15 23:59:59,-2382.8046776666197,c
2022-02-16 00:00:00,-2408.1721885135707,
2022-02-16 03:30:00,-2426.698807716759,
2022-02-16 04:00:00,-2424.514569167284,
2022-02-16 06:00:00,-2338.8275875947947,
2022-02-16 08:00:00,-2324.6194589768284,
2022-02-16 10:30:00,-2291.2937822660665,
2022-02-16 11:00:00,-2329.9058252430327,
2022-02-16 23:59:59,-2281.9030702363807,c
2022-02-17 00:00:00,-2289.62749210564,
2022-02-17 03:30:00,-2248.7942510381336,
2022-02-17 04:00:00,-2234.4187658559595,
2022-02-17 06:00:00,-2271.332124904924,
2022-02-17 08:00:00,-2285.424325991822,
2022-02-17 10:30:00,-2259.3265828114077,
2022-02-17 11:00:00,-2302.4272849599515,
2022-02-17 23:59:59,-2243.9094047096933,c
2022-02-18 00:00:00,-2256.083973484241,
2022-02-18 03:30:00,-2234.8604892930316,
2022-02-18 04:00:00,-2226.615110124765,
2022-02-18 06:00:00,-2219.3847610366365,
2022-02-18 08:00:00,-2274.537747777351,
2022-02-18 10:30:00,-2253.324047809012,
2022-02-18 11:00:00,-2245.269694246093,
2022-02-18 23:59:59,-2217.5633891272646,w
2022-02-21 00:00:00,-2078.1250291040433,
2022-02-21 03:30:00,-1974.1498627758363,
2022-02-21 04:00:00,-1940.0781557554144,
2022-02-21 06:00:00,-1925.6823940162267,
2022-02-21 08:00:00,-1874.7512398184879,
2022-02-21 10:30:00,-1827.8801304542687,
2022-02-21 11:00:00,-1804.0064547982834,
2022-02-21 23:59:59,-1743.9572795126423,c
2022-02-22 00:00:00,-1615.8538199895197,
2022-02-22 03:30:00,-1510.0067072634101,
2022-02-22 04:00:00,-1436.7287507885158,
2022-02-22 06:00:00,-1622.5163764648798,
2022-02-22 08:00:00,-1587.4872633461166,
2022-02-22 10:30:00,-1630.556917582291,
2022-02-22 11:00:00,-1609.0821770242155,
2022-02-22 23:59:59,-1628.7154044991682,c
2022-02-23 00:00:00,-1593.6983537299109,
2022-02-23 03:30:00,-1633.2574247668003,
2022-02-23 04:00:00,-1668.900627339605,
2022-02-23 06:00:00,-1617.1944439543477,
2022-02-23 08:00:00,-1620.2674024467203,
2022-02-23 10:30:00,-1675.1605587689671,
2022-02-23 11:00:00,-1692.873199792663,
2022-02-23 23:59:59,-1725.6776825059505,c
2022-02-24 00:00:00,-1565.9284349726252,
2022-02-24 03:30:00,-1459.5008468608671,
2022-02-24 04:00:00,-1454.4216301691506,
2022-02-24 06:00:00,-1293.1033291309618,
2022-02-24 08:00:00,-1212.6735567380601,
2022-02-24 10:30:00,-1308.1474162197223,
2022-02-24 11:00:00,-1281.257189638352,
2022-02-24 23:59:59,-1233.9346302923445,c
2022-02-25 00:00:00,-1320.7797599036162,
2022-02-25 03:30:00,-1325.3254071272747,
2022-02-25 04:00:00,-1374.4108260097603,
2022-02-25 06:00:00,-1287.5956916038572,
2022-02-25 08:00:00,-1292.226999679844,
2022-02-25 10:30:00,-1248.9802893864544,
2022-02-25 11:00:00,-1262.4223093703968,
