date,AR2_AD_HEDGED_2022_Q2,meta
2022-04-22 00:00:00,-319.01212530115254,
2022-04-22 10:00:00,-318.5492544239985,
2022-04-22 10:30:00,-308.18252708062323,
2022-04-22 12:00:00,-319.6834402869804,
2022-04-22 13:30:00,-326.3964514185725,
2022-04-22 15:00:00,-319.50095798853283,
2022-04-22 15:30:30,-319.50095798853283,
2022-04-22 23:59:59,-311.92816308882936,w
2022-04-25 00:00:00,-322.83732253266226,
2022-04-25 10:00:00,-307.62718693967724,
2022-04-25 10:30:00,-302.9340453514793,
2022-04-25 12:00:00,-286.15213699983497,
2022-04-25 13:30:00,-296.7885491196572,
2022-04-25 15:00:00,-280.1532314975269,
2022-04-25 15:30:30,-280.1532314975269,
2022-04-25 23:59:59,-284.42074092406403,c
2022-04-26 00:00:00,-283.8919055744475,
2022-04-26 10:00:00,-272.8809747097905,
2022-04-26 10:30:00,-258.973520373376,
2022-04-26 12:00:00,-237.37025557842114,
2022-04-26 13:30:00,-222.63211565252126,
2022-04-26 15:00:00,-217.435336279079,
2022-04-26 15:30:30,-217.435336279079,
2022-04-26 23:59:59,-212.42860146979646,c
2022-04-27 00:00:00,-208.53515992236456,
2022-04-27 10:00:00,-183.9858036099948,
2022-04-27 10:30:00,-175.0742333660372,
2022-04-27 12:00:00,-186.66456647302087,
2022-04-27 13:30:00,-178.00945203022619,
2022-04-27 15:00:00,-167.52469303839925,
2022-04-27 15:30:30,-167.52469303839925,
2022-04-27 23:59:59,-154.11609542754715,c
2022-04-28 00:00:00,-144.4874001463974,
2022-04-28 10:00:00,-136.04431023859678,
2022-04-28 10:30:00,-128.19952206164282,
2022-04-28 12:00:00,-127.6149444450744,
2022-04-28 13:30:00,-133.577436941834,
2022-04-28 15:00:00,-135.32069180051582,
2022-04-28 15:30:30,-135.32069180051582,
2022-04-28 23:59:59,-121.54207290048603,c
2022-04-29 00:00:00,-123.12943529482382,
2022-04-29 10:00:00,-148.24747293656543,
2022-04-29 10:30:00,-127.65019032884632,
2022-04-29 12:00:00,-116.9562784736654,
2022-04-29 13:30:00,-105.61343030509829,
2022-04-29 15:00:00,-103.32326030894191,
2022-04-29 15:30:30,-103.32326030894191,
2022-04-29 23:59:59,-99.82302100809679,w
2022-05-02 00:00:00,-108.940331185611,
2022-05-02 10:00:00,-144.14703863199964,
2022-05-02 10:30:00,-150.20948311208986,
2022-05-02 12:00:00,-131.25748712269487,
2022-05-02 13:30:00,-108.78776122150953,
2022-05-02 15:00:00,-105.50982065334637,
2022-05-02 15:30:30,-105.50982065334637,
2022-05-02 23:59:59,-142.87282937205444,c
2022-05-03 00:00:00,-140.925715297452,
2022-05-03 10:00:00,-137.0233115883651,
2022-05-03 10:30:00,-124.78871875154147,
2022-05-03 12:00:00,-128.6299493121433,
2022-05-03 13:30:00,-148.47398004464415,
2022-05-03 15:00:00,-152.39974109420933,
2022-05-03 15:30:30,-152.39974109420933,
2022-05-03 23:59:59,-144.426402506364,c
2022-05-04 00:00:00,-148.207232683627,
2022-05-04 10:00:00,-142.1593419744816,
2022-05-04 10:30:00,-156.16109870832042,
2022-05-04 12:00:00,-166.28136859767542,
2022-05-04 13:30:00,-177.73229037320445,
2022-05-04 15:00:00,-190.7175147991796,
2022-05-04 15:30:30,-190.7175147991796,
2022-05-04 23:59:59,-207.82875069135522,c
2022-05-05 00:00:00,-184.43919303256249,
2022-05-05 10:00:00,-158.90976956788288,
2022-05-05 10:30:00,-136.96049493024077,
2022-05-05 12:00:00,-152.08367442070767,
2022-05-05 13:30:00,-122.64224972413268,
2022-05-05 15:00:00,-117.67943276075769,
2022-05-05 15:30:30,-117.67943276075769,
2022-05-05 23:59:59,-120.48881997818339,c
2022-05-06 00:00:00,-134.20734647844935,
2022-05-06 10:00:00,-143.40459294964765,
2022-05-06 10:30:00,-145.95858908628497,
2022-05-06 12:00:00,-124.04545520304492,
2022-05-06 13:30:00,-120.59737722240618,
2022-05-06 15:00:00,-110.28972984209054,
2022-05-06 15:30:30,-110.28972984209054,s
2022-05-06 23:59:59,-115.10808232468145,w
2022-05-09 00:00:00,-121.73937059047321,
2022-05-09 10:00:00,-155.9150099569431,
2022-05-09 10:30:00,-152.85369580820307,
2022-05-09 12:00:00,-169.53644167938617,
2022-05-09 13:30:00,-152.04348308123704,
2022-05-09 15:00:00,-179.70910665254283,
2022-05-09 15:30:30,-179.70910665254283,
2022-05-09 23:59:59,-188.29233105460654,c
2022-05-10 00:00:00,-160.32837864641692,
2022-05-10 10:00:00,-279.442804451765,
2022-05-10 10:30:00,-356.3256752257238,
2022-05-10 12:00:00,-323.25807074591376,
2022-05-10 13:30:00,-354.1377911850964,
2022-05-10 15:00:00,-357.8512290515075,
2022-05-10 15:30:30,-357.8512290515075,u
2022-05-10 23:59:59,-362.48487249004177,c
2022-05-11 00:00:00,-345.59611814272455,
2022-05-11 10:00:00,-380.20768575212685,
2022-05-11 10:30:00,-328.8463404844766,
2022-05-11 12:00:00,-314.3983628525863,
2022-05-11 13:30:00,-292.6948630925084,
2022-05-11 15:00:00,-280.5092930378863,
2022-05-11 15:30:30,-280.5092930378863,
2022-05-11 23:59:59,-290.02177352688034,c
2022-05-12 00:00:00,-283.16027647574776,
2022-05-12 10:00:00,-313.6439367662431,
2022-05-12 10:30:00,-293.69323494379944,
2022-05-12 12:00:00,-237.38844823104185,
2022-05-12 13:30:00,-206.30665716292796,
2022-05-12 15:00:00,-207.9935532870405,
2022-05-12 15:30:30,-207.9935532870405,
2022-05-12 23:59:59,-215.1596702522347,c
2022-05-13 00:00:00,-198.75546725998245,
2022-05-13 10:00:00,-153.79590025842901,
2022-05-13 10:30:00,-129.86511684953453,
2022-05-13 12:00:00,-94.08686612158698,
2022-05-13 13:30:00,-99.30128025609477,
2022-05-13 15:00:00,-100.57061947744864,
2022-05-13 15:30:30,-100.57061947744864,
2022-05-13 23:59:59,-112.67194278929068,w
2022-05-16 00:00:00,-115.48639968020785,
2022-05-16 10:00:00,-65.70066215331047,
2022-05-16 10:30:00,-63.67149393588883,
2022-05-16 12:00:00,-56.27967401204029,
2022-05-16 13:30:00,-72.83268962453485,
2022-05-16 15:00:00,-59.63438211853122,
2022-05-16 15:30:30,-59.63438211853122,
2022-05-16 23:59:59,-55.249299015190815,c
2022-05-17 00:00:00,-87.02396014039655,
2022-05-17 10:00:00,-66.55256515202115,
2022-05-17 10:30:00,-59.3639252472999,
2022-05-17 12:00:00,-47.56103146933597,
2022-05-17 13:30:00,-46.942594307839045,
2022-05-17 15:00:00,-59.801964887479556,
2022-05-17 15:30:30,-59.801964887479556,
2022-05-17 23:59:59,-56.803245285239115,c
2022-05-18 00:00:00,-58.10334578490151,
2022-05-18 10:00:00,-25.276008202120593,
2022-05-18 10:30:00,-22.52837962095998,
2022-05-18 12:00:00,-36.96432549291151,
2022-05-18 13:30:00,-43.044663655764424,
2022-05-18 15:00:00,-35.516592125048774,
2022-05-18 15:30:30,-35.516592125048774,
2022-05-18 23:59:59,-30.7867456447284,c
