date,MSCI_FACT_QUAL_HEDGED_2021_Q4,meta
2021-11-03 23:59:59,-25.4661166884323,c
2021-11-04 00:00:00,-56.737980007000104,
2021-11-04 10:00:00,-52.91262157735891,
2021-11-04 10:30:00,-69.24673768882222,
2021-11-04 12:00:00,-80.35220155796608,
2021-11-04 13:30:00,-79.66945795822144,
2021-11-04 15:00:00,-82.65217425222927,
2021-11-04 15:30:30,-82.65217425222927,
2021-11-04 23:59:59,-70.46407642677823,c
2021-11-05 00:00:00,-97.16343900889953,
2021-11-05 10:00:00,-95.02131819926038,
2021-11-05 10:30:00,-81.9248064224773,
2021-11-05 12:00:00,-83.50741496820251,
2021-11-05 13:30:00,-86.45582460131976,
2021-11-05 15:00:00,-74.82259104969502,
2021-11-05 15:30:30,-74.82259104969502,
2021-11-05 23:59:59,-66.5907455740028,w
2021-11-08 00:00:00,-61.25071533705261,
2021-11-08 10:00:00,-68.49844934964578,
2021-11-08 10:30:00,-78.86818690324029,
2021-11-08 12:00:00,-81.70043106853565,
2021-11-08 13:30:00,-79.71101596223514,
2021-11-08 15:00:00,-83.29024122074114,
2021-11-08 15:30:30,-83.29024122074114,
2021-11-08 23:59:59,-85.04615651071602,c
2021-11-09 00:00:00,-94.41932463248705,
2021-11-09 10:00:00,-97.65653338356813,
2021-11-09 10:30:00,-99.43369908039503,
2021-11-09 12:00:00,-93.02112505752643,
2021-11-09 13:30:00,-88.76751800882816,
2021-11-09 15:00:00,-84.95024932898681,
2021-11-09 15:30:30,-84.95024932898681,
2021-11-09 23:59:59,-85.4851160554376,c
2021-11-10 00:00:00,-104.17211997158726,
2021-11-10 10:00:00,-91.73137517089977,
2021-11-10 10:30:00,-97.58190330767036,
2021-11-10 12:00:00,-104.43100413392386,
2021-11-10 13:30:00,-116.68750261863603,
2021-11-10 15:00:00,-122.83319046806494,
2021-11-10 15:30:30,-122.83319046806494,
2021-11-10 23:59:59,-119.02908594519099,c
2021-11-11 00:00:00,-126.34821962907779,
2021-11-11 10:00:00,-118.69528969163696,
2021-11-11 10:30:00,-123.8534860133489,
2021-11-11 12:00:00,-121.98961578472522,
2021-11-11 13:30:00,-130.92752168854673,
2021-11-11 15:00:00,-122.91655018705526,
2021-11-11 15:30:30,-122.91655018705526,
2021-11-11 23:59:59,-119.79757270809479,c
2021-11-12 00:00:00,-103.5135819086949,
2021-11-12 10:00:00,-102.87666908180185,
