date,AS_MSCI_EM_MIG_2021_Q4,meta
2021-09-30 00:00:00,-346.30449031547323,
2021-09-30 01:00:00,-337.72326158499527,
2021-09-30 02:30:00,-337.72326158499527,
2021-09-30 03:00:00,-337.72326158499527,
2021-09-30 18:30:00,-337.72326158499527,
2021-09-30 20:00:00,-337.72326158499527,
2021-09-30 23:00:00,-324.29997149011615,
2021-09-30 23:59:59,-335.8116046054429,c
2021-10-01 00:00:00,-348.54713212761453,
2021-10-01 01:00:00,-344.3249298624414,
2021-10-01 02:30:00,-344.3249298624414,
2021-10-01 03:00:00,-344.3249298624414,
2021-10-01 18:30:00,-344.3249298624414,
2021-10-01 20:00:00,-344.3249298624414,
2021-10-01 23:00:00,-344.3249298624414,
2021-10-01 23:59:59,-361.7942561536288,w
2021-10-04 00:00:00,-369.2846620894429,
2021-10-04 01:00:00,-336.00278682091357,
2021-10-04 02:30:00,-336.00278682091357,
2021-10-04 03:00:00,-336.00278682091357,
2021-10-04 18:30:00,-336.00278682091357,
2021-10-04 20:00:00,-336.00278682091357,
2021-10-04 23:00:00,-334.0188183523819,
2021-10-04 23:59:59,-313.26880958273705,c
2021-10-05 00:00:00,-333.169508095672,
2021-10-05 01:00:00,-336.80672852753605,
2021-10-05 02:30:00,-336.80672852753605,
2021-10-05 03:00:00,-336.80672852753605,
2021-10-05 18:30:00,-336.80672852753605,
2021-10-05 20:00:00,-336.80672852753605,
2021-10-05 23:00:00,-328.9344352208818,
2021-10-05 23:59:59,-317.6715591149582,c
2021-10-06 00:00:00,-317.4616214117332,
2021-10-06 01:00:00,-354.53070490865775,
2021-10-06 02:30:00,-354.53070490865775,
2021-10-06 03:00:00,-354.53070490865775,
2021-10-06 18:30:00,-354.53070490865775,
2021-10-06 20:00:00,-354.53070490865775,
2021-10-06 23:00:00,-279.0477245246907,
2021-10-06 23:59:59,-215.02398420628697,c
2021-10-07 00:00:00,-190.74305296894045,
2021-10-07 01:00:00,-207.55942195385114,
2021-10-07 02:30:00,-207.55942195385114,
2021-10-07 03:00:00,-207.55942195385114,
2021-10-07 18:30:00,-207.55942195385114,
2021-10-07 20:00:00,-207.55942195385114,
2021-10-07 23:00:00,-132.6028370257627,
2021-10-07 23:59:59,-143.05841371224597,c
2021-10-08 00:00:00,-151.6772184728411,
2021-10-08 01:00:00,-122.3419591182178,
2021-10-08 02:30:00,-122.3419591182178,
2021-10-08 03:00:00,-122.3419591182178,
2021-10-08 18:30:00,-122.3419591182178,
2021-10-08 20:00:00,-122.3419591182178,
2021-10-08 23:00:00,-122.3419591182178,
2021-10-08 23:59:59,-113.35191908350134,w
2021-10-11 00:00:00,-113.35191908350134,
2021-10-11 01:00:00,-113.35191908350134,
2021-10-11 02:30:00,-113.35191908350134,
2021-10-11 03:00:00,-113.35191908350134,
2021-10-11 18:30:00,-113.35191908350134,
2021-10-11 20:00:00,-113.35191908350134,
2021-10-11 23:00:00,-63.47593965427541,
2021-10-11 23:59:59,-63.47593965427541,c
2021-10-12 00:00:00,-34.43963100001065,
2021-10-12 01:00:00,-44.2827499091477,
2021-10-12 02:30:00,-44.2827499091477,
2021-10-12 03:00:00,-44.2827499091477,
2021-10-12 18:30:00,-44.2827499091477,
2021-10-12 20:00:00,-44.2827499091477,
2021-10-12 23:00:00,-38.51256506765094,
2021-10-12 23:59:59,-53.43295585775468,c
2021-10-13 00:00:00,-47.33332376269709,
2021-10-13 01:00:00,-59.079536880214164,
2021-10-13 02:30:00,-59.079536880214164,
2021-10-13 03:00:00,-59.079536880214164,
2021-10-13 18:30:00,-59.079536880214164,
2021-10-13 20:00:00,-59.079536880214164,
2021-10-13 23:00:00,-77.28187609321367,
2021-10-13 23:59:59,-86.96334771822467,c
2021-10-14 00:00:00,-77.56996592870291,
2021-10-14 01:00:00,-92.163162518837,
2021-10-14 02:30:00,-92.163162518837,
2021-10-14 03:00:00,-92.163162518837,
2021-10-14 18:30:00,-92.163162518837,
2021-10-14 20:00:00,-92.163162518837,
2021-10-14 23:00:00,-107.6115902076881,
2021-10-14 23:59:59,-114.31561180923745,c
2021-10-15 00:00:00,-78.39620098345495,
2021-10-15 01:00:00,-93.09814049008901,
2021-10-15 02:30:00,-93.09814049008901,
2021-10-15 03:00:00,-93.09814049008901,
2021-10-15 18:30:00,-93.09814049008901,
2021-10-15 20:00:00,-93.09814049008901,
2021-10-15 23:00:00,-93.09814049008901,
2021-10-15 23:59:59,-104.30169208017605,w
2021-10-18 00:00:00,15.245596105263758,
2021-10-18 01:00:00,19.04648903050702,
2021-10-18 02:30:00,19.04648903050702,
2021-10-18 03:00:00,19.04648903050702,
2021-10-18 18:30:00,19.04648903050702,
2021-10-18 20:00:00,19.04648903050702,
2021-10-18 23:00:00,61.118909833621274,
2021-10-18 23:59:59,78.7323005704261,c
2021-10-19 00:00:00,97.20319936419764,
2021-10-19 01:00:00,96.78896206439231,
2021-10-19 02:30:00,96.78896206439231,
2021-10-19 03:00:00,96.78896206439231,
2021-10-19 18:30:00,96.78896206439231,
2021-10-19 20:00:00,96.78896206439231,
2021-10-19 23:00:00,68.71806411793341,
